"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.img_0_url","Input.img_1_url","Input.img_2_url","Input.img_3_url","Input.img_4_url","Input.taboolist_0","Input.taboolist_1","Input.taboolist_2","Input.taboolist_3","Input.taboolist_4","Answer.comments","Answer.inputbox_objname-0","Answer.inputbox_objname-1","Answer.inputbox_objname-2","Answer.inputbox_objname-3","Answer.inputbox_objname-4","Answer.inputbox_objname-ex0","Answer.inputbox_objname-ex1","Answer.inputbox_objname-ex2","Answer.inputbox_objname-ex3","Answer.inputbox_objname-ex4","Answer.optout-0","Answer.optout-1","Answer.optout-2","Answer.optout-3","Answer.optout-4","Answer.other_reasons-0","Answer.other_reasons-1","Answer.other_reasons-2","Answer.other_reasons-3","Answer.other_reasons-4","Approve","Reject"
"3FI30CQHVLOZBXVH8WG60M5RVB1B6C","3VWCB4I0H9AP9UJU4GN5M5TE4EEQ7D","YouNameIt","Please view an image and provide a name for one of the objects. But beware of the taboo words!","image, name, picture, photo","$0.20","Thu Nov 29 00:58:44 PST 2018","10","BatchId:3453438;OriginalHitTemplateId:862366346;","600","259200","Thu Dec 06 00:58:44 PST 2018","","","3AAJC4I4FIXA4ABYOVV0KSDKIBWJZS","A2RPSSZR3RP51Z","Submitted","Thu Nov 29 01:00:42 PST 2018","Thu Nov 29 01:08:27 PST 2018","Sun Dec 02 01:08:27 PST 2018","","","""Please DO NOT use one of the taboo words for naming the object! We are sorry if this was not clearly stated in the instructions.""","465","100% (3/3)","100% (3/3)","100% (3/3)","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2346351_2280590_singleton_category.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2403942_1120049_ambiguous_synset.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2355516_1850502_ambiguous_synset.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2332727_3337741_ambiguous_category.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2319541_2810174_singleton_category.png","poodle, canine","girl, women, female","tool, scissors, shears","sauce, pizza, food","coffee, drink","GOOD","POODLE","GIRL","TOOL","SAUCE","COFFEE","cat","blue","dish","beans","cabbage","","","","","","{}","{}","{}","{}","{}","{}","x"
"3FI30CQHVLOZBXVH8WG60M5RVB1B6C","3VWCB4I0H9AP9UJU4GN5M5TE4EEQ7D","YouNameIt","Please view an image and provide a name for one of the objects. But beware of the taboo words!","image, name, picture, photo","$0.20","Thu Nov 29 00:58:44 PST 2018","10","BatchId:3453438;OriginalHitTemplateId:862366346;","600","259200","Thu Dec 06 00:58:44 PST 2018","","","3BXQMRHWK13JJJN9L59KJSQMKNCMUA","A29RSERKIWQNXY","Submitted","Thu Nov 29 01:02:49 PST 2018","Thu Nov 29 01:08:07 PST 2018","Sun Dec 02 01:08:07 PST 2018","","","{}","318","0% (0/0)","0% (0/0)","0% (0/0)","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2346351_2280590_singleton_category.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2403942_1120049_ambiguous_synset.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2355516_1850502_ambiguous_synset.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2332727_3337741_ambiguous_category.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2319541_2810174_singleton_category.png","poodle, canine","girl, women, female","tool, scissors, shears","sauce, pizza, food","coffee, drink","Good","dog","Human","Cutter","New Dish","icecream","cat","blue","dish","beans","cabbage","","","","","","{}","{}","{}","{}","{}","x","{}"
"3FI30CQHVLOZBXVH8WG60M5RVB1B6C","3VWCB4I0H9AP9UJU4GN5M5TE4EEQ7D","YouNameIt","Please view an image and provide a name for one of the objects. But beware of the taboo words!","image, name, picture, photo","$0.20","Thu Nov 29 00:58:44 PST 2018","10","BatchId:3453438;OriginalHitTemplateId:862366346;","600","259200","Thu Dec 06 00:58:44 PST 2018","","","3D4CH1LGECYL7H3KCRGYARJBBGQG95","A154S5IIFDNUHX","Submitted","Thu Nov 29 01:06:01 PST 2018","Thu Nov 29 01:06:52 PST 2018","Sun Dec 02 01:06:52 PST 2018","","","{}","51","0% (0/0)","0% (0/0)","0% (0/0)","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2346351_2280590_singleton_category.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2403942_1120049_ambiguous_synset.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2355516_1850502_ambiguous_synset.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2332727_3337741_ambiguous_category.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2319541_2810174_singleton_category.png","poodle, canine","girl, women, female","tool, scissors, shears","sauce, pizza, food","coffee, drink","{}","dog","lady","{}","meal","tea","cat","blue","dish","beans","cabbage","","","exhausted","","","{}","{}","{}","{}","{}","x","{}"
"3FI30CQHVLOZBXVH8WG60M5RVB1B6C","3VWCB4I0H9AP9UJU4GN5M5TE4EEQ7D","YouNameIt","Please view an image and provide a name for one of the objects. But beware of the taboo words!","image, name, picture, photo","$0.20","Thu Nov 29 00:58:44 PST 2018","10","BatchId:3453438;OriginalHitTemplateId:862366346;","600","259200","Thu Dec 06 00:58:44 PST 2018","","","3EWIJTFFVQC5R9JG607HHDX6VWI0EX","A191V8LNTTLHSA","Submitted","Thu Nov 29 01:08:39 PST 2018","Thu Nov 29 01:10:02 PST 2018","Sun Dec 02 01:10:02 PST 2018","","","{}","83","0% (0/0)","0% (0/0)","0% (0/0)","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2346351_2280590_singleton_category.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2403942_1120049_ambiguous_synset.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2355516_1850502_ambiguous_synset.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2332727_3337741_ambiguous_category.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2319541_2810174_singleton_category.png","poodle, canine","girl, women, female","tool, scissors, shears","sauce, pizza, food","coffee, drink","NICE","DOG","LADY","CUTTER","DISH","DRINK","cat","blue","dish","beans","cabbage","","","","","","{}","{}","{}","{}","{}","x","{}"
"3FI30CQHVLOZBXVH8WG60M5RVB1B6C","3VWCB4I0H9AP9UJU4GN5M5TE4EEQ7D","YouNameIt","Please view an image and provide a name for one of the objects. But beware of the taboo words!","image, name, picture, photo","$0.20","Thu Nov 29 00:58:44 PST 2018","10","BatchId:3453438;OriginalHitTemplateId:862366346;","600","259200","Thu Dec 06 00:58:44 PST 2018","","","3F6HPJW4JF564J8L6N51M7XLZY6W2S","A24MVIOAF7SBLP","Submitted","Thu Nov 29 01:08:51 PST 2018","Thu Nov 29 01:13:06 PST 2018","Sun Dec 02 01:13:06 PST 2018","","","{}","255","0% (0/0)","0% (0/0)","0% (0/0)","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2346351_2280590_singleton_category.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2403942_1120049_ambiguous_synset.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2355516_1850502_ambiguous_synset.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2332727_3337741_ambiguous_category.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2319541_2810174_singleton_category.png","poodle, canine","girl, women, female","tool, scissors, shears","sauce, pizza, food","coffee, drink","{}","t- shirt","watch","toy","cheese","spoon","cat","blue","dish","beans","cabbage","","","","","","{}","{}","{}","{}","{}","x","{}"
"3FI30CQHVLOZBXVH8WG60M5RVB1B6C","3VWCB4I0H9AP9UJU4GN5M5TE4EEQ7D","YouNameIt","Please view an image and provide a name for one of the objects. But beware of the taboo words!","image, name, picture, photo","$0.20","Thu Nov 29 00:58:44 PST 2018","10","BatchId:3453438;OriginalHitTemplateId:862366346;","600","259200","Thu Dec 06 00:58:44 PST 2018","","","3HUTX6F6VWSYZAZJF1ER5DKZWW7O28","A25F6WT9CIM0Z5","Submitted","Thu Nov 29 01:09:05 PST 2018","Thu Nov 29 01:18:55 PST 2018","Sun Dec 02 01:18:55 PST 2018","","","{}","590","0% (0/0)","0% (0/0)","0% (0/0)","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2346351_2280590_singleton_category.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2403942_1120049_ambiguous_synset.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2355516_1850502_ambiguous_synset.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2332727_3337741_ambiguous_category.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2319541_2810174_singleton_category.png","poodle, canine","girl, women, female","tool, scissors, shears","sauce, pizza, food","coffee, drink","{}","puppydog","{}","cutter","spicybread","hotdrink","cat","blue","dish","beans","cabbage","","exhausted","","","","{}","{}","{}","{}","{}","x","{}"
"3FI30CQHVLOZBXVH8WG60M5RVB1B6C","3VWCB4I0H9AP9UJU4GN5M5TE4EEQ7D","YouNameIt","Please view an image and provide a name for one of the objects. But beware of the taboo words!","image, name, picture, photo","$0.20","Thu Nov 29 00:58:44 PST 2018","10","BatchId:3453438;OriginalHitTemplateId:862366346;","600","259200","Thu Dec 06 00:58:44 PST 2018","","","3OVR4I9USROBN0RMYSPJNXCXVBLQ4E","AF99UK28HM1MR","Submitted","Thu Nov 29 01:04:23 PST 2018","Thu Nov 29 01:08:44 PST 2018","Sun Dec 02 01:08:44 PST 2018","","","{}","261","100% (8/8)","100% (8/8)","100% (8/8)","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2346351_2280590_singleton_category.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2403942_1120049_ambiguous_synset.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2355516_1850502_ambiguous_synset.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2332727_3337741_ambiguous_category.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2319541_2810174_singleton_category.png","poodle, canine","girl, women, female","tool, scissors, shears","sauce, pizza, food","coffee, drink","{}","ANIMAL","PERSON","WEAPON","SNACK","GLASS","cat","blue","dish","beans","cabbage","","","","","","{}","{}","{}","{}","{}","x","{}"
"3FI30CQHVLOZBXVH8WG60M5RVB1B6C","3VWCB4I0H9AP9UJU4GN5M5TE4EEQ7D","YouNameIt","Please view an image and provide a name for one of the objects. But beware of the taboo words!","image, name, picture, photo","$0.20","Thu Nov 29 00:58:44 PST 2018","10","BatchId:3453438;OriginalHitTemplateId:862366346;","600","259200","Thu Dec 06 00:58:44 PST 2018","","","3PQMUDRV7TBSE92I69ME8WVU9J5III","AF1HT6VL272QZ","Submitted","Thu Nov 29 01:07:04 PST 2018","Thu Nov 29 01:08:37 PST 2018","Sun Dec 02 01:08:37 PST 2018","","","{}","93","0% (0/0)","0% (0/0)","0% (0/0)","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2346351_2280590_singleton_category.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2403942_1120049_ambiguous_synset.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2355516_1850502_ambiguous_synset.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2332727_3337741_ambiguous_category.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2319541_2810174_singleton_category.png","poodle, canine","girl, women, female","tool, scissors, shears","sauce, pizza, food","coffee, drink","nice","dog","leady","comb","dish","food","cat","blue","dish","beans","cabbage","","","","","","{}","{}","{}","{}","{}","x","{}"
"3FI30CQHVLOZBXVH8WG60M5RVB1B6C","3VWCB4I0H9AP9UJU4GN5M5TE4EEQ7D","YouNameIt","Please view an image and provide a name for one of the objects. But beware of the taboo words!","image, name, picture, photo","$0.20","Thu Nov 29 00:58:44 PST 2018","10","BatchId:3453438;OriginalHitTemplateId:862366346;","600","259200","Thu Dec 06 00:58:44 PST 2018","","","3QECW5O0KJ66BZNET12OXUTYFEFT50","ADAZPTXL4O6LF","Submitted","Thu Nov 29 01:07:33 PST 2018","Thu Nov 29 01:11:23 PST 2018","Sun Dec 02 01:11:23 PST 2018","","","{}","230","0% (0/0)","0% (0/0)","0% (0/0)","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2346351_2280590_singleton_category.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2403942_1120049_ambiguous_synset.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2355516_1850502_ambiguous_synset.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2332727_3337741_ambiguous_category.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2319541_2810174_singleton_category.png","poodle, canine","girl, women, female","tool, scissors, shears","sauce, pizza, food","coffee, drink","{}","DOG","PERSON","CUTTER","VEGETABLE","SWEET","cat","blue","dish","beans","cabbage","","","","","","{}","{}","{}","{}","{}","x","{}"
"3FI30CQHVLOZBXVH8WG60M5RVB1B6C","3VWCB4I0H9AP9UJU4GN5M5TE4EEQ7D","YouNameIt","Please view an image and provide a name for one of the objects. But beware of the taboo words!","image, name, picture, photo","$0.20","Thu Nov 29 00:58:44 PST 2018","10","BatchId:3453438;OriginalHitTemplateId:862366346;","600","259200","Thu Dec 06 00:58:44 PST 2018","","","3VHP9MDGRPPHRFESDRK7UWK7GMTFCM","AK0Y7Z9HRL7SG","Submitted","Thu Nov 29 01:13:33 PST 2018","Thu Nov 29 01:16:23 PST 2018","Sun Dec 02 01:16:23 PST 2018","","","{}","170","100% (3/3)","100% (3/3)","100% (3/3)","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2346351_2280590_singleton_category.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2403942_1120049_ambiguous_synset.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2355516_1850502_ambiguous_synset.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2332727_3337741_ambiguous_category.png","http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2319541_2810174_singleton_category.png","poodle, canine","girl, women, female","tool, scissors, shears","sauce, pizza, food","coffee, drink","{}","DOG","LADY","CUTER","VEGETABLE","FOOD","cat","blue","dish","beans","cabbage","","","","","","{}","{}","{}","{}","{}","x","{}"
