img_0_url,img_1_url,img_2_url,img_3_url,img_4_url,taboolist_0,taboolist_1,taboolist_2,taboolist_3,taboolist_4
http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2365354_757200_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2348563_1842485_singleton_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2416652_3366236_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2351945_3004860_singleton_obj.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2391841_1236887_ambiguous_synset.png,"apple, snack","sandwich, bread","doggy, animal","apartments, buildings","salad, greens, dish"
http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2339579_2625157_ambiguous_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2410265_221991_singleton_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2363996_3339443_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2359393_793716_singleton_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2374569_586596_singleton_category.png,"hut, umbrella, sea, tent","cafe, bistro","cheesecake, dessert, sweet","blt, food","cookie, biscuit, food, snack"
http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2365661_3883093_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2397900_1185290_ambiguous_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2372568_2038746_singleton_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/884_1637760_singleton_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2354467_1932694_singleton_obj.png,"gentleman, man, person, male","potato, snacks","batter, player, man","cereal, breakfast","dish, food"
http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2338246_3491340_ambiguous_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/3947_1070734_ambiguous_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2355687_2456318_singleton_obj.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2346351_2280590_singleton_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2384848_1304092_ambiguous_category.png,"pro, man",carport,"grill, food","poodle, canine, puppy","rice, food, grain, starch"
http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2342444_3339076_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2335655_2105998_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2341515_3654782_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2385544_1295610_singleton_obj.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2353604_2768859_singleton_obj.png,"shelter, elephant, hut, elephants","puppies, animal","huts, umbrella","cake, dessert","knife, vegetable"
http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2364387_3739180_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2378437_1857761_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2325122_3456054_ambiguous_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2332727_3337741_ambiguous_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2381209_706387_singleton_category.png,"theatre, cinema","husky, dog, canine, animal","garage, car","sauce, dish","puppy, animal"
http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2361816_2220050_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2358476_802308_ambiguous_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2397003_1193594_ambiguous_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2371407_597855_ambiguous_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2355516_1850502_ambiguous_synset.png,"rhubarb, vegetable, food, plant","pickle, tomato, food, cucumber","soup, food, stew, vegetables","catcher, player, keeper","tool, scissors, shears, cutter"
http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2350930_1830045_singleton_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2319541_2810174_singleton_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2367391_622824_singleton_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2404889_336926_singleton_obj.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2348287_883426_ambiguous_synset.png,"pitcher, mixer, juicer","coffee, cup, beverage","pug, dog, canine, animal",scissors,"tools, scissor, knife"
http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2347736_3165295_singleton_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2414319_296869_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2361069_784301_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2347092_3613245_singleton_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2338898_2232134_singleton_obj.png,"wine, liquor","lady, person","handsaw, scissor","artist, female, person","man, motorcyclist"
http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2373189_733918_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2410391_1863266_ambiguous_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2403942_1120049_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2412877_3802623_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2415689_3313513_ambiguous_synset.png,"dishes, measuring cup, scoop","skier, ski stick, athlete, man","girl, women, lady","terriers, dogs, canines, animal","pancake, flapjack, sweet"
