,domain,word1,word2,relation,same_object,subrelation,totalfreq,freq-w1-w2,freq-w2-w1,domain_w1,domain_w2,syn_w1,syn_w2
1217,buildings,bridge,train,crossclassified,f,supports.2,341,330,11,buildings,vehicles,0,0
2291,buildings,house,window,crossclassified,f,part.2,204,195,9,buildings,home,0,0
2288,buildings,building,window,crossclassified,f,part.2,202,166,36,buildings,home,0,0
3934,buildings,tent,canopy,crossclassified,t,overlapping,150,138,12,buildings,buildings,0,0
547,buildings,building,home,crossclassified,t,overlapping,110,88,22,buildings,buildings,0,0
6981,buildings,house,tree,crossclassified,f,adjacent,106,82,24,buildings,buildings,0,0
1476,buildings,building,store,crossclassified,t,overlapping,103,80,23,buildings,buildings,0,0
5870,buildings,bridge,road,crossclassified,f,adjacent,103,79,24,buildings,buildings,0,0
7001,buildings,building,tree,crossclassified,f,adjacent,97,52,45,buildings,buildings,0,0
5274,buildings,bridge,pole,crossclassified,f,adjacent,87,87,0,buildings,buildings,0,0
1973,buildings,building,pole,crossclassified,f,adjacent,80,70,10,buildings,buildings,0,0
795,buildings,bridge,walkway,crossclassified,t,conc_disagreement,78,69,9,buildings,buildings,0,0
1820,buildings,building,wall,crossclassified,f,part.2,76,62,14,buildings,home,0,0
784,buildings,bridge,dock,crossclassified,t,conc_disagreement,72,46,26,buildings,buildings,0,0
1979,buildings,house,pole,crossclassified,f,adjacent,71,68,3,buildings,buildings,0,0
14110,buildings,restaurant,store,crossclassified,t,overlapping,70,43,27,buildings,buildings,0,0
7809,buildings,dugout,bat,crossclassified,f,adjacent,69,69,0,buildings,people,0,0
19580,buildings,house,hut,crossclassified,t,overlapping,68,46,22,buildings,buildings,0,0
17831,buildings,garage,house,crossclassified,f,part.1,66,33,33,buildings,buildings,0,0
6653,buildings,house,garage,crossclassified,f,part.2,66,33,33,buildings,buildings,0,0
183,buildings,dugout,fence,crossclassified,f,adjacent,65,65,0,buildings,buildings,0,0
1444,buildings,building,clock,crossclassified,f,adjacent,65,48,17,buildings,buildings,0,0
4070,buildings,train,overpass,crossclassified,f,supports.2,63,36,27,vehicles,buildings,0,0
9928,buildings,shed,house,crossclassified,t,overlapping,63,39,24,buildings,buildings,0,0
9941,buildings,building,hut,crossclassified,t,hypernym.1,61,38,23,buildings,buildings,0,0
364,buildings,house,car,crossclassified,f,adjacent,60,60,0,buildings,vehicles,0,0
6536,buildings,bridge,street,crossclassified,t,overlapping,60,40,20,buildings,buildings,0,0
8691,buildings,house,door,crossclassified,f,part.2,58,49,9,buildings,home,0,0
192,buildings,dugout,pit,crossclassified,t,overlapping,55,55,0,buildings,buildings,0,0
12647,buildings,umbrella,tent,crossclassified,t,conc_disagreement,51,29,22,buildings,buildings,0,0
4662,buildings,dugout,cap,crossclassified,f,adjacent,50,50,0,buildings,people,0,0
792,buildings,bridge,fence,crossclassified,f,part.2,49,49,0,buildings,buildings,0,0
24034,buildings,building,bus,crossclassified,f,adjacent,49,29,20,buildings,vehicles,0,0
24418,buildings,building,storefront,crossclassified,f,part.2,49,29,20,buildings,buildings,0,0
1817,buildings,house,wall,crossclassified,f,part.2,47,43,4,buildings,home,0,0
28799,buildings,restaurant,storefront,crossclassified,t,overlapping,46,33,13,buildings,buildings,0,0
28803,buildings,storefront,store,crossclassified,f,part.2,46,30,16,buildings,buildings,0,0
20574,buildings,bridge,sidewalk,crossclassified,t,conc_disagreement,46,29,17,buildings,buildings,0,0
650,buildings,house,roof,crossclassified,f,part.2,44,34,10,buildings,buildings,0,0
1447,buildings,castle,church,crossclassified,t,conc_disagreement,44,27,17,buildings,buildings,0,0
652,buildings,building,roof,crossclassified,f,part.2,43,34,9,buildings,buildings,0,0
9175,buildings,dugout,helmet,crossclassified,f,adjacent,43,43,0,buildings,people,0,0
9951,buildings,house,barn,crossclassified,t,overlapping,43,35,8,buildings,buildings,0,0
21779,buildings,building,t-shirt,crossclassified,f,adjacent,42,29,13,buildings,clothing,0,0
7801,buildings,dugout,bench,crossclassified,f,part.2,41,41,0,buildings,home,0,0
12189,buildings,building,wheel,crossclassified,f,adjacent,40,35,5,buildings,vehicles,0,0
7808,buildings,dugout,t-shirt,crossclassified,f,adjacent,40,40,0,buildings,clothing,0,0
653,buildings,building,car,crossclassified,f,adjacent,40,29,11,buildings,vehicles,0,0
2917,buildings,building,umbrella,crossclassified,f,adjacent,39,30,9,buildings,buildings,0,0
1442,buildings,building,clock tower,crossclassified,f,adjacent,37,37,0,buildings,buildings,0,0
1475,buildings,building,shop,crossclassified,t,overlapping,37,32,5,buildings,buildings,0,0
6661,buildings,house,t-shirt,crossclassified,f,adjacent,37,35,2,buildings,clothing,0,0
12671,buildings,tent,awning,crossclassified,t,conc_disagreement,37,36,1,buildings,buildings,0,0
4771,buildings,bridge,car,crossclassified,f,adjacent,36,35,1,buildings,vehicles,0,0
9946,buildings,building,shack,crossclassified,t,hypernym.1,36,35,1,buildings,buildings,0,0
19582,buildings,house,shack,crossclassified,t,hypernym.1,34,33,1,buildings,buildings,0,0
5875,buildings,bridge,railway,crossclassified,t,overlapping,34,34,0,buildings,buildings,0,0
1972,buildings,building,board,crossclassified,f,part.2,33,30,3,buildings,home,0,0
2971,buildings,tracks,bridge,crossclassified,f,part.1,33,17,16,buildings,buildings,0,0
3821,buildings,building,wooden,crossclassified,f,material,33,33,0,buildings,home,0,0
5871,buildings,bridge,track,crossclassified,f,part.2,33,33,0,buildings,vehicles,0,0
2916,buildings,house,umbrella,crossclassified,f,adjacent,32,30,2,buildings,buildings,0,0
3820,buildings,house,wooden,crossclassified,f,material,32,31,1,buildings,home,0,0
5872,buildings,bridge,bus,crossclassified,f,adjacent,32,32,0,buildings,vehicles,0,0
17762,buildings,dugout,players,crossclassified,f,adjacent,32,32,0,buildings,buildings,0,0
779,buildings,bridge,railing,crossclassified,f,part.2,31,26,5,buildings,buildings,0,0
1818,buildings,house,shirt,crossclassified,f,adjacent,31,30,1,buildings,clothing,0,0
1821,buildings,building,shirt,crossclassified,f,adjacent,31,29,2,buildings,clothing,0,0
5290,buildings,train,pole,crossclassified,f,adjacent,31,16,15,vehicles,buildings,0,0
7100,buildings,bridge,wall,crossclassified,f,part.2,31,31,0,buildings,home,0,0
25832,buildings,tent,building,crossclassified,f,overlapping,31,24,7,buildings,buildings,0,0
38780,buildings,window,pole,crossclassified,f,adjacent,31,25,6,home,buildings,0,0
22295,buildings,building,apartment,crossclassified,t,conc_disagreement,30,24,6,buildings,buildings,0,0
28639,buildings,building,giraffe,crossclassified,f,adjacent,30,21,9,buildings,animals_plants,0,0
7050,buildings,building,man,crossclassified,f,adjacent,30,26,4,buildings,people,0,0
7106,buildings,building,train,crossclassified,f,adjacent,30,19,11,buildings,vehicles,0,0
1448,buildings,castle,cathedral,crossclassified,t,conc_disagreement,30,17,13,buildings,buildings,0,0
193,buildings,dugout,gallery,crossclassified,f,conc_disagreement,29,29,0,buildings,buildings,0,0
12195,buildings,house,wheel,crossclassified,f,adjacent,28,28,0,buildings,vehicles,0,0
14114,buildings,building,store front,crossclassified,f,part.2,28,25,3,buildings,buildings,0,0
14111,buildings,store,store front,crossclassified,f,part.2,27,24,3,buildings,buildings,0,0
35813,buildings,window,home,crossclassified,f,part.1,27,14,13,home,buildings,0,0
3989,buildings,dugout,team,crossclassified,f,adjacent,27,27,0,buildings,buildings,0,0
362,buildings,house,apartment,crossclassified,t,overlapping,27,23,4,buildings,buildings,0,0
190,buildings,dugout,stand,crossclassified,t,overlapping,26,26,0,buildings,home,0,0
7107,buildings,overpass,building,crossclassified,f,adjacent,26,13,13,buildings,buildings,0,0
8934,buildings,bridge,wheel,crossclassified,f,adjacent,26,26,0,buildings,vehicles,0,0
13898,buildings,building,overpass,crossclassified,f,adjacent,26,13,13,buildings,buildings,0,0
14045,buildings,building,truck,crossclassified,f,adjacent,26,13,13,buildings,vehicles,0,0
23390,buildings,truck,building,crossclassified,f,adjacent,26,13,13,vehicles,buildings,0,0
10298,buildings,grill,food,crossclassified,f,conc_disagreement,25,25,0,buildings,food,0,0
14117,buildings,restaurant,store front,crossclassified,f,part.2,25,21,4,buildings,buildings,0,0
15386,buildings,building,fence,crossclassified,f,adjacent,25,21,4,buildings,buildings,0,0
4343,buildings,bridge,boat,crossclassified,f,adjacent,25,25,0,buildings,vehicles,0,0
794,buildings,bridge,boardwalk,crossclassified,t,overlapping,25,25,0,buildings,buildings,0,0
181,buildings,dugout,railing,crossclassified,f,adjacent,24,24,0,buildings,buildings,0,0
1995,buildings,sign,board,crossclassified,t,overlapping,24,23,1,buildings,home,0,0
7269,buildings,building,station,crossclassified,t,hypernym.1,24,24,0,buildings,buildings,0,0
14043,buildings,house,truck,crossclassified,f,adjacent,24,24,0,buildings,vehicles,0,0
9930,buildings,shed,hut,crossclassified,t,overlapping,23,18,5,buildings,buildings,0,0
