,domain,word1,word2,relation,same_object,subrelation,totalfreq,freq-w1-w2,freq-w2-w1,domain_w1,domain_w2,syn_w1,syn_w2
37,clothing,jacket,shirt,crossclassified,t,overlapping,2648,1741,907,clothing,clothing,0,0
1675,clothing,jacket,suit,crossclassified,t,overlapping,2305,1242,1063,clothing,clothing,0,0
293,clothing,shirt,tie,crossclassified,f,adjacent,1046,807,239,clothing,clothing,0,0
899,clothing,shirt,dress,crossclassified,t,overlapping,934,581,353,clothing,clothing,0,0
2702,clothing,shirt,coat,crossclassified,t,overlapping,893,514,379,clothing,clothing,0,0
3604,clothing,jacket,tie,crossclassified,f,adjacent,761,662,99,clothing,clothing,0,0
3601,clothing,suit,tie,crossclassified,f,adjacent,712,546,166,clothing,clothing,0,0
41,clothing,shirt,man,crossclassified,f,Supports.2,643,597,46,clothing,people,0,0
1677,clothing,suit,coat,crossclassified,t,overlapping,526,364,162,clothing,clothing,0,0
564,clothing,jacket,sweater,crossclassified,t,overlapping,489,363,126,clothing,clothing,0,0
33,clothing,jacket,man,crossclassified,f,Supports.2,434,377,57,clothing,people,0,0
1738,clothing,jacket,t-shirt,crossclassified,t,overlapping,382,311,71,clothing,clothing,0,0
2645,clothing,jacket,dress,crossclassified,f,overlapping,313,220,93,clothing,clothing,0,0
3606,clothing,tie,coat,crossclassified,f,adjacent,307,181,126,clothing,clothing,0,0
44,clothing,shirt,sweatshirt,crossclassified,t,Hypernym.1,269,210,59,clothing,clothing,0,0
906,clothing,shirt,woman,crossclassified,f,Supports.2,269,193,76,clothing,people,0,0
1392,clothing,shirt,blouse,crossclassified,t,overlapping,247,247,0,clothing,clothing,0,0
488,clothing,t-shirt,man,crossclassified,f,Supports.2,239,177,62,clothing,people,0,0
1140,clothing,t-shirt,dress,crossclassified,t,overlapping,233,134,99,clothing,clothing,0,0
34,clothing,jacket,sweatshirt,crossclassified,t,overlapping,227,191,36,clothing,clothing,0,0
2804,clothing,sweater,t-shirt,crossclassified,t,overlapping,222,133,89,clothing,clothing,0,0
2534,clothing,coat,man,crossclassified,f,Supports.2,214,146,68,clothing,people,0,0
5827,clothing,suit,blazer,crossclassified,t,overlapping,203,183,20,clothing,clothing,0,0
4205,clothing,jacket,woman,crossclassified,f,Supports.2,197,168,29,clothing,people,0,0
855,clothing,coat,sweater,crossclassified,t,overlapping,182,94,88,clothing,clothing,0,0
1746,clothing,coat,t-shirt,crossclassified,f,overlapping,176,141,35,clothing,clothing,0,0
2736,clothing,coat,dress,crossclassified,t,overlapping,164,117,47,clothing,clothing,0,0
2472,clothing,dress,blouse,crossclassified,t,overlapping,137,80,57,clothing,clothing,0,0
47,clothing,shirt,person,crossclassified,f,Supports.2,135,126,9,clothing,people,0,0
901,clothing,dress,woman,crossclassified,f,Supports.2,133,114,19,clothing,people,0,0
2806,clothing,t-shirt,sweatshirt,crossclassified,t,overlapping,122,63,59,clothing,clothing,0,0
4090,clothing,shirt,uniform,crossclassified,t,overlapping,118,99,19,clothing,clothing,0,0
