,domain,word1,word2,relation,same_object,subrelation,totalfreq,freq-w1-w2,freq-w2-w1,domain_w1,domain_w2,syn_w1,syn_w2
491,home,carpet,floor,crossclassified,t,metonymy,2809,1937,872,home,home,0,0
86,home,desk,keyboard,crossclassified,f,supports.1,1516,1468,48,home,home,0,0
1028,home,counter,countertop,crossclassified,t,metonymy,1376,1365,11,home,home,0,0
988,home,sink,counter,crossclassified,f,part.1,1227,629,598,home,home,0,0
2483,home,desk,laptop,crossclassified,f,supports.1,1101,997,104,home,home,0,0
1020,home,table,keyboard,crossclassified,f,supports.1,1087,651,436,home,home,0,0
2486,home,table,laptop,crossclassified,f,supports.1,1024,799,225,home,home,0,0
492,home,floor,rug,crossclassified,f,supports.1,944,493,451,home,home,0,0
1034,home,table,countertop,crossclassified,t,metonymy,767,505,262,home,home,0,0
434,home,bed,pillow,crossclassified,f,supports.1,753,724,29,home,home,0,0
2130,home,bowl,food,crossclassified,t,metonymy,654,556,98,home,food,0,0
2412,home,chair,table,crossclassified,f,adjacent,594,325,269,home,home,0,0
520,home,table,plate,crossclassified,f,supports.1,559,537,22,home,food,0,0
989,home,sink,vanity,crossclassified,f,part.1,537,475,62,home,home,0,0
501,home,carpet,table,crossclassified,f,supports.1,445,358,87,home,home,0,0
2989,home,cabinet,cupboard,crossclassified,t,loose_synonyms,441,433,8,home,home,0,0
4654,home,keyboard,laptop,crossclassified,f,part.1,436,255,181,home,home,0,0
1802,home,table,cake,crossclassified,f,supports.1,419,395,24,home,food,0,0
3609,home,desk,desktop,crossclassified,t,metonymy,363,363,0,home,home,0,0
2262,home,sink,countertop,crossclassified,f,part.1,354,265,89,home,home,0,0
10997,home,bed,bed sheet,crossclassified,f,supports.1,339,336,3,home,home,0,0
3610,home,table,desktop,crossclassified,t,loose_synonyms,323,295,28,home,home,0,0
507,home,rug,table,crossclassified,f,supports.1,314,224,90,home,home,0,0
3823,home,chair,cat,crossclassified,f,supports.1,299,230,69,home,animals_plants,0,0
645,home,table,pizza,crossclassified,f,supports.1,292,240,52,home,food,0,0
9283,home,floor,bed,crossclassified,f,supports.1,292,185,107,home,home,0,0
11754,home,carpet,bed,crossclassified,f,supports.1,284,236,48,home,home,0,0
1006,home,sofa,bed,crossclassified,t,loose_synonyms,278,144,134,home,home,0,0
4401,home,carpet,chair,crossclassified,f,supports.1,273,199,74,home,home,0,0
1609,home,sofa,pillow,crossclassified,f,supports.1,270,231,39,home,home,0,0
1606,home,couch,pillow,crossclassified,f,supports.1,269,254,15,home,home,0,0
4798,home,floor,chair,crossclassified,f,supports.1,256,218,38,home,home,0,0
1495,home,table,glass,crossclassified,f,supports.1,250,231,19,home,home,0,0
149,home,bed,mattress,crossclassified,f,part.2,245,245,0,home,home,0,0
4649,home,table,wood,crossclassified,f,part.2,235,219,16,home,home,0,0
3932,home,desk,computer,crossclassified,f,supports.1,232,231,1,home,home,0,0
7645,home,bed,bed cover,crossclassified,f,supports.1,230,227,3,home,home,0,0
3351,home,table,cat,crossclassified,f,supports.1,228,160,68,home,animals_plants,0,0
1535,home,counter,food,crossclassified,f,supports.1,226,179,47,home,food,0,0
2575,home,table,cup,crossclassified,f,supports.1,224,204,20,home,home,0,0
8432,home,bowl,soup,crossclassified,t,metonymy,217,206,11,home,food,0,0
4400,home,rug,chair,crossclassified,f,supports.1,216,155,61,home,home,0,0
6786,home,chair,dog,crossclassified,f,supports.1,215,179,36,home,animals_plants,0,0
572,home,table,vase,crossclassified,f,supports.1,215,195,20,home,home,0,0
3854,home,bowl,fruit,crossclassified,f,supports.1,214,187,27,home,home,0,0
1524,home,vase,pot,crossclassified,t,loose_synonyms,211,185,26,home,home,0,0
2000,home,bed,table,crossclassified,f,adjacent,210,148,62,home,home,0,0
3348,home,sofa,table,crossclassified,f,adjacent,203,149,54,home,home,0,0
