,domain,word1,word2,relation,same_object,subrelation,totalfreq,freq-w1-w2,freq-w2-w1,domain_w1,domain_w2,syn_w1,syn_w2
379,people,man,skateboarder,crossclassified,t,overlapping,2518,1278,1240,people,people,0,0
380,people,man,skater,crossclassified,t,overlapping,2184,1275,909,people,people,0,0
384,people,person,t-shirt,crossclassified,f,Supports.1,2029,1360,669,people,clothing,0,0
381,people,man,t-shirt,crossclassified,f,Supports.1,1536,1470,66,people,clothing,0,0
304,people,person,shirt,crossclassified,f,Supports.1,1453,1064,389,people,clothing,0,0
301,people,person,shoe,crossclassified,f,Supports.1,1430,886,544,people,people,0,0
578,people,woman,tennis player,crossclassified,t,overlapping,1384,1307,77,people,people,0,0
307,people,man,shoe,crossclassified,f,Supports.1,1315,1171,144,people,people,0,0
101,people,skateboarder,boy,crossclassified,t,overlapping,1167,783,384,people,people,0,0
310,people,man,shirt,crossclassified,f,Supports.1,1123,1093,30,people,clothing,0,0
467,people,woman,t-shirt,crossclassified,f,Supports.1,1116,1092,24,people,clothing,0,0
3,people,man,baseball player,crossclassified,t,overlapping,1081,817,264,people,people,0,0
103,people,skater,boy,crossclassified,t,overlapping,1057,656,401,people,people,0,0
385,people,boy,t-shirt,crossclassified,f,Supports.1,1057,876,181,people,clothing,0,0
579,people,woman,player,crossclassified,t,overlapping,995,915,80,people,people,0,0
1702,people,man,tennis player,crossclassified,t,overlapping,897,808,89,people,people,0,0
1715,people,skier,man,crossclassified,t,overlapping,838,592,246,people,people,0,0
117,people,woman,shirt,crossclassified,f,Supports.1,769,733,36,people,clothing,0,0
373,people,child,t-shirt,crossclassified,f,Supports.1,754,672,82,people,clothing,0,0
18,people,boy,player,crossclassified,t,overlapping,745,545,200,people,people,0,0
0,people,man,batter,crossclassified,t,overlapping,734,552,182,people,people,0,0
1406,people,person,human,crossclassified,t,loose_synonyms,717,679,38,people,people,0,0
296,people,boy,shoe,crossclassified,f,Supports.1,704,535,169,people,people,0,0
726,people,person,dress,crossclassified,f,Supports.1,702,584,118,people,clothing,0,0
597,people,player,t-shirt,crossclassified,f,Supports.1,676,528,148,people,clothing,0,0
369,people,girl,t-shirt,crossclassified,f,Supports.1,665,522,143,people,clothing,0,0
668,people,player,shoe,crossclassified,f,Supports.1,661,416,245,people,people,0,0
711,people,person,cap,crossclassified,f,Supports.1,658,435,223,people,people,0,0
915,people,skateboarder,shoe,crossclassified,f,Supports.1,642,565,77,people,people,0,0
444,people,person,jacket,crossclassified,f,Supports.1,620,527,93,people,clothing,0,0
913,people,skater,shoe,crossclassified,f,Supports.1,619,502,117,people,people,0,0
119,people,woman,dress,crossclassified,f,Supports.1,605,589,16,people,clothing,0,0
1370,people,man,cap,crossclassified,f,Supports.1,586,560,26,people,people,0,0
1213,people,man,athlete,crossclassified,t,overlapping,565,536,29,people,people,0,0
300,people,boy,shirt,crossclassified,f,Supports.1,562,481,81,people,clothing,0,0
960,people,woman,shoe,crossclassified,f,Supports.1,561,511,50,people,people,0,0
2048,people,surfer,man,crossclassified,t,overlapping,535,324,211,people,people,0,0
377,people,kid,t-shirt,crossclassified,f,Supports.1,495,303,192,people,clothing,0,0
1125,people,skier,woman,crossclassified,t,overlapping,494,335,159,people,people,0,0
2179,people,shoe,t-shirt,crossclassified,f,adjacent,453,303,150,people,clothing,0,0
315,people,child,shirt,crossclassified,f,Supports.1,450,412,38,people,clothing,0,0
438,people,man,jacket,crossclassified,f,Supports.1,439,407,32,people,clothing,0,0
1649,people,woman,human,crossclassified,t,Hypernym.2,403,386,17,people,people,0,0
595,people,girl,player,crossclassified,t,overlapping,400,221,179,people,people,0,0
124,people,girl,shirt,crossclassified,f,Supports.1,393,312,81,people,clothing,0,0
1082,people,woman,jacket,crossclassified,f,Supports.1,388,369,19,people,clothing,0,0
27,people,boy,baseball player,crossclassified,t,overlapping,377,289,88,people,people,0,0
956,people,woman,surfer,crossclassified,t,overlapping,375,220,155,people,people,0,0
958,people,woman,athlete,crossclassified,t,overlapping,374,359,15,people,people,0,0
723,people,girl,boy,crossclassified,f,conc_disagreemnt,373,189,184,people,people,0,0
588,people,tennis player,t-shirt,crossclassified,f,Supports.1,354,318,36,people,clothing,0,0
1369,people,man,dress,crossclassified,f,Supports.1,346,335,11,people,clothing,0,0
2190,people,person,pant,crossclassified,f,Supports.1,339,269,70,people,people,0,0
963,people,tennis player,shoe,crossclassified,f,Supports.1,332,284,48,people,people,0,0
311,people,child,shoe,crossclassified,f,Supports.1,329,250,79,people,people,0,0
4678,people,snowboarder,man,crossclassified,t,overlapping,325,207,118,people,people,0,0
126,people,girl,dress,crossclassified,f,Supports.1,322,284,38,people,clothing,0,0
967,people,girl,shoe,crossclassified,f,Supports.1,314,211,103,people,people,0,0
696,people,boy,cap,crossclassified,f,Supports.1,307,269,38,people,people,0,0
306,people,man,kid,crossclassified,t,overlapping,305,235,70,people,people,0,0
2183,people,man,pant,crossclassified,f,Supports.1,303,297,6,people,people,0,0
1086,people,player,cap,crossclassified,f,Supports.1,298,242,56,people,people,0,0
2439,people,boy,baby,crossclassified,t,overlapping,293,205,88,people,people,0,0
2182,people,t-shirt,dress,crossclassified,t,conc_disagreemnt,291,229,62,clothing,clothing,0,0
594,people,player,shirt,crossclassified,f,Supports.1,285,222,63,people,clothing,0,0
20,people,player,bat,crossclassified,f,Supports.1,283,234,49,people,people,0,0
979,people,skateboarder,skateboard,crossclassified,f,Supports.2,283,270,13,people,people,0,0
2009,people,man,tie,crossclassified,f,Supports.1,283,277,6,people,clothing,0,0
320,people,kid,shirt,crossclassified,f,Supports.1,282,189,93,people,clothing,0,0
966,people,shoe,athlete,crossclassified,f,Supports.2,279,159,120,people,people,0,0
1834,people,boy,human,crossclassified,t,Hypernym.2,278,250,28,people,people,0,0
976,people,skater,skateboard,crossclassified,f,Supports.2,277,261,16,people,people,0,0
586,people,tennis player,girl,crossclassified,t,overlapping,277,189,88,people,people,0,0
2421,people,child,skier,crossclassified,t,overlapping,273,171,102,people,people,0,0
22,people,person,helmet,crossclassified,f,Supports.2,272,187,85,people,people,0,0
4,people,man,helmet,crossclassified,f,Supports.2,271,246,25,people,people,0,0
2318,people,man,pitcher,crossclassified,f,Supports.2,271,151,120,people,people,0,0
1268,people,boy,toddler,crossclassified,t,overlapping,269,237,32,people,people,0,0
959,people,woman,child,crossclassified,f,conc_disagreemnt,263,148,115,people,people,0,0
316,people,kid,shoe,crossclassified,f,Supports.2,260,131,129,people,people,0,0
1665,people,man,skateboard,crossclassified,f,Supports.2,259,240,19,people,people,0,0
382,people,skateboarder,t-shirt,crossclassified,f,Supports.2,258,241,17,people,clothing,0,0
1081,people,woman,cap,crossclassified,f,Supports.2,255,246,9,people,people,0,0
383,people,skater,t-shirt,crossclassified,f,Supports.2,254,215,39,people,clothing,0,0
1205,people,player,kid,crossclassified,t,overlapping,251,159,92,people,people,0,0
1129,people,person,skateboard,crossclassified,f,Supports.2,250,210,40,people,people,0,0
8848,people,catcher,man,crossclassified,t,overlapping,249,209,40,people,people,0,0
717,people,child,dress,crossclassified,f,Supports.2,248,244,4,people,clothing,0,0
324,people,shoe,shirt,crossclassified,f,adjacent,245,192,53,people,clothing,0,0
12,people,boy,batter,crossclassified,t,overlapping,241,183,58,people,people,0,0
5209,people,snowboarder,skier,crossclassified,t,Hypernym.2,239,178,61,people,people,0,0
1921,people,athlete,t-shirt,crossclassified,f,Supports.2,230,124,106,people,clothing,0,0
933,people,boy,soccer player,crossclassified,t,overlapping,230,170,60,people,people,0,0
25,people,person,bat,crossclassified,f,Supports.2,229,168,61,people,people,0,0
105,people,skateboarder,kid,crossclassified,t,overlapping,225,178,47,people,people,0,0
729,people,boy,dress,crossclassified,f,Supports.2,223,209,14,people,clothing,0,0
1833,people,woman,boy,crossclassified,f,conc_disagreemnt,220,119,101,people,people,0,0
107,people,skater,kid,crossclassified,t,overlapping,219,180,39,people,people,0,0
694,people,boy,athlete,crossclassified,t,overlapping,218,177,41,people,people,0,0
97,people,skateboarder,child,crossclassified,t,overlapping,217,146,71,people,people,0,0
654,people,woman,phone,crossclassified,,,217,212,5,people,people,0,0
667,people,player,ball,crossclassified,,,215,153,62,people,people,0,0
3954,people,person,phone,crossclassified,,,206,112,94,people,people,0,0
697,people,child,baseball player,crossclassified,,,204,120,84,people,people,0,0
8450,people,boy,tennis player,crossclassified,,,204,117,87,people,people,0,0
881,people,girl,human,crossclassified,,,203,178,25,people,people,0,0
2163,people,baby,toddler,crossclassified,,,202,127,75,people,people,0,0
734,people,shirt,dress,crossclassified,,,201,142,59,clothing,clothing,0,0
2327,people,baseball player,shoe,crossclassified,,,201,159,42,people,people,0,0
99,people,skater,child,crossclassified,,,201,120,81,people,people,0,0
701,people,child,cap,crossclassified,,,201,164,37,people,people,0,0
441,people,boy,jacket,crossclassified,,,200,172,28,people,clothing,0,0
661,people,man,soccer player,crossclassified,,,198,159,39,people,people,0,0
705,people,baseball player,cap,crossclassified,,,198,177,21,people,people,0,0
1718,people,skier,jacket,crossclassified,,,197,182,15,people,clothing,0,0
3824,people,woman,skateboarder,crossclassified,,,196,123,73,people,people,0,0
