,word1,word2,relation,freq. (unord),"freq. (w1,w2)","freq. (w2,w1)"
107,airplane,plane,synonymy,15023,11194,3829
327,desk,table,hypernymy.2,4584,3448,1136
29,boy,child,hypernymy.2,4264,3249,1015
148,couch,sofa,synonymy,4218,4090,128
106,person,woman,hypernymy.1,3788,177,3611
2,man,person,hypernymy.2,3763,3558,205
113,shirt,t-shirt,hypernymy.1,2929,2928,1
43,coat,jacket,hypernymy.1,2754,352,2402
35,girl,woman,hypernymy.2,2743,405,2338
123,child,girl,hypernymy.1,2633,646,1987
82,bike,motorcycle,synonymy,2632,0,2632
171,carpet,floor,crossclassified,2435,1697,738
10,jacket,shirt,crossclassified,2366,1552,814
503,jacket,suit,crossclassified,2197,1168,1029
332,counter,table,hypernymy.2,2107,1201,906
130,man,skateboarder,crossclassified,2019,1074,945
52,food,pizza,hypernymy.1,2004,114,1890
144,skateboarder,skater,hypernymy.2,1748,1194,554
4,boy,man,hypernymy.2,1682,467,1215
156,building,house,hypernymy.1,1676,516,1160
598,boat,ship,co-hyponymy,1540,1301,239
440,carpet,rug,synonymy,1525,630,895
281,bench,chair,co-hyponymy,1521,1401,120
108,airplane,jet,hypernymy.1,1491,1319,172
54,car,truck,co-hyponymy,1421,325,1096
26,desk,keyboard,crossclassified,1413,1380,33
169,man,shirt,crossclassified,1390,891,499
12,food,sandwich,hypernymy.1,1385,262,1123
1,man,player,co-hyponymy,1370,1276,94
131,man,skater,crossclassified,1236,861,375
321,counter,sink,crossclassified,1197,591,606
132,man,t-shirt,crossclassified,1145,1145,0
331,counter,countertop,crossclassified,1101,1101,0
100,boy,kid,hypernymy.2,1096,1096,0
165,t-shirt,woman,crossclassified,976,0,976
88,bathtub,tub,synonymy,964,816,148
736,desk,laptop,crossclassified,902,868,34
24,car,vehicle,hypernymy.2,881,874,7
99,boy,person,hypernymy.2,867,800,67
205,motorcycle,wheel,crossclassified,864,862,2
199,player,woman,crossclassified,859,22,837
38,shirt,woman,crossclassified,839,134,705
97,shirt,tie,crossclassified,836,723,113
39,lady,woman,hypernymy.2,798,0,798
291,dress,shirt,crossclassified,791,327,464
146,boy,skateboarder,crossclassified,744,278,466
180,man,woman,co-hyponymy,725,214,511
48,truck,wheel,crossclassified,720,720,0
55,truck,vehicle,hypernymy.2,720,718,2
510,man,skier,crossclassified,712,165,547
149,chair,couch,co-hyponymy,702,279,423
152,bed,pillow,crossclassified,692,692,0
223,man,shoe,crossclassified,675,648,27
40,dress,woman,crossclassified,627,92,535
19,truck,van,hypernymy.1,622,439,183
232,food,hotdog,hypernymy.1,598,39,559
359,bread,sandwich,crossclassified,594,276,318
355,goat,sheep,co-hyponymy,581,95,486
637,bowl,food,crossclassified,576,502,74
159,bull,cow,co-hyponymy,568,53,515
0,batter,man,crossclassified,558,120,438
145,person,skateboarder,hypernymy.1,557,19,538
8,jacket,man,crossclassified,553,267,286
17,car,van,hypernymy.1,541,242,299
13,hotdog,sandwich,hypernymy.2,540,365,175
817,shirt,sweater,co-hyponymy,535,450,85
609,man,surfer,crossclassified,533,210,323
1017,motorcycle,scooter,crossclassified,532,382,150
217,food,table,hypernymy.1,524,9,515
237,boy,t-shirt,crossclassified,523,515,8
312,bench,table,hypernymy.2,522,383,139
32,child,kid,synonymy,515,515,0
116,jet,plane,hypernymy.2,503,154,349
168,cheese,pizza,crossclassified,493,36,457
15,burger,sandwich,hypernymy.2,488,90,398
65,food,salad,hypernymy.1,485,73,412
1087,car,wheel,co-hyponymy,457,457,0
160,animal,cow,hypernymy.1,455,9,446
745,bird,parrot,hypernymy.1,454,349,105
314,boy,skater,crossclassified,451,229,222
83,motorbike,motorcycle,hypernymy.2,447,0,447
438,plate,table,crossclassified,444,6,438
346,jacket,woman,crossclassified,443,129,314
206,pizza,plate,crossclassified,442,442,0
175,floor,rug,crossclassified,439,135,304
361,skier,woman,crossclassified,428,302,126
126,girl,person,hypernymy.2,424,387,37
360,person,skier,hypernymy.1,424,2,422
310,shoe,woman,crossclassified,420,8,412
198,cake,table,crossclassified,407,28,379
358,bread,food,hypernymy.2,400,259,141
375,boy,player,crossclassified,389,355,34
124,girl,kid,hypernymy.2,385,385,0
59,guy,man,hypernymy.2,385,0,385
576,athlete,man,crossclassified,384,1,383
387,animal,giraffe,hypernymy.1,382,0,382
306,surfer,woman,crossclassified,374,154,220
118,cake,food,hypernymy.2,372,290,82
1377,jacket,tie,crossclassified,371,340,31
