,word1,word2,relation,freq.
190,plane,airplane,synonymy,8705
247,girl,woman,hypernymy.2,8385
740,lady,woman,hypernymy.2,7360
179,guy,man,hypernymy.2,6683
162,airplane,plane,synonymy,6647
1249,car,train,crossclassified,5567
439,desk,table,hypernymy.2,4360
48,coat,jacket,hypernymy.1,4305
115,boy,man,hypernymy.2,4149
116,boy,child,hypernymy.2,3490
174,couch,sofa,synonymy,2939
208,carpet,floor,crossclassified,2736
444,counter,table,hypernymy.2,2671
429,sofa,couch,synonymy,2574
135,shirt,t-shirt,hypernymy.1,2511
57,cheese,pizza,crossclassified,2507
186,house,building,hypernymy.2,2371
69,man,person,hypernymy.2,2197
304,bun,hotdog,crossclassified,2191
483,bread,sandwich,crossclassified,2186
95,motorcycle,bike,synonymy,2154
124,woman,person,hypernymy.2,2050
984,table,desk,hypernymy.1,2037
12,jacket,shirt,crossclassified,1885
113,boy,person,hypernymy.2,1822
155,boy,skateboarder,crossclassified,1768
456,counter,sink,crossclassified,1761
147,child,girl,hypernymy.1,1704
125,jet,airplane,hypernymy.2,1695
263,motorbike,motorcycle,hypernymy.2,1630
269,girl,child,hypernymy.2,1575
1194,t-shirt,shirt,hypernymy.2,1571
187,aircraft,airplane,hypernymy.1,1471
1969,jacket,suit,crossclassified,1449
249,girl,person,hypernymy.2,1446
362,bench,chair,co-hyponymy,1427
156,boy,skater,crossclassified,1351
128,car,truck,co-hyponymy,1306
212,carpet,rug,synonymy,1295
30,desk,keyboard,crossclassified,1291
443,counter,countertop,crossclassified,1291
126,jet,plane,hypernymy.2,1268
123,pizza,food,hypernymy.2,1253
798,boat,ship,co-hyponymy,1238
114,boy,kid,hypernymy.2,1204
1068,jacket,coat,hypernymy.2,1200
188,aircraft,plane,hypernymy.1,1102
257,child,boy,hypernymy.1,1087
196,bull,cow,co-hyponymy,1013
597,rug,carpet,synonymy,999
0,batter,man,crossclassified,965
741,lady,person,hypernymy.2,948
668,coat,suit,crossclassified,940
27,car,vehicle,hypernymy.2,911
481,bread,food,hypernymy.2,905
63,truck,car,co-hyponymy,898
40,woman,girl,hypernymy.1,889
180,guy,person,hypernymy.2,878
2507,sauce,pizza,crossclassified,837
1050,desk,laptop,crossclassified,809
379,dress,shirt,crossclassified,807
464,woman,tennis player,crossclassified,791
35,kid,boy,hypernymy.1,776
157,boy,t-shirt,crossclassified,768
111,shirt,tie,crossclassified,743
305,bun,sandwich,crossclassified,735
936,shirt,jacket,crossclassified,712
4033,ship,boat,co-hyponymy,708
1548,motorcycle,wheel,crossclassified,697
101,tub,bathtub,synonymy,681
178,bed,pillow,crossclassified,679
55,truck,wheel,crossclassified,661
416,bench,table,hypernymy.2,652
14,sandwich,food,hypernymy.2,649
191,plane,jet,hypernymy.1,631
2241,blazer,jacket,hypernymy.2,625
1862,pot,vase,crossclassified,620
1,batter,baseball player,hypernymy.2,617
1100,coat,shirt,crossclassified,610
683,man,t-shirt,crossclassified,608
64,truck,vehicle,hypernymy.2,600
385,skateboarder,man,crossclassified,599
163,airplane,jet,hypernymy.1,584
386,skateboarder,skater,hypernymy.2,582
306,bun,food,hypernymy.2,579
502,boy,player,crossclassified,572
34,kid,child,synonymy,570
398,man,player,co-hyponymy,563
682,man,tennis player,crossclassified,562
118,boy,shoe,crossclassified,559
1899,overpass,bridge,hypernymy.2,559
390,man,skateboarder,crossclassified,551
229,man,shirt,crossclassified,530
1706,goat,sheep,co-hyponymy,520
876,bathtub,tub,synonymy,501
1111,shirt,sweater,co-hyponymy,498
437,woman,man,co-hyponymy,497
76,salad,food,hypernymy.2,496
2639,puppy,dog,hypernymy.2,492
1528,car,wheel,co-hyponymy,491
720,table,counter,hypernymy.1,490
2,batter,player,hypernymy.2,489
148,child,kid,synonymy,488
850,bowl,food,crossclassified,474
2508,sauce,food,hypernymy.2,473
274,bowl,toilet,crossclassified,472
4411,suv,car,hypernymy.2,467
465,woman,player,crossclassified,467
1361,bread,hotdog,crossclassified,462
253,girl,t-shirt,crossclassified,460
202,woman,t-shirt,crossclassified,460
61,cheese,food,hypernymy.2,449
4046,cap,hat,co-hyponymy,449
399,man,boy,hypernymy.1,448
283,table,food,hypernymy.2,443
205,shirt,man,crossclassified,442
389,man,skater,crossclassified,438
478,sheep,goat,co-hyponymy,438
2462,counter,desk,co-hyponymy,437
598,rug,floor,crossclassified,432
458,counter,vanity,co-hyponymy,430
372,truck,van,hypernymy.1,426
214,carpet,table,crossclassified,418
1989,jacket,tie,crossclassified,413
1551,chair,couch,co-hyponymy,412
44,woman,lady,hypernymy.1,409
916,skier,man,crossclassified,402
248,girl,tennis player,crossclassified,400
1016,hotel,building,hypernymy.2,400
558,car,mirror,crossclassified,398
5110,restaurant,building,hypernymy.2,391
250,girl,player,crossclassified,388
175,couch,chair,co-hyponymy,381
121,boy,shirt,crossclassified,381
595,table,plate,crossclassified,380
518,giraffe,animal,hypernymy.2,378
1483,parrot,bird,hypernymy.2,378
3094,scooter,motorcycle,crossclassified,378
1387,man,skier,crossclassified,366
556,guy,skateboarder,crossclassified,363
132,curtain,shower curtain,hypernymy.1,361
841,pizza,plate,crossclassified,356
721,table,cake,crossclassified,355
748,shirt,dress,crossclassified,354
19,van,car,hypernymy.2,354
1201,cabinet,cupboard,crossclassified,354
43,woman,shirt,crossclassified,352
2245,blazer,suit,crossclassified,347
2271,sedan,car,hypernymy.2,344
688,woman,skier,crossclassified,344
1716,man,surfer,crossclassified,344
1933,cabinet,counter,co-hyponymy,343
96,motorcycle,motorbike,hypernymy.1,341
434,sofa,chair,co-hyponymy,339
21,van,truck,hypernymy.2,332
392,man,shoe,crossclassified,332
4697,pickup,truck,hypernymy.2,327
1019,bun,bread,hypernymy.2,324
2870,dish,bowl,hypernymy.1,324
814,necktie,tie,synonymy,319
944,cup,mug,co-hyponymy,313
313,boy,baseball player,crossclassified,310
1414,desk,desktop,crossclassified,310
1890,boy,surfer,crossclassified,308
1389,counter,cabinet,co-hyponymy,307
982,boat,sailboat,crossclassified,306
555,guy,skater,crossclassified,306
368,girl,kid,hypernymy.2,306
943,cup,glass,co-hyponymy,305
4703,bed,bed sheet,crossclassified,304
1553,chair,sofa,co-hyponymy,304
182,guy,boy,co-hyponymy,303
8002,bookcase,bookshelf,crossclassified,302
10139,moped,scooter,crossclassified,302
1142,gentleman,man,synonymy,301
4751,carpet,bed,crossclassified,296
239,jacket,sweater,crossclassified,290
3669,skater,skateboarder,hypernymy.1,289
649,cow,animal,hypernymy.2,288
986,table,laptop,crossclassified,285
2721,lady,girl,co-hyponymy,284
505,bridge,train,crossclassified,282
218,guy,t-shirt,crossclassified,282
151,child,person,hypernymy.2,281
998,bird,parrot,hypernymy.1,281
45,woman,dress,crossclassified,280
865,child,baby,synonymy,280
10137,moped,motorcycle,hypernymy.2,278
264,motorbike,bike,hypernymy.2,277
5883,jar,vase,hypernymy.1,275
1148,automobile,car,synonymy,275
1593,lady,man,crossclassified,274
141,cake,food,hypernymy.2,270
4081,pie,pizza,crossclassified,269
28,car,van,hypernymy.1,269
477,sheep,lamb,crossclassified,268
1204,cabinet,table,co-hyponymy,267
519,horse,animal,hypernymy.2,267
207,shirt,clothing,hypernymy.2,266
1263,bread,bun,hypernymy.1,264
2665,house,window,crossclassified,261
636,bed,blanket,hypernymy.1,261
440,shirt,jersey,hypernymy.1,256
376,duck,bird,hypernymy.2,256
414,girl,shoe,crossclassified,255
1430,chair,bench,co-hyponymy,250
484,skier,person,hypernymy.2,249
17,sandwich,burger,hypernymy.1,248
690,woman,shoe,crossclassified,248
2833,cabinet,sink,crossclassified,245
2378,woman,surfer,crossclassified,245
476,sheep,animal,hypernymy.2,244
6181,aeroplane,airplane,not-covered,242
67,curtain,window,crossclassified,241
309,bun,burger,crossclassified,240
648,cow,bull,co-hyponymy,240
411,girl,surfer,crossclassified,238
3347,catcher,man,crossclassified,237
1525,bowl,fruit,crossclassified,237
387,skateboarder,person,hypernymy.2,236
3979,athlete,man,crossclassified,233
177,cat,animal,hypernymy.2,232
221,guy,shirt,crossclassified,231
3750,carpeting,carpet,synonymy,231
1411,lady,t-shirt,crossclassified,230
2801,pony,horse,hypernymy.2,230
110,train,vehicle,crossclassified,229
62,bed,mattress,crossclassified,229
730,man,woman,co-hyponymy,228
252,girl,shirt,crossclassified,227
422,dog,animal,hypernymy.2,226
2116,horse,belt,crossclassified,225
