,domain,word1,word2,relation,same_object,subrelation,totalfreq,freq-w1-w2,freq-w2-w1,domain_w1,domain_w2,syn_w1,syn_w2
1101,animals_plants,sheep,lamb,crossclassified,t,overlapping,293,291,2,animals_plants,animals_plants,0,0
5459,animals_plants,horse,belt,crossclassified,f,adjacent,226,226,0,animals_plants,animals_plants,0,0
135,animals_plants,dog,cat,crossclassified,f,adjacent,219,111,108,animals_plants,animals_plants,0,0
610,animals_plants,cat,kitten,crossclassified,t,overlapping,209,201,8,animals_plants,animals_plants,0,0
823,animals_plants,giraffe,zebra,crossclassified,f,adjacent,197,120,77,animals_plants,animals_plants,0,0
4239,animals_plants,horse,shoe,crossclassified,f,adjacent,141,141,0,animals_plants,people,0,0
1113,animals_plants,cow,goat,crossclassified,f,adjacent,132,90,42,animals_plants,animals_plants,0,0
1103,animals_plants,sheep,cow,crossclassified,f,adjacent,114,66,48,animals_plants,animals_plants,0,0
5781,animals_plants,dog,belt,crossclassified,f,adjacent,106,106,0,animals_plants,animals_plants,0,0
1757,animals_plants,cow,horse,crossclassified,f,conc_disagreement,99,75,24,animals_plants,animals_plants,0,0
2157,animals_plants,horse,rope,crossclassified,f,supports.1,97,95,2,animals_plants,animals_plants,0,0
5566,animals_plants,cow,calf,crossclassified,t,conc_disagreement,96,96,0,animals_plants,animals_plants,0,0
1643,animals_plants,giraffe,camel,crossclassified,f,adjacent,94,94,0,animals_plants,animals_plants,0,0
819,animals_plants,horse,donkey,crossclassified,f,conc_disagreement,71,71,0,animals_plants,animals_plants,0,0
6766,animals_plants,horse,statue,crossclassified,t,overlapping,69,68,1,animals_plants,animals_plants,0,0
3150,animals_plants,horse,t-shirt,crossclassified,f,adjacent,55,55,0,animals_plants,clothing,0,0
4567,animals_plants,cat,laptop,crossclassified,f,adjacent,48,48,0,animals_plants,home,0,0
22072,animals_plants,rose,flower,crossclassified,t,hypernym.2,47,25,22,animals_plants,animals_plants,0,0
560,animals_plants,swan,goose,crossclassified,t,conc_disagreement,43,28,15,animals_plants,animals_plants,0,0
2803,animals_plants,horse,shirt,crossclassified,f,adjacent,43,43,0,animals_plants,clothing,0,0
556,animals_plants,swan,duck,crossclassified,t,conc_disagreement,41,25,16,animals_plants,animals_plants,0,0
12050,animals_plants,cow,yak,crossclassified,t,conc_disagreement,40,40,0,animals_plants,animals_plants,0,0
13861,animals_plants,sheep,herd,crossclassified,f,part.1,40,40,0,animals_plants,animals_plants,0,0
12052,animals_plants,animal,yak,crossclassified,t,hypernym.1,36,32,4,animals_plants,animals_plants,0,0
