	max_domain	people	clothing	animals_plants	home	food	vehicles	buildings	SUM
home	home	65.33	21.23	29.12	5519.85	56.28	16.68	34.15	5742.64
animals_plants	animals_plants	33.82	24.84	4762.66	126.01	3.52	19.03	17.03	4986.92
vehicles	vehicles	10.27	13.72	11.36	15.20	7.15	3990.92	61.05	4109.66
people	people	3543.89	103.46	11.69	68.30	4.41	9.97	28.04	3769.74
clothing	clothing	702.60	1933.10	43.45	171.88	2.10	43.07	55.34	2951.54
food	food	64.82	35.52	38.05	501.74	1827.98	15.29	15.09	2498.49
buildings	buildings	1.69	1.01	2.80	8.10	0.78	8.79	826.60	849.76
$wheel	vehicles	10.39	2.31	5.84	5.72	1.68	235.95	12.65	274.54
$shoe	people	156.73	1.99	22.82	30.97	0.88	5.22	6.39	225.00
$laptop	home	9.52	3.53	5.46	89.06	0.00	0.47	0.64	108.68
$glass	home	26.84	6.88	2.56	52.49	3.61	5.54	2.88	100.80
$pant	people	48.41	1.82	7.64	21.38	0.25	4.18	5.08	88.76
$pillow	home	3.29	1.53	5.70	77.66	0.17	0.11	0.25	88.70
$keyboard	home	2.62	0.44	2.95	78.28	0.00	0.00	0.12	84.42
$pole	buildings	8.02	1.55	16.54	11.64	0.11	18.13	25.97	81.97
$sink	home	0.60	0.89	2.20	77.72	0.00	0.00	0.00	81.41
$tennis player	people	70.56	0.90	0.00	0.35	0.25	0.00	0.11	72.17
$wood	home	1.28	0.31	7.03	53.39	0.11	4.27	4.99	71.39
$women	people	64.44	1.08	0.00	0.46	0.00	0.11	0.44	66.52
$window	buildings	1.01	0.47	2.90	19.65	0.00	7.95	26.49	58.47
$belt	animals_plants	3.70	3.08	41.38	2.11	0.00	2.70	2.84	55.80
$toy	home	8.12	5.80	10.68	23.69	2.11	1.89	1.31	53.61
$hot dog	food	0.22	1.69	0.00	1.20	47.70	0.95	0.25	52.01
$mirror	vehicles	0.78	0.17	1.00	10.87	0.78	31.17	3.05	47.82
$hotdog	food	0.84	1.41	0.60	1.49	41.50	0.46	0.25	46.54
$phone	people	21.97	6.89	0.90	10.69	2.05	0.97	0.54	44.00
$bag	people	16.17	3.54	5.38	13.95	0.11	2.70	0.89	42.75
$wooden	home	1.03	0.14	9.66	18.17	0.71	1.72	11.02	42.44
$burger	food	0.35	1.36	1.21	4.05	33.73	0.79	0.25	41.74
$baseball player	people	36.76	0.11	0.00	0.24	0.50	0.11	0.85	38.57
$bed sheet	home	0.82	0.00	0.74	34.56	0.00	0.11	0.65	36.87
$t shrit	people	19.65	6.27	0.99	3.89	0.00	0.68	1.99	33.46
$banana	home	5.21	2.53	1.03	18.60	3.35	0.68	1.84	33.23
$t shirt	people	19.26	6.89	0.17	2.65	0.00	1.12	1.74	31.82
$bat	people	21.29	2.87	0.11	1.10	0.12	0.44	5.07	31.03
$bed cover	home	0.69	0.25	1.68	27.30	0.00	0.12	0.14	30.19
$book	home	5.37	1.92	1.55	20.84	0.17	0.00	0.00	29.85
$mobile	people	13.99	5.94	0.25	7.49	0.85	0.82	0.25	29.59
$foods	home	3.64	0.57	0.00	13.36	9.98	0.28	0.49	28.32
$rope	animals_plants	2.53	1.69	19.54	1.29	0.00	1.24	1.94	28.22
$wall	home	1.38	0.40	1.48	16.71	0.00	0.98	6.90	27.84
$fruit	home	1.63	0.36	0.51	15.45	8.45	0.60	0.29	27.30
$ball	people	18.95	2.70	1.82	1.72	0.27	0.11	0.96	26.52
$snacks	food	3.10	0.93	0.38	6.24	15.15	0.11	0.39	26.30
$aeroplain	vehicles	0.33	0.00	0.00	0.25	0.14	25.42	0.11	26.26
$bus	vehicles	0.12	0.00	0.00	0.11	0.12	19.84	5.89	26.09
$toilet	home	0.71	0.24	0.00	23.39	0.00	0.56	0.93	25.82
$wire	home	3.79	1.83	0.55	15.78	0.00	0.84	0.63	23.41
$light	vehicles	0.76	1.53	0.25	6.69	0.11	9.76	3.62	22.73
$tree	buildings	2.11	0.36	6.28	0.93	0.00	2.20	10.68	22.55
$cabinets	home	0.00	0.00	0.00	21.71	0.00	0.00	0.11	21.82
$broccoli	food	0.00	0.14	1.01	5.12	14.76	0.33	0.00	21.36
$flowers	animals_plants	0.00	0.35	17.07	3.79	0.00	0.00	0.12	21.34
$wings	vehicles	0.00	0.00	1.52	0.00	0.00	19.54	0.11	21.17
$vegetables	food	0.00	0.29	0.12	5.35	14.90	0.12	0.12	20.91
$paper	home	3.27	1.48	0.48	12.87	2.44	0.11	0.00	20.64
$remote	home	5.33	1.51	2.18	11.07	0.25	0.00	0.00	20.34
$computer	home	0.71	1.30	0.12	17.89	0.00	0.00	0.27	20.29
$men	people	16.88	1.11	0.00	0.60	0.00	0.76	0.55	19.89
$door	home	0.36	0.14	0.29	8.52	0.00	4.92	5.64	19.87
$doughnut	food	0.91	0.70	0.56	0.47	16.95	0.00	0.12	19.70
$tray	home	0.50	0.22	0.00	16.77	0.98	0.50	0.50	19.48
$box	home	1.15	0.79	1.60	10.02	3.72	1.07	0.20	18.56
$board	buildings	4.15	0.35	0.20	4.02	0.11	2.31	6.99	18.13
$skirt	people	12.36	3.06	0.12	1.93	0.00	0.11	0.00	17.59
$tshirt	clothing	6.23	7.29	0.00	3.23	0.00	0.39	0.33	17.47
$umbrella	buildings	5.74	2.09	0.00	2.46	0.00	1.27	5.83	17.39
$shelf	home	0.00	0.00	0.00	16.93	0.12	0.00	0.20	17.26
$bear	clothing	1.07	4.87	4.47	4.57	1.24	0.12	0.14	16.49
$watch	people	7.26	2.93	1.06	3.71	0.00	0.36	0.96	16.28
$shofa	home	0.11	0.00	0.33	15.54	0.00	0.22	0.00	16.21
$skateboard	people	13.16	0.11	0.00	1.90	0.00	0.25	0.64	16.05
$bedsheet	home	0.50	0.12	3.11	11.69	0.11	0.00	0.36	15.90
$mat	home	0.22	0.11	0.42	14.71	0.00	0.00	0.36	15.82
$snowboarder	people	15.03	0.77	0.00	0.00	0.00	0.00	0.00	15.80
$meat	animals_plants	0.14	0.00	7.92	1.01	6.27	0.00	0.12	15.48
$wooden leg	home	0.00	0.00	1.28	13.40	0.00	0.50	0.24	15.41
$blanket	home	0.38	0.81	0.28	13.55	0.00	0.00	0.12	15.14
$tils	home	0.29	0.00	0.42	13.56	0.25	0.38	0.12	15.02
$sopa	home	0.00	0.00	0.00	14.63	0.00	0.39	0.00	15.02
$statue	animals_plants	0.44	2.22	9.19	1.80	0.00	0.50	0.25	14.42
$beach	home	1.66	0.11	0.53	10.57	0.00	0.33	1.17	14.38
$pants	home	4.51	1.10	0.22	6.95	0.00	1.20	0.29	14.26
$snack	food	1.68	0.98	0.46	3.70	7.22	0.22	0.00	14.26
