	vg_img_id	vg_object_id	vg_obj_name	vg_domain	top_resonse_domain	url	#bbox	#other	#other_reasons	#occl
15019	2353462	2663010	car	vehicles	vehicles	http://object-naming-amore.upf.edu//2353462_2663010_supercat_ambiguous.png	0	0	[]	8
616	2361560	2448252	garage	buildings	--	http://object-naming-amore.upf.edu//2361560_2448252_supercat_unique.png	2	0	[]	7
8194	2390329	498671	car	vehicles	vehicles	http://object-naming-amore.upf.edu//2390329_498671_singleton_obj.png	1	0	[]	7
227	2335655	3315374	couch	home	home	http://object-naming-amore.upf.edu//2335655_3315374_supercat_unique.png	1	0	[]	7
2489	2366235	2268097	pan	home	home	http://object-naming-amore.upf.edu//2366235_2268097_supercat_ambiguous.png	1	0	[]	7
4674	2391067	491851	mount	animals_plants	$ironwork	http://object-naming-amore.upf.edu//2391067_491851_singleton_obj.png	1	0	[]	7
1528	2376929	3681715	kid	people	--	http://object-naming-amore.upf.edu//2376929_3681715_singleton_obj.png	3	0	[]	6
23655	2370827	1752282	shirt	clothing	clothing	http://object-naming-amore.upf.edu//2370827_1752282_singleton_obj.png	1	0	[]	6
1155	2341369	943287	dog	animals_plants	$nose	http://object-naming-amore.upf.edu//2341369_943287_singleton_obj.png	1	0	[]	6
5227	2388081	509705	chair	home	home	http://object-naming-amore.upf.edu//2388081_509705_singleton_obj.png	0	0	[]	6
22893	2355429	1932078	dress	clothing	$toohbrush	http://object-naming-amore.upf.edu//2355429_1932078_supercat_ambiguous.png	0	0	[]	6
14245	2375712	721257	restaurant	buildings	buildings	http://object-naming-amore.upf.edu//2375712_721257_supercat_unique.png	0	0	[]	6
1672	2391844	1236860	counter	home	$wall	http://object-naming-amore.upf.edu//2391844_1236860_singleton_obj.png	3	0	[]	5
1286	2410832	2023962	car	vehicles	$door	http://object-naming-amore.upf.edu//2410832_2023962_singleton_obj.png	2	0	[]	5
23387	2403846	348768	jacket	clothing	clothing	http://object-naming-amore.upf.edu//2403846_348768_singleton_obj.png	1	1	['#other_not sure what the food is$1']	5
340	2369411	611604	couch	home	$blanket	http://object-naming-amore.upf.edu//2369411_611604_supercat_unique.png	1	0	[]	5
9519	2345793	3478530	bottle	home	$controller	http://object-naming-amore.upf.edu//2345793_3478530_singleton_obj.png	1	0	[]	5
20800	2341346	2638106	cabinet	home	$scissor	http://object-naming-amore.upf.edu//2341346_2638106_seed_ambiguous.png	1	0	[]	5
2994	2373098	2230345	chair	home	animals_plants	http://object-naming-amore.upf.edu//2373098_2230345_singleton_obj.png	1	0	[]	5
745	2334114	2945579	house	buildings	buildings	http://object-naming-amore.upf.edu//2334114_2945579_singleton_obj.png	1	0	[]	5
4766	2374123	2659399	flower	animals_plants	$flowers	http://object-naming-amore.upf.edu//2374123_2659399_singleton_obj.png	1	0	[]	5
2410	2344532	2677502	cat	animals_plants	animals_plants	http://object-naming-amore.upf.edu//2344532_2677502_singleton_obj.png	1	0	[]	5
4412	2371440	2643657	scooter	vehicles	$board	http://object-naming-amore.upf.edu//2371440_2643657_supercat_unique.png	0	0	[]	5
10867	2349462	2115604	cabinet	home	clothing	http://object-naming-amore.upf.edu//2349462_2115604_singleton_obj.png	0	0	[]	5
