vg_img_id	vg_object_id	synset	obj_name	category	url	plurals	similarities	optouts	amt_responses
2395290	456135	boat.n.01	boat	vehicle	http://object-naming-amore.upf.edu//2395290_456135_singleton_obj.png	[]	[]	{'#occlusion': 4}	{'boat': 5}
2403399	381904	ungulate.n.01	sheep	animal	http://object-naming-amore.upf.edu//2403399_381904_supercat_unique.png	[]	[(0.42220595, 'calf'), (0.47135127, 'animal'), (0.60800827, 'llama')]	{'#occlusion': 1}	{'sheep': 5, 'calf': 1, 'animal': 1, 'llama': 1}
2399714	661479	furnishing.n.02	counter	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2399714_661479_supercat_unique.png	[]	[(0.05916407, 'phone'), (0.30211076, 'table')]	{'#bbox': 1, '#occlusion': 1}	{'counter': 5, 'table': 1, 'phone': 1}
2370826	1970312	furnishing.n.02	bench	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2370826_1970312_seed_ambiguous.png	[]	[]	{'#bbox': 2, '#occlusion': 1}	{'bench': 6}
2412968	183096	train.n.01	train	vehicle	http://object-naming-amore.upf.edu//2412968_183096_singleton_obj.png	[]	[(0.63955826, 'locomotive')]	{'#occlusion': 1}	{'train': 7, 'locomotive': 1}
2396677	1196058	furnishing.n.02	table	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2396677_1196058_singleton_obj.png	[]	[]	{'#occlusion': 1}	{'table': 8}
2350293	3405940	woman.n.01	lady	person	http://object-naming-amore.upf.edu//2350293_3405940_seed_ambiguous.png	[]	[]	{'#bbox': 1}	{'woman': 8}
2409003	649150	house.n.01	house	structure, construction	http://object-naming-amore.upf.edu//2409003_649150_singleton_obj.png	[]	[(0.2233476, 'wall')]	{'#bbox': 5, '#occlusion': 1}	{'kitchen': 2, 'wall': 1}
2358282	2664326	woman.n.01	girl	person	http://object-naming-amore.upf.edu//2358282_2664326_singleton_obj.png	['goggles']	[(0.042585105, 'goggles'), (0.2544499, 'skier'), (0.27051288, 'skiier'), (0.52391165, 'kid'), (0.58920836, 'child')]	{}	{'girl': 4, 'goggles': 1, 'child': 1, 'skiier': 1, 'kid': 1, 'skier': 1}
1159964	1599770	shirt.n.01	shirt	article of clothing	http://object-naming-amore.upf.edu//1159964_1599770_singleton_obj.png	[]	[(0.24072722, 'man'), (0.41692457, 'apron')]	{'#bbox': 4}	{'shirt': 3, 'apron': 1, 'man': 1}
2353456	845841	furnishing.n.02	couch	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2353456_845841_supercat_unique.png	[]	[(0.22609103, 'girl')]	{'#bbox': 3}	{'girl': 5, 'kid': 1}
2412665	299850	car.n.01	car	vehicle	http://object-naming-amore.upf.edu//2412665_299850_supercat_ambiguous.png	[]	[(0.206341, 'subway'), (0.34025612, 'train')]	{'#bbox': 1}	{'train': 6, 'subway car': 1, 'subway': 1}
2416447	2973163	ungulate.n.01	cow	animal	http://object-naming-amore.upf.edu//2416447_2973163_seed_ambiguous.png	[]	[(0.49361008, 'horse')]	{'#bbox': 1}	{'cow': 6, 'horse': 2}
2361982	778097	furnishing.n.02	bed	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2361982_778097_singleton_obj.png	[]	[]	{'#bbox': 1}	{'bed': 8}
2373300	733269	kitchen_utensil.n.01	pan	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2373300_733269_singleton_obj.png	[]	[(0.27780816, 'cake'), (0.2941051, 'bowl'), (0.33644676, 'pie'), (0.37061852, 'pot'), (0.50440407, 'springform'), (0.7993146, 'cake pan')]	{'#occlusion': 1, '#bbox': 1}	{'cake pan': 1, 'bowl': 1, 'pie': 1, 'pan': 1, 'cake': 1, 'springform': 1, 'pot': 1}
2355596	3567463	man.n.01	man	person	http://object-naming-amore.upf.edu//2355596_3567463_singleton_obj.png	[]	[(0.07526223, 'cabinet')]	{'#bbox': 1}	{'man': 7, 'cabinet': 1}
2355129	2414534	ungulate.n.01	giraffe	animal	http://object-naming-amore.upf.edu//2355129_2414534_singleton_obj.png	[]	[(0.08418137, 'building')]	{'#bbox': 6, '#occlusion': 1}	{'building': 1, 'window': 1}
2345225	1042796	house.n.01	house	structure, construction	http://object-naming-amore.upf.edu//2345225_1042796_supercat_unique.png	[]	[(0.19630232, 'man')]	{'#bbox': 1}	{'house': 7, 'man': 1}
2316957	3442495	woman.n.01	girl	person	http://object-naming-amore.upf.edu//2316957_3442495_singleton_obj.png	[]	[(0.26769853, 'dress')]	{'#bbox': 1}	{'woman': 7, 'dress': 1}
2392443	1230042	woman.n.01	woman	person	http://object-naming-amore.upf.edu//2392443_1230042_supercat_unique.png	[]	[(0.1982006, 'bottle'), (0.76640123, 'man')]	{'#bbox': 1}	{'woman': 6, 'bottle': 1, 'man': 1}
2412804	3123002	furnishing.n.02	cabinet	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2412804_3123002_supercat_unique.png	[]	[(0.15120415, 'wood'), (0.7661052, 'cabinet door')]	{'#occlusion': 1, '#bbox': 1}	{'cabinet': 5, 'cabinet door': 1, 'wood': 1}
2414599	155469	furnishing.n.02	carpet	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2414599_155469_singleton_obj.png	[]	[(0.37718326, 'floor')]	{'#bbox': 1, '#occlusion': 1}	{'carpet': 5, 'floor': 2}
2407857	272407	foodstuff.n.02	cheese	food, nutrient	http://object-naming-amore.upf.edu//2407857_272407_supercat_ambiguous.png	[]	[]	{'#bbox': 1}	{'pizza': 8}
2400514	1158052	boat.n.01	scooter	vehicle	http://object-naming-amore.upf.edu//2400514_1158052_singleton_obj.png	[]	[(0.7237971, 'motorcycle')]	{'#occlusion': 1}	{'scooter': 5, 'motorcycle': 2}
2343263	2305927	house.n.01	house	structure, construction	http://object-naming-amore.upf.edu//2343263_2305927_supercat_unique.png	[]	[]	{'#occlusion': 2}	{'house': 6}
2377659	2196128	furnishing.n.02	counter	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2377659_2196128_singleton_obj.png	[]	[(0.30211076, 'table')]	{'#occlusion': 1, '#bbox': 1}	{'counter': 3, 'table': 3}
2327278	2850755	baked_goods.n.01	cake	food, solid food	http://object-naming-amore.upf.edu//2327278_2850755_supercat_unique.png	[]	[(0.38690054, 'tray')]	{'#occlusion': 1}	{'cake': 6, 'tray': 1}
693	1029149	ungulate.n.01	bull	animal	http://object-naming-amore.upf.edu//693_1029149_singleton_obj.png	[]	[(0.20993507, 'caribou'), (0.27720356, 'yak'), (0.32138774, 'animal'), (0.34880885, 'bovine'), (0.44606087, 'cow')]	{'#other_i am unsure the name of this animal?': 1}	{'animal': 2, 'wildabeast': 1, 'yak': 1, 'caribou': 1, 'cow': 1, 'bull': 1, 'bovine': 1}
