vg_img_id	vg_object_id	synset	obj_name	category	url	plurals	low_similarity	optouts	ok_similarity
2338009	3703986	house.n.01	house	structure, construction	http://object-naming-amore.upf.edu//2338009_3703986_singleton_obj.png	['buildings']	[]	{'#bbox': 1}	['building/0.44', 'window/0.37', 'door/0.43', 'buildings/0.38', 'house/1.00']
2352293	3214969	furnishing.n.02	bench	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2352293_3214969_singleton_obj.png	[]	['step/0.09']	{'#other_animal': 2}	['bench/1.00']
2344341	2407715	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2344341_2407715_seed_ambiguous.png	[]	[]	{'#other_animal': 2}	['bird/1.00', 'duck/0.51', 'goose/0.63']
2392581	1228243	dish.n.02	pizza	food, nutrient	http://object-naming-amore.upf.edu//2392581_1228243_singleton_obj.png	['snacks']	[]	{}	['pizza/1.00', 'snacks/0.44', 'slice/0.32']
2404801	375851	bird.n.01	duck	animal	http://object-naming-amore.upf.edu//2404801_375851_singleton_obj.png	[]	[]	{'#other_briad': 1, '#other_birds': 1}	['duck/1.00', 'bird/0.51']
2392353	480823	man.n.01	man	person	http://object-naming-amore.upf.edu//2392353_480823_seed_ambiguous.png	[]	[]	{'#bbox': 1, '#other_animal': 1}	['man/1.00', 'shirt/0.24', 'person/0.53']
2343350	924711	ungulate.n.01	giraffe	animal	http://object-naming-amore.upf.edu//2343350_924711_singleton_obj.png	[]	[]	{'#other_animal': 2}	['giraffe/1.00']
2413726	167516	woman.n.01	woman	person	http://object-naming-amore.upf.edu//2413726_167516_singleton_obj.png	[]	['_notfound_umberlla', 'human/0.18']	{'#other_right-hand and bottom box margin is not tight': 1}	['person/0.55', 'woman/1.00', 'man/0.77']
2350101	2600985	furnishing.n.02	curtain	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2350101_2600985_seed_ambiguous.png	['curtains']	[]	{}	['curtain/1.00', 'curtains/0.67', 'screen/0.29']
2317476	3060280	man.n.01	man	person	http://object-naming-amore.upf.edu//2317476_3060280_supercat_ambiguous.png	[]	['_notfound_showfa']	{'#other_the box does not tightly bound any objects': 1}	['man/1.00']
2408662	257406	furnishing.n.02	table	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2408662_257406_supercat_unique.png	[]	[]	{'#bbox': 1, '#occlusion': 1}	['table/1.00', 'glass/0.23', 'tablecloth/0.43']
2368373	618179	foodstuff.n.02	rice	food, nutrient	http://object-naming-amore.upf.edu//2368373_618179_singleton_obj.png	[]	[]	{'#other_box does not clearly bound any object': 1}	['rice/1.00', 'cake/0.26', 'food/0.48']
2381188	706542	ungulate.n.01	giraffe	animal	http://object-naming-amore.upf.edu//2381188_706542_singleton_obj.png	[]	[]	{'#other_animal': 1}	['giraffe/1.00']
2403576	657065	aircraft.n.01	plane	vehicle	http://object-naming-amore.upf.edu//2403576_657065_singleton_obj.png	[]	['_notfound_aeroplane']	{'#other_box margins are not tight around any objects': 1}	['airplane/0.83', 'plane/1.00']
2319078	1004836	horse.n.01	horse	animal	http://object-naming-amore.upf.edu//2319078_1004836_singleton_obj.png	[]	['wood/0.17']	{'#other_animal': 3}	['horse/1.00', 'gate/0.27']
2328042	2908167	furnishing.n.02	table	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2328042_2908167_singleton_obj.png	[]	['flower/0.09', '_notfound_vase base']	{'#other_just the flowers? it is a vase or award...': 1}	['table/1.00']
498042	1573276	shirt.n.01	shirt	article of clothing	http://object-naming-amore.upf.edu//498042_1573276_supercat_unique.png	['snacks']	['snacks/0.14', 'fire/0.06']	{'#other_human': 2}	['man/0.24', 'dress/0.46']
2373686	1840183	ungulate.n.01	giraffe	animal	http://object-naming-amore.upf.edu//2373686_1840183_singleton_obj.png	[]	[]	{'#other_animal': 5}	['giraffe/1.00']
2375259	583313	furnishing.n.02	carpet	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2375259_583313_singleton_obj.png	[]	['_notfound_showfa']	{'#bbox': 1}	['floor/0.38', 'chair/0.24', 'table/0.22', 'rug/0.73', 'tile/0.51']
2386364	1286810	male_child.n.01	boy	person	http://object-naming-amore.upf.edu//2386364_1286810_supercat_ambiguous.png	[]	['tie/0.06']	{'#other_human': 1}	['boy/1.00', 'man/0.68']
2374399	2092240	baked_goods.n.01	bagel	food, solid food	http://object-naming-amore.upf.edu//2374399_2092240_singleton_obj.png	['snakcks']	['_notfound_snakcks', 'plate/0.15']	{}	['bagel/1.00', 'snack/0.49', 'sweet/0.24']
2381777	701900	dog.n.01	dog	animal	http://object-naming-amore.upf.edu//2381777_701900_singleton_obj.png	[]	['dress/0.15']	{'#other_animal': 4}	['dog/1.00']
2366727	2342996	ungulate.n.01	giraffe	animal	http://object-naming-amore.upf.edu//2366727_2342996_singleton_obj.png	[]	['head/0.16']	{'#other_animal': 1}	['giraffe/1.00']
2349013	1994744	shelter.n.01	dugout	structure, construction	http://object-naming-amore.upf.edu//2349013_1994744_singleton_obj.png	[]	[]	{'#bbox': 1}	['dugout/1.00', 'helmet/0.27']
2334656	2275205	furnishing.n.02	sofa	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2334656_2275205_supercat_unique.png	[]	['sectional/0.06']	{'#occlusion': 1}	['couch/0.83', 'sofa/1.00', 'laptop/0.36']
2394927	459584	furnishing.n.02	sofa	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2394927_459584_seed_ambiguous.png	[]	[]	{'#other_animal': 1}	['couch/0.83', 'sofa/1.00']
2390441	668380	shirt.n.01	shirt	article of clothing	http://object-naming-amore.upf.edu//2390441_668380_supercat_unique.png	[]	['_notfound_t-shirt']	{'#other_box margins are not tight around any object': 1}	['shirt/1.00']
2401463	1147692	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2401463_1147692_singleton_obj.png	[]	['_notfound_whooping crane']	{'#other_birds': 1}	['bird/1.00', 'goose/0.63']
2405561	330994	furnishing.n.02	desk	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2405561_330994_singleton_obj.png	[]	[]	{'#other_box is not tight on the top and left-hand margin': 1}	['desk/1.00', 'laptop/0.37']
2401944	394376	furnishing.n.02	counter	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2401944_394376_singleton_obj.png	['electronics']	['electronics/0.06', 'keyboard/0.10', 'couch/0.15']	{}	['desk/0.27']
2395976	1201649	ungulate.n.01	giraffe	animal	http://object-naming-amore.upf.edu//2395976_1201649_singleton_obj.png	[]	['wall/0.15']	{'#other_animal': 2}	['giraffe/1.00']
2357699	1807575	horse.n.01	horse	animal	http://object-naming-amore.upf.edu//2357699_1807575_singleton_obj.png	[]	[]	{'#other_animal': 3}	['horse/1.00']
2380796	1342228	feline.n.01	cat	animal	http://object-naming-amore.upf.edu//2380796_1342228_singleton_obj.png	[]	['jug/0.19']	{'#other_animal': 2}	['cat/1.00']
2393316	1220971	furnishing.n.02	counter	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2393316_1220971_singleton_obj.png	['snacks']	['paper/0.13', 'snacks/0.19']	{}	['counter/1.00', 'table/0.30', 'snack/0.20']
2320978	3379640	dish.n.02	ramekin	food, nutrient	http://object-naming-amore.upf.edu//2320978_3379640_supercat_unique.png	['snacks']	[]	{}	['bowl/0.35', 'cup/0.40', 'soup/0.47', 'snacks/0.28']
2393742	470036	dress.n.01	dress	article of clothing	http://object-naming-amore.upf.edu//2393742_470036_supercat_unique.png	[]	['phone/0.07']	{'#other_human': 2}	['dress/1.00']
2367880	1930017	tool.n.01	knife	tool	http://object-naming-amore.upf.edu//2367880_1930017_supercat_unique.png	['snacks']	['snacks/0.13', '_notfound_utinsel']	{'#bbox': 1}	['knife/1.00', 'cheese/0.22', 'pizza/0.23']
2341564	2162205	male_child.n.01	boy	person	http://object-naming-amore.upf.edu//2341564_2162205_singleton_obj.png	[]	['zip/0.08', 'snack/0.14']	{'#other_human': 1}	['boy/1.00', 'child/0.59']
2320071	3197625	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2320071_3197625_singleton_obj.png	['birds']	['road/0.03', 'pavement/0.13']	{'#bbox': 2, '#other_birds?': 1}	['birds/0.81']
2409795	233380	furnishing.n.02	table	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2409795_233380_seed_ambiguous.png	[]	['paper/0.16']	{'#bbox': 4, '#occlusion': 2}	[]
2369603	3862579	furnishing.n.02	bed	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2369603_3862579_seed_ambiguous.png	[]	[]	{'#bbox': 1}	['bed/1.00', 'pillow/0.56']
2375778	579443	child.n.01	child	person	http://object-naming-amore.upf.edu//2375778_579443_singleton_obj.png	['snacks']	['_notfound_t-shirt', 'snacks/0.17']	{}	['child/1.00', 'boy/0.59']
2356993	2038036	shelter.n.01	dugout	structure, construction	http://object-naming-amore.upf.edu//2356993_2038036_supercat_unique.png	[]	['belt/0.08']	{'#bbox': 3}	['dugout/1.00', 'shirt/0.22']
2401061	402750	furnishing.n.02	table	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2401061_402750_supercat_unique.png	['drinks']	['bottle/0.19', 'drinks/0.18']	{}	['table/1.00']
498159	1574164	furnishing.n.02	curtain	instrumentality, instrumentation	http://object-naming-amore.upf.edu//498159_1574164_singleton_obj.png	['drapes']	[]	{'#bbox': 1}	['curtain/1.00', 'drapes/0.37', 'window/0.32', 'drape/0.33', 'glass/0.24']
1159975	3706095	dog.n.01	dog	animal	http://object-naming-amore.upf.edu//1159975_3706095_singleton_obj.png	[]	[]	{'#other_animal': 2}	['dog/1.00']
2391812	1237129	restaurant.n.01	grill	structure, construction	http://object-naming-amore.upf.edu//2391812_1237129_singleton_obj.png	[]	['sweet/0.15', 'conveyer/0.16']	{'#bbox': 2, '#other_the box does not bound any particular object.': 1}	['cake/0.26', 'grill/1.00', 'oven/0.62']
2363118	768072	athlete.n.01	catcher	person	http://object-naming-amore.upf.edu//2363118_768072_singleton_obj.png	[]	['man/0.11', '_notfound_t-shirt', 'belt/0.05']	{'#occlusion': 1}	['ball/0.38', 'catcher/1.00']
2324876	3438396	ungulate.n.01	giraffe	animal	http://object-naming-amore.upf.edu//2324876_3438396_seed_ambiguous.png	[]	['leaf/0.14']	{'#other_animal': 3}	['giraffe/1.00']
2398544	1178787	ungulate.n.01	sheep	animal	http://object-naming-amore.upf.edu//2398544_1178787_supercat_ambiguous.png	[]	[]	{'#other_animal': 4, '#other_two sheep in box': 1, '#occlusion': 1}	['sheep/1.00']
2401377	399983	furnishing.n.02	furniture	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2401377_399983_seed_ambiguous.png	[]	['table/0.20']	{'#occlusion': 3, '#other_animal': 2, '#bbox': 2}	['pillow/0.24']
2399004	1173264	crockery.n.01	cup	tableware	http://object-naming-amore.upf.edu//2399004_1173264_singleton_obj.png	['snacks']	['_notfound_measuring cup', '_notfound_bowll']	{}	['blender/0.35', 'snacks/0.26', 'glass/0.32', 'snack/0.23', 'cup/1.00', 'container/0.36']
2405698	372461	man.n.01	man	person	http://object-naming-amore.upf.edu//2405698_372461_seed_ambiguous.png	[]	['shoe/0.08', '_notfound_t-shirt']	{'#occlusion': 1}	['man/1.00']
2320591	3470227	shirt.n.01	shirt	article of clothing	http://object-naming-amore.upf.edu//2320591_3470227_supercat_unique.png	[]	['_notfound_t-shirt', '_notfound_t shirt']	{'#other_human': 1}	['shirt/1.00']
2343398	2055708	ungulate.n.01	zebra	animal	http://object-naming-amore.upf.edu//2343398_2055708_singleton_obj.png	[]	[]	{'#other_animal': 4}	['zebra/1.00']
2337659	2396920	dish.n.02	salad	food, nutrient	http://object-naming-amore.upf.edu//2337659_2396920_seed_ambiguous.png	['snacks']	[]	{'#bbox': 2}	['salad/1.00', 'snacks/0.43', 'cake/0.37', 'vegetable/0.51']
2334589	3457652	dish.n.02	pizza	food, nutrient	http://object-naming-amore.upf.edu//2334589_3457652_supercat_unique.png	['snacks']	[]	{}	['pizza/1.00', 'snacks/0.44']
2400081	1163301	bridge.n.01	bridge	structure, construction	http://object-naming-amore.upf.edu//2400081_1163301_singleton_obj.png	[]	[]	{'#occlusion': 1}	['bridge/1.00', 'overpass/0.67']
2406614	368506	ungulate.n.01	giraffe	animal	http://object-naming-amore.upf.edu//2406614_368506_singleton_obj.png	[]	[]	{'#other_animal': 2}	['giraffe/1.00']
2390864	1246309	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2390864_1246309_singleton_obj.png	[]	[]	{'#other_animal': 2}	['bird/1.00']
2396520	1197183	furnishing.n.02	counter	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2396520_1197183_singleton_obj.png	['pots']	['pots/0.05', '_notfound_wash pission', '_notfound_bathroom counter']	{}	['counter/1.00', 'table/0.30', 'countertop/0.25']
2406584	368664	dog.n.01	dog	animal	http://object-naming-amore.upf.edu//2406584_368664_supercat_unique.png	[]	['stone/0.09']	{'#other_animal': 3}	['dog/1.00']
2364924	3887117	ungulate.n.01	giraffe	animal	http://object-naming-amore.upf.edu//2364924_3887117_singleton_obj.png	[]	['grill/0.05']	{'#other_animal': 3}	['giraffe/1.00']
2332946	1045931	ungulate.n.01	giraffe	animal	http://object-naming-amore.upf.edu//2332946_1045931_singleton_obj.png	[]	['face/0.03']	{'#other_animal': 4}	['giraffe/1.00']
2414963	148605	male_child.n.01	boy	person	http://object-naming-amore.upf.edu//2414963_148605_singleton_obj.png	['men']	['cap/0.05', 'batter/0.04']	{}	['man/0.68', 'boy/1.00', 'men/0.33']
2338455	2322152	car.n.01	car	vehicle	http://object-naming-amore.upf.edu//2338455_2322152_supercat_unique.png	['wipers']	[]	{'#bbox': 1}	['car/1.00', 'bridge/0.22', 'wipers/0.33', 'train/0.34', 'automobile/0.58', 'dashboard/0.34']
2353646	844218	man.n.01	man	person	http://object-naming-amore.upf.edu//2353646_844218_singleton_obj.png	['men']	['shoe/0.08', 'belt/0.10']	{}	['umpire/0.22', 'man/1.00', 'men/0.55']
2357550	811185	ungulate.n.01	cow	animal	http://object-naming-amore.upf.edu//2357550_811185_singleton_obj.png	[]	['rope/0.16']	{'#other_animal': 2}	['cow/1.00', 'bull/0.45', 'animal/0.45', 'oxen/0.37']
2365961	2199530	shelter.n.01	shelter	structure, construction	http://object-naming-amore.upf.edu//2365961_2199530_singleton_obj.png	[]	['_notfound_bus stop', '_notfound_kight', 'pavillion/0.11', 'overhang/0.15']	{'#occlusion': 1}	['canopy/0.21', 'bus/0.20', 'shelter/1.00', 'roof/0.24']
2321676	2924616	horse.n.01	horse	animal	http://object-naming-amore.upf.edu//2321676_2924616_singleton_obj.png	[]	['house/0.15']	{'#other_animal': 2}	['horse/1.00']
2378540	2113297	headdress.n.01	hood	article of clothing	http://object-naming-amore.upf.edu//2378540_2113297_supercat_unique.png	[]	['_notfound_windsheild']	{'#other_animal': 1, '#other_i am unsure if they mean the hood or the window': 1, '#bbox': 1}	['hood/1.00', 'car/0.44']
2400832	405044	shirt.n.01	shirt	article of clothing	http://object-naming-amore.upf.edu//2400832_405044_singleton_obj.png	[]	['_notfound_t-shirt', 'food/0.04', 'glass/0.06']	{'#other_human': 1}	['shirt/1.00']
2346040	2296827	ungulate.n.01	giraffe	animal	http://object-naming-amore.upf.edu//2346040_2296827_singleton_obj.png	[]	[]	{'#other_animal': 3}	['giraffe/1.00']
2409619	237732	vessel.n.03	tub	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2409619_237732_singleton_obj.png	[]	[]	{'#occlusion': 1}	['bathtub/0.78', 'bathroom/0.56', 'toilet/0.53']
2395105	457813	bird.n.01	hummingbird	animal	http://object-naming-amore.upf.edu//2395105_457813_singleton_obj.png	['wings']	[]	{'#other_animal': 1, '#other_birds': 1}	['bird/0.63', 'hummingbird/1.00', 'wings/0.34']
2399606	415100	dog.n.01	dog	animal	http://object-naming-amore.upf.edu//2399606_415100_singleton_obj.png	[]	['_notfound_hanbag', 'furniture/0.08']	{'#other_animal': 1}	['dog/1.00']
