vg_img_id	vg_object_id	synset	url	plurals	low_similarity	optouts
2370423	3324718	crockery.n.01	http://object-naming-amore.upf.edu//2370423_3324718_supercat_unique.png	[]	['_notfound_container', '_notfound_dish', '_notfound_plate']	{'#occlusion': 4, '#bbox': 2}
2384149	3847243	furnishing.n.02	http://object-naming-amore.upf.edu//2384149_3847243_seed_ambiguous.png	[]	['sandwich/0.06', 'food/0.19']	{'#occlusion': 4, '#bbox': 2}
2333081	3137413	beverage.n.01	http://object-naming-amore.upf.edu//2333081_3137413_supercat_unique.png	[]	[]	{'#bbox': 1}
2365226	3885362	furnishing.n.02	http://object-naming-amore.upf.edu//2365226_3885362_singleton_obj.png	['bunk beds', 'beds', 'beds bunk']	['_notfound_bunk beds', '_notfound_bunkbed', '_notfound_bunk bed']	{}
2333613	3011082	horse.n.01	http://object-naming-amore.upf.edu//2333613_3011082_singleton_obj.png	['hours']	['hours/0.07']	{}
2386872	516353	furnishing.n.02	http://object-naming-amore.upf.edu//2386872_516353_singleton_obj.png	[]	['bench/0.06']	{'#bbox': 1}
2377392	2593637	overgarment.n.01	http://object-naming-amore.upf.edu//2377392_2593637_supercat_unique.png	[]	['_notfound_sweatshirt', '_notfound_boy', '_notfound_jacket', '_notfound_coat']	{'#bbox': 1}
2383202	1323017	furnishing.n.02	http://object-naming-amore.upf.edu//2383202_1323017_supercat_unique.png	[]	['floor/0.19']	{'#bbox': 6, '#other_not sure which object is marked, the girl or the kittens': 1}
2356427	1893752	overgarment.n.01	http://object-naming-amore.upf.edu//2356427_1893752_supercat_unique.png	[]	['_notfound_tie', '_notfound_jacket', '_notfound_suit', '_notfound_shoulder']	{'#occlusion': 1}
2409268	245333	shelter.n.01	http://object-naming-amore.upf.edu//2409268_245333_singleton_obj.png	['players stand']	['_notfound_players stand', 'dugout/0.12', '_notfound_duout', '_notfound_baseball hitter']	{}
2370722	602071	flower.n.01	http://object-naming-amore.upf.edu//2370722_602071_singleton_obj.png	['flowers']	[]	{}
2367230	3874866	car.n.01	http://object-naming-amore.upf.edu//2367230_3874866_singleton_obj.png	[]	['_notfound_train car']	{'#bbox': 2}
2369908	2342051	baked_goods.n.01	http://object-naming-amore.upf.edu//2369908_2342051_seed_ambiguous.png	[]	['_notfound_hot dog', '_notfound_coleslaw']	{'#bbox': 7}
2362880	770297	house.n.01	http://object-naming-amore.upf.edu//2362880_770297_supercat_unique.png	[]	[]	{'#occlusion': 2}
2347183	1847725	car.n.01	http://object-naming-amore.upf.edu//2347183_1847725_singleton_obj.png	[]	[]	{'#bbox': 3}
2385747	1293397	furnishing.n.02	http://object-naming-amore.upf.edu//2385747_1293397_singleton_obj.png	['skateboards']	['floor/0.19', 'ground/0.05', '_notfound_skateboard', '_notfound_hoverboard', 'road/0.07', '_notfound_skateboards']	{}
2370827	1752282	shirt.n.01	http://object-naming-amore.upf.edu//2370827_1752282_singleton_obj.png	[]	[]	{'#occlusion': 6, '#bbox': 1}
2364443	3888875	ungulate.n.01	http://object-naming-amore.upf.edu//2364443_3888875_seed_ambiguous.png	[]	['_notfound_zebra', '_notfound_tail']	{'#bbox': 2}
2333158	2831496	man.n.01	http://object-naming-amore.upf.edu//2333158_2831496_seed_ambiguous.png	[]	['human/0.15']	{'#bbox': 5}
2408536	259796	furnishing.n.02	http://object-naming-amore.upf.edu//2408536_259796_singleton_obj.png	[]	['table/0.06', 'counter/0.06']	{'#bbox': 4}
2391288	490187	child.n.01	http://object-naming-amore.upf.edu//2391288_490187_singleton_obj.png	[]	['shirt/0.12']	{'#bbox': 2}
2375749	3690013	shelter.n.01	http://object-naming-amore.upf.edu//2375749_3690013_singleton_obj.png	['bananas']	['bird/0.12', '_notfound_thatched roof', '_notfound_bananas', 'palm/-0.09']	{}
2352708	2636542	man.n.01	http://object-naming-amore.upf.edu//2352708_2636542_supercat_ambiguous.png	[]	['sweater/0.18']	{'#bbox': 2}
2376380	573386	horse.n.01	http://object-naming-amore.upf.edu//2376380_573386_singleton_obj.png	['horses']	[]	{}
2383218	1322816	furnishing.n.02	http://object-naming-amore.upf.edu//2383218_1322816_singleton_obj.png	[]	['buffet/0.09', 'table/0.06']	{'#occlusion': 1, '#other_not sure which object is bounded by the box': 1}
2417959	2723014	male_child.n.01	http://object-naming-amore.upf.edu//2417959_2723014_singleton_obj.png	[]	['_notfound_boy', '_notfound_person', '_notfound_batter', '_notfound_player', '_notfound_tee ball player']	{'#bbox': 1}
2359201	795272	furnishing.n.02	http://object-naming-amore.upf.edu//2359201_795272_singleton_obj.png	['sweaters']	['sweaters/0.18', 'bench/0.06']	{}
2407187	651363	furnishing.n.02	http://object-naming-amore.upf.edu//2407187_651363_singleton_obj.png	[]	['_notfound_sinks', 'sink/0.02', 'shelf/0.09']	{'#occlusion': 1, '#bbox': 2}
2414202	157846	house.n.01	http://object-naming-amore.upf.edu//2414202_157846_singleton_obj.png	[]	[]	{'#bbox': 1}
2369215	613146	furnishing.n.02	http://object-naming-amore.upf.edu//2369215_613146_seed_ambiguous.png	[]	['chair/0.02']	{'#bbox': 2}
2371598	2946506	woman.n.01	http://object-naming-amore.upf.edu//2371598_2946506_singleton_obj.png	[]	[]	{"#other_I don't know if the laptop or the woman is the selected object": 1, '#bbox': 2}
2355489	2159524	horse.n.01	http://object-naming-amore.upf.edu//2355489_2159524_singleton_obj.png	[]	[]	{'#bbox': 1}
2368553	1868209	bridge.n.01	http://object-naming-amore.upf.edu//2368553_1868209_singleton_obj.png	[]	['_notfound_pavillion', '_notfound_awning', 'overhang/0.14', 'cover/0.13', '_notfound_overpass']	{'#occlusion': 1}
2380480	1346092	dog.n.01	http://object-naming-amore.upf.edu//2380480_1346092_singleton_obj.png	['haunches']	['haunches/0.19']	{}
2400240	1161342	boat.n.01	http://object-naming-amore.upf.edu//2400240_1161342_singleton_obj.png	[]	[]	{'#bbox': 1}
2317368	3345288	house.n.01	http://object-naming-amore.upf.edu//2317368_3345288_supercat_unique.png	[]	['table/0.19']	{'#bbox': 7}
2370782	601689	overgarment.n.01	http://object-naming-amore.upf.edu//2370782_601689_supercat_unique.png	[]	['_notfound_sweatshirt', '_notfound_jacket', '_notfound_woman']	{'#bbox': 1}
2390701	1247958	baked_goods.n.01	http://object-naming-amore.upf.edu//2390701_1247958_supercat_unique.png	[]	['_notfound_bread', '_notfound_bun', '_notfound_food']	{'#bbox': 1}
2378062	2534948	furnishing.n.02	http://object-naming-amore.upf.edu//2378062_2534948_supercat_unique.png	[]	['table/0.06', 'desk/0.08']	{'#occlusion': 1, "#other_I am not sure what it is but it's clear.": 1}
2408556	259396	bridge.n.01	http://object-naming-amore.upf.edu//2408556_259396_singleton_obj.png	[]	[]	{'#bbox': 3, '#occlusion': 2}
2344501	915335	shirt.n.01	http://object-naming-amore.upf.edu//2344501_915335_seed_ambiguous.png	[]	[]	{'#bbox': 3}
2356155	2189127	vegetable.n.01	http://object-naming-amore.upf.edu//2356155_2189127_supercat_ambiguous.png	['greens']	['_notfound_lettuce', '_notfound_arugula', '_notfound_arugala']	{}
2357856	3769366	flower.n.01	http://object-naming-amore.upf.edu//2357856_3769366_seed_ambiguous.png	['flowers']	[]	{'#bbox': 4}
2390221	499437	man.n.01	http://object-naming-amore.upf.edu//2390221_499437_supercat_unique.png	[]	['keeper/0.20']	{'#occlusion': 1}
2412174	201373	restaurant.n.01	http://object-naming-amore.upf.edu//2412174_201373_supercat_unique.png	[]	['cake/0.16', '_notfound_piece of cake']	{'#bbox': 1}
2350852	3591787	overgarment.n.01	http://object-naming-amore.upf.edu//2350852_3591787_supercat_unique.png	[]	['_notfound_jacket', '_notfound_coat', '_notfound_man', '_notfound_trenchcoat']	{'#bbox': 1}
2317480	3236755	furnishing.n.02	http://object-naming-amore.upf.edu//2317480_3236755_supercat_unique.png	[]	['woman/0.06', 'chair/0.02']	{'#bbox': 5, '#occlusion': 1}
2386104	1289365	car.n.01	http://object-naming-amore.upf.edu//2386104_1289365_supercat_unique.png	[]	['meter/0.11', '_notfound_parking meter']	{'#bbox': 1}
2378203	1995002	furnishing.n.02	http://object-naming-amore.upf.edu//2378203_1995002_seed_ambiguous.png	[]	['hand/0.09']	{'#bbox': 6}
2408590	3809034	car.n.01	http://object-naming-amore.upf.edu//2408590_3809034_singleton_obj.png	['windows']	[]	{'#bbox': 3}
2414707	153463	boat.n.01	http://object-naming-amore.upf.edu//2414707_153463_supercat_unique.png	['dogs']	['_notfound_surfboard', 'board/0.16', 'dogs/0.17']	{'#bbox': 2}
2411688	3566937	outbuilding.n.01	http://object-naming-amore.upf.edu//2411688_3566937_supercat_unique.png	[]	['_notfound_storefront', '_notfound_garage', '_notfound_shop', '_notfound_building', '_notfound_store front', '_notfound_motorcycle']	{'#bbox': 1}
2397674	1187682	shirt.n.01	http://object-naming-amore.upf.edu//2397674_1187682_singleton_obj.png	[]	[]	{'#bbox': 4, '#occlusion': 1}
2381513	3250289	vegetable.n.01	http://object-naming-amore.upf.edu//2381513_3250289_seed_ambiguous.png	['cabbages', 'vegetables']	['_notfound_cabbages']	{'#bbox': 4}
2347156	892900	shelter.n.01	http://object-naming-amore.upf.edu//2347156_892900_singleton_obj.png	['trunks']	['trunks/0.10']	{}
2334521	2460547	furnishing.n.02	http://object-naming-amore.upf.edu//2334521_2460547_singleton_obj.png	[]	['chair/0.02', '_notfound_chair back']	{'#occlusion': 1}
2411427	312088	furnishing.n.02	http://object-naming-amore.upf.edu//2411427_312088_supercat_unique.png	[]	['man/0.03', 'bookshelf/0.15', 'shirt/-0.01']	{'#occlusion': 1, '#bbox': 1}
2406444	324355	overgarment.n.01	http://object-naming-amore.upf.edu//2406444_324355_supercat_unique.png	['arms']	['_notfound_arms', '_notfound_jacket', '_notfound_sweater', '_notfound_blazer']	{'#bbox': 3}
2369558	1914122	kitchen_utensil.n.01	http://object-naming-amore.upf.edu//2369558_1914122_supercat_ambiguous.png	[]	['_notfound_juicer', '_notfound_orange', '_notfound_bowl']	{'#occlusion': 2}
2342510	3203055	furnishing.n.02	http://object-naming-amore.upf.edu//2342510_3203055_singleton_obj.png	['cabinets']	['door/0.11', 'cabinet/0.15', 'wall/0.12']	{'#bbox': 3}
2378550	1919658	flower.n.01	http://object-naming-amore.upf.edu//2378550_1919658_singleton_obj.png	['flowers']	['table/0.09', '_notfound_boquet']	{'#occlusion': 1, '#bbox': 1}
2335864	2562712	motorcycle.n.01	http://object-naming-amore.upf.edu//2335864_2562712_singleton_obj.png	[]	['_notfound_motorcycle']	{'#bbox': 1}
2358415	2062840	headdress.n.01	http://object-naming-amore.upf.edu//2358415_2062840_singleton_obj.png	['shelves']	['vent/0.07', '_notfound_range hood', 'fan/0.05', 'shelves/0.04', 'ventilator/0.13']	{'#bbox': 1, '#occlusion': 1}
2316097	3348278	boat.n.01	http://object-naming-amore.upf.edu//2316097_3348278_singleton_obj.png	[]	[]	{'#bbox': 1}
2409698	235883	foodstuff.n.02	http://object-naming-amore.upf.edu//2409698_235883_supercat_ambiguous.png	[]	['_notfound_pizza']	{'#bbox': 3}
2406587	293340	horse.n.01	http://object-naming-amore.upf.edu//2406587_293340_singleton_obj.png	[]	[]	{'#bbox': 1}
2409109	248874	neckwear.n.01	http://object-naming-amore.upf.edu//2409109_248874_supercat_ambiguous.png	[]	['_notfound_tie', '_notfound_shirt', '_notfound_necktie']	{'#bbox': 4}
2413136	3135686	feline.n.01	http://object-naming-amore.upf.edu//2413136_3135686_singleton_obj.png	[]	[]	{'#bbox': 1}
2399669	2666900	furnishing.n.02	http://object-naming-amore.upf.edu//2399669_2666900_seed_ambiguous.png	[]	['table/0.06']	{'#bbox': 8}
2382278	1329769	vessel.n.03	http://object-naming-amore.upf.edu//2382278_1329769_supercat_ambiguous.png	[]	['glass/0.13']	{'#occlusion': 3}
2391454	488840	vessel.n.03	http://object-naming-amore.upf.edu//2391454_488840_singleton_obj.png	[]	['bathtub/0.19']	{'#bbox': 1}
2340693	3371141	car.n.01	http://object-naming-amore.upf.edu//2340693_3371141_singleton_obj.png	[]	[]	{'#occlusion': 1}
2356210	2463556	furnishing.n.02	http://object-naming-amore.upf.edu//2356210_2463556_singleton_obj.png	[]	['table/0.06']	{'#bbox': 3}
2383905	1315586	man.n.01	http://object-naming-amore.upf.edu//2383905_1315586_singleton_obj.png	['men']	[]	{'#bbox': 4}
2380862	708719	truck.n.01	http://object-naming-amore.upf.edu//2380862_708719_supercat_unique.png	[]	[]	{'#bbox': 1}
2408755	255634	furnishing.n.02	http://object-naming-amore.upf.edu//2408755_255634_singleton_obj.png	[]	['blanket/0.12']	{'#bbox': 2}
