vg_img_id	vg_object_id	sample_type	synset	obj_name	cat	url	responses
2338009	3703986	singleton_obj	house.n.01	house	structure, construction	http://object-naming-amore.upf.edu//2338009_3703986_singleton_obj.png	Counter({'building': 4, '#bbox': 1, 'window': 1, 'door': 1, 'buildings': 1, 'house': 1})
2352944	2640277	singleton_obj	male_child.n.01	boy	person	http://object-naming-amore.upf.edu//2352944_2640277_singleton_obj.png	Counter({'skater': 3, 'man': 2, 't-shirt': 1, 'shoe': 1, 'skateboarder': 1, 'boy': 1})
2352293	3214969	singleton_obj	furnishing.n.02	bench	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2352293_3214969_singleton_obj.png	Counter({'bench': 6, '#other_animal': 2, 'step': 1})
2344341	2407715	seed_ambiguous	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2344341_2407715_seed_ambiguous.png	Counter({'bird': 3, 'duck': 2, '#other_animal': 2, 'goose': 2})
2392581	1228243	singleton_obj	dish.n.02	pizza	food, nutrient	http://object-naming-amore.upf.edu//2392581_1228243_singleton_obj.png	Counter({'pizza': 7, 'snacks': 1, 'slice': 1})
2364134	3086780	supercat_unique	shirt.n.01	shirt	article of clothing	http://object-naming-amore.upf.edu//2364134_3086780_supercat_unique.png	Counter({'shirt': 5, 'jacket': 2, 't-shirt': 1, 'tie': 1})
2404801	375851	singleton_obj	bird.n.01	duck	animal	http://object-naming-amore.upf.edu//2404801_375851_singleton_obj.png	Counter({'duck': 6, '#other_briad': 1, '#other_birds': 1, 'bird': 1})
2363182	2676360	singleton_obj	truck.n.01	van	vehicle	http://object-naming-amore.upf.edu//2363182_2676360_singleton_obj.png	Counter({'van': 5, 'car': 2, 'truck': 1, 'automobile': 1})
2392353	480823	seed_ambiguous	man.n.01	man	person	http://object-naming-amore.upf.edu//2392353_480823_seed_ambiguous.png	Counter({'man': 5, '#bbox': 1, '#other_animal': 1, 'shirt': 1, 'person': 1})
2343350	924711	singleton_obj	ungulate.n.01	giraffe	animal	http://object-naming-amore.upf.edu//2343350_924711_singleton_obj.png	Counter({'giraffe': 7, '#other_animal': 2})
