vg_img_id	vg_object_id	cat	synset	url	responses
2345476	2997969	singleton_obj	ungulate.n.01	http://object-naming-amore.upf.edu//2345476_2997969_singleton_obj.png	Counter({'giraffe': 9})
2388467	508821	singleton_obj	woman.n.01	http://object-naming-amore.upf.edu//2388467_508821_singleton_obj.png	Counter({'woman': 6, 'girl': 1, '#bbox': 1, '#occlusion': 1})
2363197	767284	supercat_unique	shirt.n.01	http://object-naming-amore.upf.edu//2363197_767284_supercat_unique.png	Counter({'shirt': 8, 'long sleeve shirt': 1})
2357470	3501953	singleton_obj	house.n.01	http://object-naming-amore.upf.edu//2357470_3501953_singleton_obj.png	Counter({'house': 5, '#occlusion': 2, 'cat': 1, '#bbox': 1})
2337876	2524396	seed_ambiguous	woman.n.01	http://object-naming-amore.upf.edu//2337876_2524396_seed_ambiguous.png	Counter({'man': 4, '#bbox': 3, '#occlusion': 2})
2347616	3002006	seed_ambiguous	dish.n.02	http://object-naming-amore.upf.edu//2347616_3002006_seed_ambiguous.png	Counter({'sandwich': 6, '#occlusion': 2, 'sandwhich': 1})
2323420	3211096	singleton_obj	furnishing.n.02	http://object-naming-amore.upf.edu//2323420_3211096_singleton_obj.png	Counter({'bed': 9})
2402855	385723	singleton_obj	furnishing.n.02	http://object-naming-amore.upf.edu//2402855_385723_singleton_obj.png	Counter({'bed': 9})
2348138	3346575	singleton_obj	woman.n.01	http://object-naming-amore.upf.edu//2348138_3346575_singleton_obj.png	Counter({'woman': 6, 'tennis player': 2, 'player': 1})
2367387	1768710	singleton_obj	car.n.01	http://object-naming-amore.upf.edu//2367387_1768710_singleton_obj.png	Counter({'car': 6, 'hood': 1, 'vehicle': 1, '#occlusion': 1})
2409456	241417	seed_ambiguous	furnishing.n.02	http://object-naming-amore.upf.edu//2409456_241417_seed_ambiguous.png	Counter({'couch': 3, 'sofa': 3, 'legs': 1, '#occlusion': 1, 'cushions': 1})
2323078	3393580	singleton_obj	ungulate.n.01	http://object-naming-amore.upf.edu//2323078_3393580_singleton_obj.png	Counter({'cow': 9})
2387447	1275904	singleton_obj	furnishing.n.02	http://object-naming-amore.upf.edu//2387447_1275904_singleton_obj.png	Counter({'rug': 6, 'bed': 2, 'carpet': 1})
2363721	762729	supercat_unique	shelter.n.01	http://object-naming-amore.upf.edu//2363721_762729_supercat_unique.png	Counter({'#bbox': 5, '#occlusion': 2, 'tent': 1, 'water': 1})
2332817	3319984	seed_ambiguous	man.n.01	http://object-naming-amore.upf.edu//2332817_3319984_seed_ambiguous.png	Counter({'man': 9})
2372959	2402554	singleton_obj	furnishing.n.02	http://object-naming-amore.upf.edu//2372959_2402554_singleton_obj.png	Counter({'shelf': 3, 'shelving': 2, 'entertainment center': 1, '#occlusion': 1, 'television': 1, 'rack': 1})
2374148	1948793	singleton_obj	dish.n.02	http://object-naming-amore.upf.edu//2374148_1948793_singleton_obj.png	Counter({'pizza': 8, 'food': 1})
150474	3798816	supercat_ambiguous	athlete.n.01	http://object-naming-amore.upf.edu//150474_3798816_supercat_ambiguous.png	Counter({'man': 4, 'skater': 3, 'skateboarder': 2})
2410949	1084390	singleton_obj	shirt.n.01	http://object-naming-amore.upf.edu//2410949_1084390_singleton_obj.png	Counter({'shirt': 6, '#bbox': 1, '#occlusion': 1, 'beard': 1})
2409814	363060	singleton_obj	motorcycle.n.01	http://object-naming-amore.upf.edu//2409814_363060_singleton_obj.png	Counter({'motorcycle': 5, '#bbox': 1, 'motor cycle': 1, 'bike': 1, 'road': 1})
2319379	2948822	singleton_obj	ungulate.n.01	http://object-naming-amore.upf.edu//2319379_2948822_singleton_obj.png	Counter({'cow': 9})
2346068	2077466	singleton_obj	furnishing.n.02	http://object-naming-amore.upf.edu//2346068_2077466_singleton_obj.png	Counter({'sofa': 3, 'couch': 2, 'bed': 2, '#occlusion': 1, 'chair': 1})
2403860	379755	singleton_obj	woman.n.01	http://object-naming-amore.upf.edu//2403860_379755_singleton_obj.png	Counter({'woman': 4, '#occlusion': 3, 'couch': 1, 'couple': 1})
2353227	3184193	singleton_obj	man.n.01	http://object-naming-amore.upf.edu//2353227_3184193_singleton_obj.png	Counter({'man': 7, 'surfer': 1, 'windsurfer': 1})
2344652	3914395	supercat_unique	crockery.n.01	http://object-naming-amore.upf.edu//2344652_3914395_supercat_unique.png	Counter({'plate': 5, '#bbox': 1, 'dessert': 1, 'food': 1, 'bowl': 1})
