vg_img_id	vg_object_id	synset	obj_name	category	url	plurals	similarities	optouts	amt_responses
2370001	607284	shirt.n.01	shirt	article of clothing	http://object-naming-amore.upf.edu//2370001_607284_supercat_unique.png	[]	[(-0.013445891, 'human'), (0.46482474, 'coat'), (0.6363667, 'sweater'), (0.6619144, 'jacket')]	{'#bbox': 1}	{'shirt': 3, 'sweater': 2, 'coat': 1, 'jacket': 1, 'human': 1}
2345204	909913	foodstuff.n.02	sauce	food, nutrient	http://object-naming-amore.upf.edu//2345204_909913_singleton_obj.png	[]	[]	{}	{'pasta': 9}
2335623	2082872	furnishing.n.02	bed	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2335623_2082872_singleton_obj.png	[]	[]	{}	{'bed': 9}
2339830	2279763	motorcycle.n.01	motorcycle	vehicle	http://object-naming-amore.upf.edu//2339830_2279763_singleton_obj.png	['bikes']	[(0.5963021, 'bikes')]	{'#bbox': 2}	{'motorcycle': 6, 'bikes': 1}
2352536	2612649	boat.n.01	boat	vehicle	http://object-naming-amore.upf.edu//2352536_2612649_singleton_obj.png	[]	[(0.45619923, 'raft')]	{}	{'raft': 8, 'boat': 1}
2360778	2333580	horse.n.01	horse	animal	http://object-naming-amore.upf.edu//2360778_2333580_singleton_obj.png	[]	[]	{}	{'horse': 9}
2355756	2223684	man.n.01	guy	person	http://object-naming-amore.upf.edu//2355756_2223684_supercat_ambiguous.png	[]	[(0.48752475, 'person'), (0.5420035, 'man')]	{}	{'man': 7, 'guy': 1, 'person': 1}
2326307	3101891	athlete.n.01	skier	person	http://object-naming-amore.upf.edu//2326307_3101891_singleton_obj.png	['skiers', 'skis']	[(0.5969653, 'skis'), (0.71793336, 'ski'), (0.75793946, 'snowboarder'), (0.7664497, 'skiier'), (0.76761675, 'skiers')]	{}	{'skiers': 2, 'skiier': 2, 'skier': 2, 'snowboarder': 1, 'ski': 1, 'skis': 1}
2388013	675963	dog.n.01	dog	animal	http://object-naming-amore.upf.edu//2388013_675963_singleton_obj.png	[]	[]	{}	{'dog': 9}
2372208	593330	house.n.01	house	structure, construction	http://object-naming-amore.upf.edu//2372208_593330_supercat_unique.png	['people']	[(0.16288175, 'people')]	{'#bbox': 1}	{'house': 7, 'people': 1}
2394626	1211095	truck.n.01	truck	vehicle	http://object-naming-amore.upf.edu//2394626_1211095_singleton_obj.png	[]	[(0.673579, 'car')]	{}	{'truck': 8, 'car': 1}
2317122	1023453	furnishing.n.02	bench	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2317122_1023453_supercat_unique.png	[]	[(0.07875536, 'wood'), (0.13257785, 'sculpture')]	{'#occlusion': 4, '#bbox': 1}	{'bench': 2, 'sculpture': 1, 'wood': 1}
2342198	2841766	ungulate.n.01	giraffe	animal	http://object-naming-amore.upf.edu//2342198_2841766_singleton_obj.png	[]	[]	{}	{'giraffe': 9}
2388625	672051	woman.n.01	lady	person	http://object-naming-amore.upf.edu//2388625_672051_seed_ambiguous.png	[]	[(0.40049148, 'person'), (0.5003157, 'girl')]	{}	{'woman': 6, 'jhoodie': 1, 'girl': 1, 'person': 1}
2394071	1214388	ungulate.n.01	zebra	animal	http://object-naming-amore.upf.edu//2394071_1214388_singleton_obj.png	[]	[]	{}	{'zebra': 9}
2319272	1003436	shirt.n.01	shirt	article of clothing	http://object-naming-amore.upf.edu//2319272_1003436_supercat_unique.png	[]	[(0.5718911, 'tshirt')]	{}	{'shirt': 7, 'tshirt': 1, 't-shirt': 1}
2392445	1230019	furnishing.n.02	couch	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2392445_1230019_supercat_unique.png	[]	[(0.12485859, 'fork'), (0.3734729, 'blanket'), (0.4306172, 'headboard'), (0.83091795, 'sofa')]	{'#occlusion': 1, '#bbox': 1}	{'fork': 2, 'couch': 2, 'headboard': 1, 'sofa': 1, 'blanket': 1}
2344994	3913526	bridge.n.01	bridge	structure, construction	http://object-naming-amore.upf.edu//2344994_3913526_singleton_obj.png	[]	[]	{}	{'bridge': 9}
2387343	1276821	dish.n.02	salad	food, nutrient	http://object-naming-amore.upf.edu//2387343_1276821_seed_ambiguous.png	[]	[(0.6281096, 'lettuce')]	{}	{'salad': 8, 'lettuce': 1}
2408026	269608	boat.n.01	boat	vehicle	http://object-naming-amore.upf.edu//2408026_269608_singleton_obj.png	[]	[]	{}	{'boat': 9}
2392200	1232878	ungulate.n.01	cow	animal	http://object-naming-amore.upf.edu//2392200_1232878_supercat_unique.png	[]	[]	{}	{'cow': 9}
2414776	152186	male_child.n.01	boy	person	http://object-naming-amore.upf.edu//2414776_152186_singleton_obj.png	[]	[(0.33734185, 'person'), (0.5927851, 'child')]	{}	{'boy': 7, 'child': 1, 'person': 1}
2351869	1706343	baked_goods.n.01	bread	food, solid food	http://object-naming-amore.upf.edu//2351869_1706343_singleton_obj.png	[]	[(0.118367195, 'sub'), (0.33337072, 'hotdog'), (0.3385806, 'submarine sandwich'), (0.37515435, 'sub sandwich')]	{}	{'sandwich': 5, 'submarine sandwich': 1, 'sub sandwich': 1, 'sub': 1, 'hotdog': 1}
2326225	2958019	truck.n.01	truck	vehicle	http://object-naming-amore.upf.edu//2326225_2958019_singleton_obj.png	[]	[(0.57515687, 'trailer')]	{}	{'truck': 7, 'trailer': 2}
2103	3639802	furnishing.n.02	counter	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2103_3639802_singleton_obj.png	[]	[(0.22945134, 'cabinets'), (0.2443798, 'kitchen'), (0.24848098, 'countertop'), (0.78879017, 'kitchen counter')]	{'#bbox': 1}	{'counter': 3, 'kitchen': 2, 'countertop': 1, 'kitchen counter': 1, 'cabinets': 1}
2385372	1297728	furnishing.n.02	bench	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2385372_1297728_singleton_obj.png	[]	[(0.28758842, 'table')]	{}	{'bench': 8, 'table': 1}
2344379	1043618	furnishing.n.02	table	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2344379_1043618_singleton_obj.png	[]	[(0.04345329, 'cellphone'), (0.055925474, 'mobile phone'), (0.07544094, 'cell phone'), (0.081363246, 'phone')]	{}	{'table': 3, 'cell phone': 2, 'phone': 2, 'mobile phone': 1, 'cellphone': 1}
2336378	960501	dress.n.01	gown	article of clothing	http://object-naming-amore.upf.edu//2336378_960501_supercat_unique.png	[]	[(0.17683396, 'baby'), (0.42981994, 'shirt'), (0.7811909, 'hospital gown')]	{}	{'baby': 5, 'hospital gown': 2, 'gown': 1, 'shirt': 1}
2336009	3380725	athlete.n.01	batter	person	http://object-naming-amore.upf.edu//2336009_3380725_singleton_obj.png	[]	[(0.12601127, 'man'), (0.1534312, 'person'), (0.18237722, 'guy'), (0.19824526, 'player')]	{}	{'baseball player': 3, 'man': 3, 'player': 1, 'guy': 1, 'person': 1}
2379998	1351886	vessel.n.03	bowl	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2379998_1351886_singleton_obj.png	[]	[(0.09638217, 'coffee'), (0.38451502, 'soup'), (0.40267313, 'cup')]	{}	{'soup': 3, 'coffee': 2, 'bowl': 2, 'cup': 2}
2384358	691953	bird.n.01	owl	animal	http://object-naming-amore.upf.edu//2384358_691953_singleton_obj.png	[]	[]	{}	{'owl': 9}
2352551	1701288	baked_goods.n.01	donut	food, solid food	http://object-naming-amore.upf.edu//2352551_1701288_supercat_unique.png	['donuts', 'doughnuts']	[(0.6784604, 'donuts')]	{}	{'donuts': 6, 'donut': 1, 'doughnuts': 1, 'doughnut': 1}
2377186	3838691	furnishing.n.02	desk	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2377186_3838691_supercat_unique.png	['legs']	[(0.17676246, 'legs')]	{}	{'desk': 8, 'legs': 1}
2381456	1336503	overgarment.n.01	jacket	article of clothing	http://object-naming-amore.upf.edu//2381456_1336503_supercat_unique.png	[]	[(0.74701047, 'rain jacket')]	{}	{'jacket': 8, 'rain jacket': 1}
2348100	3906505	male_child.n.01	boy	person	http://object-naming-amore.upf.edu//2348100_3906505_seed_ambiguous.png	[]	[(0.33734185, 'person'), (0.4206431, 'guy'), (0.682487, 'man')]	{}	{'boy': 4, 'man': 2, 'person': 2, 'guy': 1}
2344247	916818	furnishing.n.02	table	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2344247_916818_singleton_obj.png	[]	[(0.4045672, 'desk')]	{}	{'desk': 5, 'table': 4}
2416381	3709954	furnishing.n.02	counter	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2416381_3709954_singleton_obj.png	['counters', 'cabinets']	[(0.07222505, 'cabinetry'), (0.22945134, 'cabinets'), (0.2443798, 'kitchen'), (0.4956606, 'counters')]	{}	{'counter': 4, 'counters': 2, 'cabinets': 1, 'cabinetry': 1, 'kitchen': 1}
2390575	1248946	vessel.n.03	jar	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2390575_1248946_singleton_obj.png	[]	[]	{}	{'vase': 9}
2390828	493770	man.n.01	man	person	http://object-naming-amore.upf.edu//2390828_493770_singleton_obj.png	['jeans', 'pants']	[(0.10681252, 'jeans'), (0.17799819, 'pants'), (0.37868887, 'skateboarder'), (0.5342027, 'person')]	{}	{'man': 4, 'skateboarder': 2, 'person': 1, 'jeans': 1, 'pants': 1}
2357676	809877	truck.n.01	truck	vehicle	http://object-naming-amore.upf.edu//2357676_809877_singleton_obj.png	[]	[]	{}	{'truck': 9}
2403959	379272	shelter.n.01	tent	structure, construction	http://object-naming-amore.upf.edu//2403959_379272_singleton_obj.png	[]	[(0.26706442, 'food stand'), (0.27763516, 'crowd')]	{'#bbox': 3, '#occlusion': 3}	{'food stand': 1, 'crowd': 1, 'tent': 1}
2342295	2750574	dress.n.01	dress	article of clothing	http://object-naming-amore.upf.edu//2342295_2750574_seed_ambiguous.png	[]	[]	{}	{'dress': 9}
2364390	641379	ungulate.n.01	giraffe	animal	http://object-naming-amore.upf.edu//2364390_641379_seed_ambiguous.png	['giraffes']	[(0.6883333, 'giraffes')]	{}	{'giraffe': 7, 'giraffes': 2}
2355800	826374	child.n.01	kid	person	http://object-naming-amore.upf.edu//2355800_826374_supercat_ambiguous.png	[]	[(0.35589212, 'baby'), (0.473326, 'toddler'), (0.47546747, 'child')]	{}	{'boy': 5, 'child': 2, 'toddler': 1, 'baby': 1}
2378192	561462	feline.n.01	cat	animal	http://object-naming-amore.upf.edu//2378192_561462_supercat_unique.png	[]	[]	{}	{'cat': 9}
2417043	3198072	car.n.01	taxi	vehicle	http://object-naming-amore.upf.edu//2417043_3198072_supercat_ambiguous.png	[]	[(0.4165588, 'truck'), (0.46275908, 'van'), (0.46386766, 'car')]	{}	{'van': 4, 'bus': 2, 'truck': 2, 'car': 1}
2396441	444320	car.n.01	car	vehicle	http://object-naming-amore.upf.edu//2396441_444320_supercat_ambiguous.png	[]	[(0.16184989, 'cargo'), (0.26623374, 'boxcar'), (0.34025612, 'train'), (0.3919401, 'trailer'), (0.673579, 'truck')]	{}	{'train': 3, 'trailer': 2, 'truck': 1, 'train car': 1, 'boxcar': 1, 'cargo': 1}
2325431	2715491	dog.n.01	dog	animal	http://object-naming-amore.upf.edu//2325431_2715491_singleton_obj.png	[]	[]	{}	{'dog': 9}
2392476	479713	dish.n.02	pizza	food, nutrient	http://object-naming-amore.upf.edu//2392476_479713_singleton_obj.png	[]	[]	{}	{'pizza': 9}
2369607	3862545	furnishing.n.02	counter	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2369607_3862545_seed_ambiguous.png	[]	[(0.10658536, 'computer'), (0.13644336, 'monitor'), (0.16732427, 'screen'), (0.2677399, 'desk')]	{'#bbox': 1}	{'desk': 3, 'table': 2, 'computer': 1, 'monitor': 1, 'screen': 1}
2330188	3239411	ungulate.n.01	giraffe	animal	http://object-naming-amore.upf.edu//2330188_3239411_singleton_obj.png	[]	[]	{}	{'giraffe': 9}
2362929	2518532	shirt.n.01	shirt	article of clothing	http://object-naming-amore.upf.edu//2362929_2518532_supercat_unique.png	[]	[(0.3013669, 'suit'), (0.70725065, 'button up shirt')]	{}	{'shirt': 7, 'suit': 1, 'button up shirt': 1}
2363760	3462273	child.n.01	child	person	http://object-naming-amore.upf.edu//2363760_3462273_singleton_obj.png	[]	[(0.6573992, 'baby')]	{}	{'baby': 8, 'child': 1}
2373626	2534355	crockery.n.01	dish	tableware	http://object-naming-amore.upf.edu//2373626_2534355_supercat_unique.png	[]	[(0.31070036, 'food'), (0.3193674, 'lunch'), (0.3695957, 'serving plate'), (0.4240337, 'plate')]	{'#bbox': 1}	{'plate': 3, 'food': 2, 'dessert': 1, 'serving plate': 1, 'lunch': 1}
2369148	1816497	dish.n.02	pizza	food, nutrient	http://object-naming-amore.upf.edu//2369148_1816497_supercat_unique.png	[]	[(0.09145882, 'sign'), (0.121650025, 'advertisment')]	{}	{'pizza': 7, 'sign': 1, 'advertisment': 1}
2340546	2238608	flower.n.01	flower	plant, flora, plant life	http://object-naming-amore.upf.edu//2340546_2238608_supercat_unique.png	[]	[(0.21214141, 'zebra')]	{'#bbox': 3}	{'zebra': 5, 'grass': 1}
2367673	1757026	boat.n.01	boat	vehicle	http://object-naming-amore.upf.edu//2367673_1757026_seed_ambiguous.png	[]	[]	{}	{'boat': 9}
2373139	1991493	furnishing.n.02	bed	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2373139_1991493_singleton_obj.png	[]	[]	{}	{'bed': 9}
2398902	2395173	ungulate.n.01	giraffe	animal	http://object-naming-amore.upf.edu//2398902_2395173_seed_ambiguous.png	[]	[]	{}	{'giraffe': 9}
2347706	1937349	male_child.n.01	boy	person	http://object-naming-amore.upf.edu//2347706_1937349_singleton_obj.png	[]	[(0.3863263, 'skateboarder'), (0.682487, 'man')]	{}	{'boy': 5, 'skateboarder': 3, 'man': 1}
2373681	3085513	furnishing.n.02	table	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2373681_3085513_supercat_unique.png	[]	[]	{}	{'table': 8, 'tablr': 1}
2338577	2146369	overgarment.n.01	coat	article of clothing	http://object-naming-amore.upf.edu//2338577_2146369_seed_ambiguous.png	[]	[(0.2595595, 'suit')]	{'#bbox': 1}	{'suit': 6, 'jacket': 2}
2416680	3471760	ungulate.n.01	zebra	animal	http://object-naming-amore.upf.edu//2416680_3471760_singleton_obj.png	[]	[]	{}	{'zebra': 9}
2370253	2455510	woman.n.01	lady	person	http://object-naming-amore.upf.edu//2370253_2455510_supercat_ambiguous.png	[]	[(0.37170509, 'nurse')]	{}	{'nurse': 7, 'woman': 2}
2328939	975595	horse.n.01	horse	animal	http://object-naming-amore.upf.edu//2328939_975595_singleton_obj.png	[]	[]	{}	{'horse': 9}
2405459	331888	furnishing.n.02	bed	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2405459_331888_seed_ambiguous.png	[]	[]	{}	{'bed': 9}
2393494	1219471	aircraft.n.01	airplane	vehicle	http://object-naming-amore.upf.edu//2393494_1219471_singleton_obj.png	[]	[(0.83484006, 'plane')]	{}	{'airplane': 6, 'plane': 2, 'aeroplanea': 1}
