vg_img_id	vg_object_id	sample_type	synset	obj_name	cat	url	responses
2317253	3060516	singleton_obj	furnishing.n.02	bed	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2317253_3060516_singleton_obj.png	Counter({'bed': 9})
3977	1556133	singleton_obj	house.n.01	house	structure, construction	http://object-naming-amore.upf.edu//3977_1556133_singleton_obj.png	Counter({'restaurant': 4, 'house': 3, 'cabin': 1, 'building': 1})
2384667	1306590	singleton_obj	aircraft.n.01	airplane	vehicle	http://object-naming-amore.upf.edu//2384667_1306590_singleton_obj.png	Counter({'plane': 5, 'airplane': 4})
2407677	275561	singleton_obj	dog.n.01	dog	animal	http://object-naming-amore.upf.edu//2407677_275561_singleton_obj.png	Counter({'dog': 9})
2370929	2245230	singleton_obj	furnishing.n.02	couch	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2370929_2245230_singleton_obj.png	Counter({'sofa': 4, 'couch': 3, 'sofa set': 1, 'furniture': 1})
2390271	499184	singleton_obj	woman.n.01	woman	person	http://object-naming-amore.upf.edu//2390271_499184_singleton_obj.png	Counter({'girl': 5, 'person': 2, 'athlete': 1, 'woman': 1})
2348078	885044	singleton_obj	boat.n.01	boat	vehicle	http://object-naming-amore.upf.edu//2348078_885044_singleton_obj.png	Counter({'boat': 9})
2349954	1681314	supercat_unique	shirt.n.01	shirt	article of clothing	http://object-naming-amore.upf.edu//2349954_1681314_supercat_unique.png	Counter({'jacket': 5, 'purse': 2, 'handbag': 1, 'shirt': 1})
2345546	907173	supercat_unique	dish.n.02	pizza	food, nutrient	http://object-naming-amore.upf.edu//2345546_907173_supercat_unique.png	Counter({'pizza': 9})
2381231	542221	singleton_obj	furnishing.n.02	table	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2381231_542221_singleton_obj.png	Counter({'desk': 8, 'computer desk': 1})
4228	3650455	singleton_obj	woman.n.01	woman	person	http://object-naming-amore.upf.edu//4228_3650455_singleton_obj.png	Counter({'woman': 6, 'chef': 2, 'person': 1})
2406295	1102640	singleton_obj	man.n.01	man	person	http://object-naming-amore.upf.edu//2406295_1102640_singleton_obj.png	Counter({'man': 7, 'person': 1, 'coach': 1})
2387703	511629	supercat_unique	dish.n.02	soup	food, nutrient	http://object-naming-amore.upf.edu//2387703_511629_supercat_unique.png	Counter({'soup': 7, 'food': 2})
2408030	365842	singleton_obj	boat.n.01	boat	vehicle	http://object-naming-amore.upf.edu//2408030_365842_singleton_obj.png	Counter({'boat': 9})
2416656	3324389	singleton_obj	feline.n.01	cat	animal	http://object-naming-amore.upf.edu//2416656_3324389_singleton_obj.png	Counter({'cat': 9})
2353104	849373	supercat_ambiguous	male_child.n.01	boy	person	http://object-naming-amore.upf.edu//2353104_849373_supercat_ambiguous.png	Counter({'boy': 4, 'child': 2, 'person': 2, 'kid': 1})
2412207	200431	seed_ambiguous	furnishing.n.02	cabinet	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2412207_200431_seed_ambiguous.png	Counter({'cabinet': 4, 'shelf': 3, 'bookshelf': 1, 'shelves': 1})
2365333	1851410	supercat_unique	cutlery.n.02	spoon	ware	http://object-naming-amore.upf.edu//2365333_1851410_supercat_unique.png	Counter({'utensil': 4, 'spatula': 3, 'server': 2})
2342152	936706	supercat_unique	shirt.n.01	shirt	article of clothing	http://object-naming-amore.upf.edu//2342152_936706_supercat_unique.png	Counter({'shirt': 8, 'blouse': 1})
2362996	1921220	seed_ambiguous	bird.n.01	goldfinch	animal	http://object-naming-amore.upf.edu//2362996_1921220_seed_ambiguous.png	Counter({'bird': 9})
2366802	2006351	singleton_obj	aircraft.n.01	airplane	vehicle	http://object-naming-amore.upf.edu//2366802_2006351_singleton_obj.png	Counter({'airplane': 4, 'plane': 4, 'aircraft': 1})
2416092	3146602	singleton_obj	furnishing.n.02	armchair	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2416092_3146602_singleton_obj.png	Counter({'chair': 9})
