hitid,img_in_hit,vg_img_id,vg_object_id,cat,synset,url,responses
382GHPVPHTWGTFNQAF8LL5N1EEM438,0,884,1637760,singleton_category,foodstuff.n.02,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/884_1637760_singleton_category.png,"Counter({'cereal': 3, 'calox chocos': 1, 'drink': 1, 'health drink': 1, 'cereal box': 1})"
382GHPVPHTWGTFNQAF8LL5N1EEM438,1,3947,1070734,ambiguous_category,outbuilding.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/3947_1070734_ambiguous_category.png,"Counter({'house': 3, 'building': 2, 'roof': 2, 'gazebo': 1, 'arch way': 1})"
382GHPVPHTWGTFNQAF8LL5N1EEM438,2,2397003,1193594,ambiguous_category,dish.n.02,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2397003_1193594_ambiguous_category.png,"Counter({'soup': 3, 'curry': 2, 'food': 2, 'vegetable stew': 1, 'dish': 1})"
382GHPVPHTWGTFNQAF8LL5N1EEM438,3,2346351,2280590,singleton_category,dog.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2346351_2280590_singleton_category.png,"Counter({'dog': 7, 'shih-poo': 2, 'dady bar': 1})"
382GHPVPHTWGTFNQAF8LL5N1EEM438,4,2363996,3339443,ambiguous_synset,baked_goods.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2363996_3339443_ambiguous_synset.png,"Counter({'cake': 4, 'stollen': 2, 'acke': 1, 'desert': 1, 'cakes': 1, 'food': 1})"
382GHPVPHTWGTFNQAF8LL5N1EEM438,5,2357137,814606,ambiguous_synset,dog.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2357137_814606_ambiguous_synset.png,"Counter({'dog': 9, 'standard boodle': 1})"
382GHPVPHTWGTFNQAF8LL5N1EEM438,6,2374569,586596,singleton_category,baked_goods.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2374569_586596_singleton_category.png,"Counter({'cookie': 6, 'biscuit': 2, 'statue': 1})"
382GHPVPHTWGTFNQAF8LL5N1EEM438,7,2414319,296869,ambiguous_synset,woman.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2414319_296869_ambiguous_synset.png,"Counter({'mobile': 2, 'woman': 2, 'girl': 2, 'lady': 2, 'human': 1, 'woman on phone': 1})"
382GHPVPHTWGTFNQAF8LL5N1EEM438,8,2338246,3491340,ambiguous_category,athlete.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2338246_3491340_ambiguous_category.png,"Counter({'tennis player': 4, 'man': 2, 'human': 1, 'federer': 1, 'player': 1, 'tennies player': 1})"
382GHPVPHTWGTFNQAF8LL5N1EEM438,9,2355516,1850502,ambiguous_synset,tool.n.01,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2355516_1850502_ambiguous_synset.png,"Counter({'scissors': 5, 'scissor': 4, 'sizzers': 1})"
