Transaction ID,Date Initiated,Date Posted,Transaction Type,Payment Method,Recipient ID,Amount,HIT ID,Assignment ID
33XOHCYG7RAJAI92EDTUHDOH8MIC02,2018-11-26 02:53:13 -0800,2018-11-26 08:02:04 -0800,AssignmentPayment,,AC1OPZLADEEBM,-0.100,3GV1I4SEOAUBO6HTZ950EP1W7WML6Y,3RKNTXVS3O3J0KK59WSXXXXSQC04AN
3UI1CATC9MJQ9HMLI8FWZFRD67O7LM,2018-11-26 02:53:13 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3GV1I4SEOAUBO6HTZ950EP1W7WML6Y,3RKNTXVS3O3J0KK59WSXXXXSQC04AN
3NB5KH27C5L9EBAWEUOVD5OGFSCEIS,2018-11-26 02:53:15 -0800,2018-11-26 06:29:02 -0800,AssignmentPayment,,A1WAWEY2810TFN,-0.100,3MYASTQBG8GL0CCL11LA1HAIYOWQDK,3F6KKYWMND63KZXNBBYVM7BY2WSND3
3QL7E7H0V50CUBDYJJSZNPRSLTZA4N,2018-11-26 02:53:15 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3MYASTQBG8GL0CCL11LA1HAIYOWQDK,3F6KKYWMND63KZXNBBYVM7BY2WSND3
390Y600R4TO7P61SAH28YFPY3YLIZ2,2018-11-26 02:54:15 -0800,2018-11-26 06:38:04 -0800,AssignmentPayment,,A3IRQEJDDTCO3K,-0.100,3OCZWXS7ZPCF52HFUQVVMJNWB1BL5I,32M8BPYGAVREIIWNGLMBNKIETPEIGS
31RTL0YYTBN0YQJDKGH1QP6F3UNEKC,2018-11-26 02:54:15 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3OCZWXS7ZPCF52HFUQVVMJNWB1BL5I,32M8BPYGAVREIIWNGLMBNKIETPEIGS
3Q69XWVMIN47QZ29VSCEQDTPOU3MIP,2018-11-26 02:54:18 -0800,2018-11-26 06:25:39 -0800,AssignmentPayment,,AX5YKKRJ8IMN4,-0.100,3MYASTQBG8GL0CCL11LA1HAIYOWDQ7,33NF62TLXL7FFFCCOUSQXDP7DLKKJ9
383WJAC48KTR0TWWV7KC4NFBY14I4Z,2018-11-26 02:54:18 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3MYASTQBG8GL0CCL11LA1HAIYOWDQ7,33NF62TLXL7FFFCCOUSQXDP7DLKKJ9
3STJ2RZIHR8YLZH325XJ3BLVAHHP3O,2018-11-26 02:55:13 -0800,2018-11-26 09:06:12 -0800,AssignmentPayment,,A3SCM7PCCL3HYR,-0.100,3OPLMF3EU6SJVRNLYQRHG0NI2MBNLA,3CP1TO84PV6CR0T1AMISW7K8EK452N
3JJVITN45OWMAHW2EUKXV10T7WTKOM,2018-11-26 02:55:13 -0800,2018-11-26 07:32:28 -0800,FeePayment,,Mechanical Turk,-0.020,3OPLMF3EU6SJVRNLYQRHG0NI2MBNLA,3CP1TO84PV6CR0T1AMISW7K8EK452N
