img_0_url,img_1_url,img_2_url,img_3_url,img_4_url,taboolist_0,taboolist_1,taboolist_2,taboolist_3,taboolist_4
http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2363848_3743172_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2412877_3802623_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2353547_2001468_singleton_obj.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2372994_1749119_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2358476_802308_ambiguous_category.png,"terrier, dog","terriers, dogs","cups, glasses","cottage, house","pickle, tomato"
http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2390339_1251334_singleton_obj.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2416652_3366236_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2338246_3491340_ambiguous_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2353604_2768859_singleton_obj.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2319541_2810174_singleton_category.png,"canine, dog","doggy, dog","pro, player",knife,"coffee, cup"
http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2355516_1850502_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2348563_1842485_singleton_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2397900_1185290_ambiguous_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2391841_1236887_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2325122_3456054_ambiguous_category.png,"tool, scissors","sandwich, sub","potato, food","salad, vegetables",garage
http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2393207_3218440_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2404889_336926_singleton_obj.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2359393_793716_singleton_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2372568_2038746_singleton_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2385661_1294150_singleton_category.png,"donut, pastry","scissors, shears","blt, sandwich","batter, player","fries, potatoes"
http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2364387_3739180_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/884_1637760_singleton_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2373189_733918_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2384848_1304092_ambiguous_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2332727_3337741_ambiguous_category.png,"theatre, building",cereal,"dishes, measuring cup","rice, food","sauce, pizza"
http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2385544_1295610_singleton_obj.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2414319_296869_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2410265_221991_singleton_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2354467_1932694_singleton_obj.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2339579_2625157_ambiguous_category.png,"cake, icing","lady, woman","cafe, shop","dish, plate","hut, umbrella"
http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2384637_1306887_singleton_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2361069_784301_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2361816_2220050_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2374569_586596_singleton_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2365178_2438664_singleton_category.png,"building, structure","handsaw, tool","rhubarb, vegetable","cookie, biscuit",shovel
http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2380952_542898_singleton_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2355687_2456318_singleton_obj.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2363996_3339443_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2341515_3654782_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2350930_1830045_singleton_category.png,"boy, man",grill,"cheesecake, cake","huts, beach","pitcher, blender"
http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2357137_814606_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2378437_1857761_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2415689_3313513_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2347736_3165295_singleton_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2381209_706387_singleton_category.png,"retriever, dog","husky, dog",pancake,"wine, bottle","puppy, dog"
http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2365661_3883093_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2410391_1863266_ambiguous_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2335655_2105998_ambiguous_synset.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2347092_3613245_singleton_category.png,http://www.coli.uni-saarland.de/~carina/object_naming/amt_images/2365354_757200_ambiguous_synset.png,"gentleman, man","skier, ski stick","puppies, dog","artist, women","apple, fruit"
