vg_img_id	vg_object_id	sample_type	synset	obj_name	cat	url	responses
2341688	3334731	singleton_obj	baked_goods.n.01	bun	food, solid food	http://object-naming-amore.upf.edu//2341688_3334731_singleton_obj.png	Counter({'bun': 2, 'burger': 2, 'bread': 2, 'sandwich': 1, 'cake': 1, 'hot dog': 1})
2349225	3101007	singleton_obj	truck.n.01	van	vehicle	http://object-naming-amore.upf.edu//2349225_3101007_singleton_obj.png	Counter({'van': 5, 'wheel': 3, 'pole': 1})
2343185	2193850	singleton_obj	horse.n.01	horse	animal	http://object-naming-amore.upf.edu//2343185_2193850_singleton_obj.png	Counter({'horse': 5, 'pole': 2, 'wooden': 1, '#other_horse': 1})
2412112	202683	singleton_obj	male_child.n.01	boy	person	http://object-naming-amore.upf.edu//2412112_202683_singleton_obj.png	Counter({'boy': 3, 'child': 1, 'pant': 1, 'shoe': 1, 'shirt': 1, 'person': 1, 't-shirt': 1})
2353664	1989468	singleton_obj	truck.n.01	truck	vehicle	http://object-naming-amore.upf.edu//2353664_1989468_singleton_obj.png	Counter({'truck': 4, 'wheel': 4, 'van': 1})
2378312	3670662	singleton_obj	shirt.n.01	shirt	article of clothing	http://object-naming-amore.upf.edu//2378312_3670662_singleton_obj.png	Counter({'t-shirt': 5, 'shirt': 4})
2360170	2237792	supercat_unique	kitchen_utensil.n.01	pan	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2360170_2237792_supercat_unique.png	Counter({'plate': 5, 'pizza': 2, 'cake': 1, 'pizza pan': 1})
2405708	1106553	seed_ambiguous	furnishing.n.02	chair	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2405708_1106553_seed_ambiguous.png	Counter({'chair': 8, 'pole': 1})
2375426	2950862	singleton_obj	man.n.01	guy	person	http://object-naming-amore.upf.edu//2375426_2950862_singleton_obj.png	Counter({'man': 3, 'pant': 1, 'woman': 1, 'pante': 1, 'shoe': 1, 'person': 1, 't-shirt': 1})
2364232	759455	singleton_obj	athlete.n.01	skateboarder	person	http://object-naming-amore.upf.edu//2364232_759455_singleton_obj.png	Counter({'skateboarder': 2, 'pant': 1, 'skater': 1, 'shoe': 1, 'man': 1, 'scatting': 1, 'person': 1, 't-shirt': 1})
2368942	744615	seed_ambiguous	man.n.01	man	person	http://object-naming-amore.upf.edu//2368942_744615_seed_ambiguous.png	Counter({'man': 6, 'shirt': 1, 'cap': 1, 'person': 1})
2370749	3856950	singleton_obj	furnishing.n.02	bed	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2370749_3856950_singleton_obj.png	Counter({'bed': 7, 'pillow': 1, 'billow': 1})
