"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.image_url_1","Input.vg_name_1","Input.response_1_1","Answer.ambiguous_box.on","Answer.ambiguous_box_notsure.on","Answer.comments_1","Answer.correct.on","Answer.correct_not_sure.on","Answer.identification.label","Answer.incorrect.on","Answer.no_ambiguous_box.on","Answer.not_really_correct.on","Answer.quite correct.on","Approve","Reject"
"3XT3KXP24ZY7JWDW7WD0VP1YZGZI6C","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Thu Jul 25 07:48:41 PDT 2019","3","BatchId:245785;OriginalHitTemplateId:921587254;","3600","259200","Sun Sep 22 02:11:22 PDT 2019","","","3R6P78PK7KB1CNG73NQS96BCAWITGF","A224CWDR7XXF53","Approved","Tue Jul 30 06:31:07 PDT 2019","Tue Jul 30 06:31:12 PDT 2019","Fri Aug 02 06:31:12 PDT 2019","Fri Aug 02 06:32:07 PDT 2019","","","5","100% (642/642)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2359286_2031767_singleton_obj.png","ambulance","van","false","false","","true","false","Yes","false","false","false","false"
"324N5FAHSXBJ4HIL876KKXWA8DFKVG","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Thu Jul 25 07:48:41 PDT 2019","3","BatchId:245785;OriginalHitTemplateId:921587254;","3600","259200","Sun Sep 22 02:11:22 PDT 2019","","","39U1BHVTDLR0IB4J88J8QCM36RJ3TN","A224CWDR7XXF53","Approved","Wed Jul 31 05:12:40 PDT 2019","Wed Jul 31 05:12:56 PDT 2019","Sat Aug 03 05:12:56 PDT 2019","Sat Aug 03 05:13:07 PDT 2019","","","16","100% (642/642)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2348296_1816577_singleton_obj.png","scooter","bike","false","false","","false","true","Yes","false","false","false","false"
"324N5FAHSXBJ4HIL876KKXWA8DFKVG","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Thu Jul 25 07:48:41 PDT 2019","3","BatchId:245785;OriginalHitTemplateId:921587254;","3600","259200","Sun Sep 22 02:11:22 PDT 2019","","","3QECW5O0KH13WQRNMR7159KNKSZ5TE","A91P6MTYV299S","Submitted","Wed Sep 11 10:27:00 PDT 2019","Wed Sep 11 10:27:10 PDT 2019","Sat Sep 14 10:27:10 PDT 2019","","","","10","100% (107/107)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2348296_1816577_singleton_obj.png","scooter","bike","false","false","","true","false","Yes","false","false","false","false"
"37ZQELHEQ0Y1M09FRSX9PTU1BF8NM7","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Thu Jul 25 07:49:19 PDT 2019","3","BatchId:245785;OriginalHitTemplateId:921587254;","3600","259200","Sat Aug 10 09:43:37 PDT 2019","","","379J5II41OGF9WCBOJYDNCGJ345LED","A224CWDR7XXF53","Approved","Fri Aug 02 05:09:38 PDT 2019","Fri Aug 02 05:09:49 PDT 2019","Mon Aug 05 05:09:49 PDT 2019","Mon Aug 05 05:10:07 PDT 2019","","","11","100% (642/642)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2348296_1816577_singleton_obj.png","scooter","moped","false","false","","false","false","Yes","false","false","false","true"
"3ZXV7Q5FJBOCPMK7GFKIESGGFAICF7","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Thu Jul 25 07:46:36 PDT 2019","3","BatchId:245785;OriginalHitTemplateId:921587254;","3600","259200","Sun Sep 22 02:11:22 PDT 2019","","","3K3R2QNK8B31XQ8OPMASMLBRP2P9U0","A91P6MTYV299S","Submitted","Wed Sep 11 10:59:03 PDT 2019","Wed Sep 11 10:59:11 PDT 2019","Sat Sep 14 10:59:11 PDT 2019","","","","8","100% (107/107)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2348296_1816577_singleton_obj.png","scooter","motorcycle","false","false","","true","false","Yes","false","false","false","false"
"37VE3DA4YUHDTDJ7X5CN6TMBD4VBHX","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Thu Jul 25 07:48:41 PDT 2019","3","BatchId:245785;OriginalHitTemplateId:921587254;","3600","259200","Sun Sep 22 02:11:22 PDT 2019","","","34V1S5K3GS1GVFINT4CP6FXBMB069E","A224CWDR7XXF53","Approved","Fri Jul 26 03:17:28 PDT 2019","Fri Jul 26 03:17:58 PDT 2019","Mon Jul 29 03:17:58 PDT 2019","Mon Jul 29 03:18:07 PDT 2019","","","30","100% (642/642)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2357516_811425_singleton_obj.png","car","truck","true","false","","false","true","Not sure","false","false","false","false"
"3DQYSJDTYLB8M6V6C0WZANGQ4RREXT","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Thu Jul 25 07:46:36 PDT 2019","3","BatchId:245785;OriginalHitTemplateId:921587254;","3600","259200","Sun Sep 22 02:11:22 PDT 2019","","","3DQQ64TANGLZHHD01BLQQZW3FHSWPH","A224CWDR7XXF53","Approved","Wed Jul 31 05:09:25 PDT 2019","Wed Jul 31 05:09:31 PDT 2019","Sat Aug 03 05:09:31 PDT 2019","Sat Aug 03 05:10:07 PDT 2019","","","6","100% (642/642)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2357516_811425_singleton_obj.png","car","vehicle","false","false","","true","false","Yes","false","false","false","false"
"3BVS8WK9Q0VDP8UR3NU865NQDHABIQ","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Thu Jul 25 07:48:43 PDT 2019","3","BatchId:245785;OriginalHitTemplateId:921587254;","3600","259200","Sat Aug 10 09:43:37 PDT 2019","","","3ATTHHXXWAOMPVVMYLRSJL9Y25TIXA","A224CWDR7XXF53","Approved","Mon Jul 29 01:04:31 PDT 2019","Mon Jul 29 01:04:36 PDT 2019","Thu Aug 01 01:04:36 PDT 2019","Thu Aug 01 01:05:07 PDT 2019","","","5","100% (642/642)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2406532_293946_singleton_obj.png","jet","fighter jet","false","false","","true","false","Yes","false","false","false","false"
"3MYASTQBG7BJL3GUURQNAX2C7C3DQ2","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Thu Jul 25 07:48:43 PDT 2019","3","BatchId:245785;OriginalHitTemplateId:921587254;","3600","259200","Sun Sep 22 02:11:22 PDT 2019","","","3B3WTRP3DB2SDEZM620MG2GZ665927","A224CWDR7XXF53","Approved","Mon Jul 29 01:11:40 PDT 2019","Mon Jul 29 01:11:45 PDT 2019","Thu Aug 01 01:11:45 PDT 2019","Thu Aug 01 01:12:07 PDT 2019","","","5","100% (642/642)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2406532_293946_singleton_obj.png","jet","airplane","false","false","","true","false","Yes","false","false","false","false"
"3MYASTQBG7BJL3GUURQNAX2C7C3DQ2","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Thu Jul 25 07:48:43 PDT 2019","3","BatchId:245785;OriginalHitTemplateId:921587254;","3600","259200","Sun Sep 22 02:11:22 PDT 2019","","","3JJVG1YBEBX304X6M5GG5FE1ELZB5U","A91P6MTYV299S","Submitted","Wed Sep 11 10:30:12 PDT 2019","Wed Sep 11 10:30:20 PDT 2019","Sat Sep 14 10:30:20 PDT 2019","","","","8","100% (107/107)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2406532_293946_singleton_obj.png","jet","airplane","false","false","","true","false","Yes","false","false","false","false"
"3SD15I2WD2USTTVDMT6DRJZ9GY236X","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Thu Jul 25 07:46:40 PDT 2019","3","BatchId:245785;OriginalHitTemplateId:921587254;","3600","259200","Sun Sep 22 02:11:23 PDT 2019","","","320DUZ38G7M7YKK2RTCO70O3CUGGJM","A91P6MTYV299S","Approved","Fri Jul 26 09:57:02 PDT 2019","Fri Jul 26 09:57:09 PDT 2019","Mon Jul 29 09:57:09 PDT 2019","Mon Jul 29 09:58:07 PDT 2019","","","7","100% (107/107)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2406532_293946_singleton_obj.png","jet","plane","false","false","","true","false","Yes","false","false","false","false"
"3SD15I2WD2USTTVDMT6DRJZ9GY236X","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Thu Jul 25 07:46:40 PDT 2019","3","BatchId:245785;OriginalHitTemplateId:921587254;","3600","259200","Sun Sep 22 02:11:23 PDT 2019","","","3IAS3U3I0FGB17EJ4MEI78BPU6E2BG","A224CWDR7XXF53","Approved","Tue Jul 30 06:29:19 PDT 2019","Tue Jul 30 06:29:24 PDT 2019","Fri Aug 02 06:29:24 PDT 2019","Fri Aug 02 06:30:07 PDT 2019","","","5","100% (642/642)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2406532_293946_singleton_obj.png","jet","plane","false","false","","true","false","Yes","false","false","false","false"
"3EPG8DX9LKQ3HE0MF8TFCGOAPZJ5PV","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Thu Jul 25 07:46:40 PDT 2019","3","BatchId:245785;OriginalHitTemplateId:921587254;","3600","259200","Sat Aug 10 09:43:37 PDT 2019","","","3QAVNHZ3EM4CJJVZ8EWRRTQSIO8LAH","A91P6MTYV299S","Approved","Fri Jul 26 09:59:06 PDT 2019","Fri Jul 26 09:59:15 PDT 2019","Mon Jul 29 09:59:15 PDT 2019","Mon Jul 29 10:00:07 PDT 2019","","","9","100% (107/107)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2363753_2630772_singleton_obj.png","truck","bike","false","false","","false","false","No","false","true","false","false"
"3EPG8DX9LKQ3HE0MF8TFCGOAPZJ5PV","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Thu Jul 25 07:46:40 PDT 2019","3","BatchId:245785;OriginalHitTemplateId:921587254;","3600","259200","Sat Aug 10 09:43:37 PDT 2019","","","3TVRFO09GKFOFW3SJOO5B11QJ9NLXR","A224CWDR7XXF53","Approved","Mon Jul 29 01:09:06 PDT 2019","Mon Jul 29 01:09:14 PDT 2019","Thu Aug 01 01:09:14 PDT 2019","Thu Aug 01 01:10:07 PDT 2019","","","8","100% (642/642)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2363753_2630772_singleton_obj.png","truck","bike","false","false","","false","false","No","false","true","false","false"
"30Z7M1Q8UYKFHSDMONILY596S3K8AK","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Thu Jul 25 07:46:40 PDT 2019","3","BatchId:245785;OriginalHitTemplateId:921587254;","3600","259200","Sun Sep 22 02:11:22 PDT 2019","","","3WYP994K17RVWGQV1G455WQ2VKT6YB","A224CWDR7XXF53","Approved","Mon Jul 29 09:28:50 PDT 2019","Mon Jul 29 09:28:56 PDT 2019","Thu Aug 01 09:28:56 PDT 2019","Thu Aug 01 09:29:07 PDT 2019","","","6","100% (642/642)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2363753_2630772_singleton_obj.png","truck","vehicle","false","false","","true","false","Yes","false","false","false","false"
"37S0QRNUFBG1Y4K7RPY72E3B2FK88G","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Thu Jul 25 07:46:30 PDT 2019","3","BatchId:245785;OriginalHitTemplateId:921587254;","3600","259200","Sun Sep 22 02:11:22 PDT 2019","","","3STRJBFXOWR6E9CQTEB77Y35HDZTKI","A224CWDR7XXF53","Approved","Tue Jul 30 06:33:43 PDT 2019","Tue Jul 30 06:33:49 PDT 2019","Fri Aug 02 06:33:49 PDT 2019","Fri Aug 02 06:34:07 PDT 2019","","","6","100% (642/642)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2316735_3170310_supercat_ambiguous.png","jar","cookie jar","false","false","","true","false","Yes","false","false","false","false"
"3VGZ74AYTGGI3MG2RZQ0WDGSGPICG6","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Thu Jul 25 07:46:40 PDT 2019","3","BatchId:245785;OriginalHitTemplateId:921587254;","3600","259200","Sun Sep 22 02:11:22 PDT 2019","","","33ISQZVXPPM79UYRFFZJU5QTOIMCC1","A224CWDR7XXF53","Approved","Mon Jul 29 09:30:44 PDT 2019","Mon Jul 29 09:30:51 PDT 2019","Thu Aug 01 09:30:51 PDT 2019","Thu Aug 01 09:31:07 PDT 2019","","","7","100% (642/642)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2363753_2630772_singleton_obj.png","truck","car","false","false","","true","false","Yes","false","false","false","false"
"3VGZ74AYTGGI3MG2RZQ0WDGSGPICG6","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Thu Jul 25 07:46:40 PDT 2019","3","BatchId:245785;OriginalHitTemplateId:921587254;","3600","259200","Sun Sep 22 02:11:22 PDT 2019","","","3WT783CTPBHOZP6L1F3OJLKB62LCB3","A91P6MTYV299S","Submitted","Wed Sep 11 11:08:59 PDT 2019","Wed Sep 11 11:09:08 PDT 2019","Sat Sep 14 11:09:08 PDT 2019","","","","9","100% (107/107)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2363753_2630772_singleton_obj.png","truck","car","false","false","","true","false","Yes","false","false","false","false"
"356TQKY9XFXXYQFOHK61OE7GRVE87T","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Thu Jul 25 07:46:30 PDT 2019","3","BatchId:245785;OriginalHitTemplateId:921587254;","3600","259200","Sun Sep 22 02:11:22 PDT 2019","","","3PZDLQMM0TLUBC6PIMADISH7CR8C2R","A224CWDR7XXF53","Approved","Mon Jul 29 01:12:12 PDT 2019","Mon Jul 29 01:12:18 PDT 2019","Thu Aug 01 01:12:18 PDT 2019","Thu Aug 01 01:13:07 PDT 2019","","","6","100% (642/642)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2316735_3170310_supercat_ambiguous.png","jar","bird","false","false","","true","false","Yes","false","false","false","false"
"3B9XR6P1WEV9KJEXL5F8I62QQWZBJ2","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Thu Jul 25 07:48:43 PDT 2019","3","BatchId:245785;OriginalHitTemplateId:921587254;","3600","259200","Sat Aug 10 09:43:37 PDT 2019","","","3Z4XG4ZF48RT0PJ9PZF16WFKZ9O8XS","A224CWDR7XXF53","Approved","Mon Jul 29 01:05:16 PDT 2019","Mon Jul 29 01:05:29 PDT 2019","Thu Aug 01 01:05:29 PDT 2019","Thu Aug 01 01:06:07 PDT 2019","","","13","100% (642/642)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2363753_2630772_singleton_obj.png","truck","wheel","false","false","","false","false","No","false","true","false","false"
"3TD33TP5DL2YJQBTRZ2VP7Z7095ABL","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Thu Jul 25 07:46:30 PDT 2019","3","BatchId:245785;OriginalHitTemplateId:921587254;","3600","259200","Sun Sep 22 02:11:22 PDT 2019","","","3EICBYG644WUH84XP7G5H93OE7TCJN","A91P6MTYV299S","Submitted","Wed Sep 11 03:04:53 PDT 2019","Wed Sep 11 03:05:06 PDT 2019","Sat Sep 14 03:05:06 PDT 2019","","","","13","100% (107/107)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2387321_1277095_singleton_obj.png","cabinet","stand","false","false","","true","false","Yes","false","false","false","false"
"3TD33TP5DL2YJQBTRZ2VP7Z7095ABL","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Thu Jul 25 07:46:30 PDT 2019","3","BatchId:245785;OriginalHitTemplateId:921587254;","3600","259200","Sun Sep 22 02:11:22 PDT 2019","","","3VNXK88KKCI1A5XOUCKXI7DA34Z9VG","A224CWDR7XXF53","Approved","Mon Jul 29 09:35:50 PDT 2019","Mon Jul 29 09:35:55 PDT 2019","Thu Aug 01 09:35:55 PDT 2019","Thu Aug 01 09:36:07 PDT 2019","","","5","100% (642/642)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2387321_1277095_singleton_obj.png","cabinet","stand","false","false","","true","false","Yes","false","false","false","false"
"302OLP89DZ7HTV3Z5ZYQ0R5PIU5ACS","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Thu Jul 25 07:46:30 PDT 2019","3","BatchId:245785;OriginalHitTemplateId:921587254;","3600","259200","Sun Sep 22 02:11:22 PDT 2019","","","38F5OAUN5NCSELEBAQ59PAVV0Z0H7M","A224CWDR7XXF53","Approved","Mon Jul 29 09:27:31 PDT 2019","Mon Jul 29 09:27:36 PDT 2019","Thu Aug 01 09:27:36 PDT 2019","Thu Aug 01 09:28:07 PDT 2019","","","5","100% (642/642)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2387321_1277095_singleton_obj.png","cabinet","furniture","false","false","","true","false","Yes","false","false","false","false"
"3GVPRXWRPHUQNWR1Q6IS131UURJI7B","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Thu Jul 25 07:48:43 PDT 2019","3","BatchId:245785;OriginalHitTemplateId:921587254;","3600","259200","Sun Sep 22 02:11:22 PDT 2019","","","3OLQQLKKNSP9E6OBLYM07X3RZE1JE8","A91P6MTYV299S","Approved","Fri Jul 26 10:09:03 PDT 2019","Fri Jul 26 10:09:19 PDT 2019","Mon Jul 29 10:09:19 PDT 2019","Mon Jul 29 10:10:07 PDT 2019","","","16","100% (107/107)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2323738_2709711_singleton_obj.png","motorbike","wheel","true","false","","false","false","No","false","false","false","false"
