	HITId	AssignmentId	WorkerId	WorkTimeInSeconds	url	vg_obj_name	mn_obj_name	comments	same_object	correct_name	ambiguous_bbox
0	3XT3KXP24ZY7JWDW7WD0VP1YZGZI6C	3R6P78PK7KB1CNG73NQS96BCAWITGF	A224CWDR7XXF53	5	http://object-naming-amore.upf.edu//2359286_2031767_singleton_obj.png	ambulance	van		Yes	2	
1	324N5FAHSXBJ4HIL876KKXWA8DFKVG	39U1BHVTDLR0IB4J88J8QCM36RJ3TN	A224CWDR7XXF53	16	http://object-naming-amore.upf.edu//2348296_1816577_singleton_obj.png	scooter	bike		Yes	0	
2	37VE3DA4YUHDTDJ7X5CN6TMBD4VBHX	34V1S5K3GS1GVFINT4CP6FXBMB069E	A224CWDR7XXF53	30	http://object-naming-amore.upf.edu//2357516_811425_singleton_obj.png	car	truck		Not sure	0	Yes
3	3DQYSJDTYLB8M6V6C0WZANGQ4RREXT	3DQQ64TANGLZHHD01BLQQZW3FHSWPH	A224CWDR7XXF53	6	http://object-naming-amore.upf.edu//2357516_811425_singleton_obj.png	car	vehicle		Yes	2	
4	3BVS8WK9Q0VDP8UR3NU865NQDHABIQ	3ATTHHXXWAOMPVVMYLRSJL9Y25TIXA	A224CWDR7XXF53	5	http://object-naming-amore.upf.edu//2406532_293946_singleton_obj.png	jet	fighter jet		Yes	2	
5	3MYASTQBG7BJL3GUURQNAX2C7C3DQ2	3B3WTRP3DB2SDEZM620MG2GZ665927	A224CWDR7XXF53	5	http://object-naming-amore.upf.edu//2406532_293946_singleton_obj.png	jet	airplane		Yes	2	
6	3SD15I2WD2USTTVDMT6DRJZ9GY236X	320DUZ38G7M7YKK2RTCO70O3CUGGJM	A91P6MTYV299S	7	http://object-naming-amore.upf.edu//2406532_293946_singleton_obj.png	jet	plane		Yes	2	
7	3SD15I2WD2USTTVDMT6DRJZ9GY236X	3IAS3U3I0FGB17EJ4MEI78BPU6E2BG	A224CWDR7XXF53	5	http://object-naming-amore.upf.edu//2406532_293946_singleton_obj.png	jet	plane		Yes	2	
8	3EPG8DX9LKQ3HE0MF8TFCGOAPZJ5PV	3QAVNHZ3EM4CJJVZ8EWRRTQSIO8LAH	A91P6MTYV299S	9	http://object-naming-amore.upf.edu//2363753_2630772_singleton_obj.png	truck	bike		No	-3	no
9	3EPG8DX9LKQ3HE0MF8TFCGOAPZJ5PV	3TVRFO09GKFOFW3SJOO5B11QJ9NLXR	A224CWDR7XXF53	8	http://object-naming-amore.upf.edu//2363753_2630772_singleton_obj.png	truck	bike		No	-3	no
10	30Z7M1Q8UYKFHSDMONILY596S3K8AK	3WYP994K17RVWGQV1G455WQ2VKT6YB	A224CWDR7XXF53	6	http://object-naming-amore.upf.edu//2363753_2630772_singleton_obj.png	truck	vehicle		Yes	2	
11	37S0QRNUFBG1Y4K7RPY72E3B2FK88G	3STRJBFXOWR6E9CQTEB77Y35HDZTKI	A224CWDR7XXF53	6	http://object-naming-amore.upf.edu//2316735_3170310_supercat_ambiguous.png	jar	cookie jar		Yes	2	
12	3VGZ74AYTGGI3MG2RZQ0WDGSGPICG6	33ISQZVXPPM79UYRFFZJU5QTOIMCC1	A224CWDR7XXF53	7	http://object-naming-amore.upf.edu//2363753_2630772_singleton_obj.png	truck	car		Yes	2	
13	356TQKY9XFXXYQFOHK61OE7GRVE87T	3PZDLQMM0TLUBC6PIMADISH7CR8C2R	A224CWDR7XXF53	6	http://object-naming-amore.upf.edu//2316735_3170310_supercat_ambiguous.png	jar	bird		Yes	2	
14	3B9XR6P1WEV9KJEXL5F8I62QQWZBJ2	3Z4XG4ZF48RT0PJ9PZF16WFKZ9O8XS	A224CWDR7XXF53	13	http://object-naming-amore.upf.edu//2363753_2630772_singleton_obj.png	truck	wheel		No	-3	no
15	3TD33TP5DL2YJQBTRZ2VP7Z7095ABL	3VNXK88KKCI1A5XOUCKXI7DA34Z9VG	A224CWDR7XXF53	5	http://object-naming-amore.upf.edu//2387321_1277095_singleton_obj.png	cabinet	stand		Yes	2	
16	302OLP89DZ7HTV3Z5ZYQ0R5PIU5ACS	38F5OAUN5NCSELEBAQ59PAVV0Z0H7M	A224CWDR7XXF53	5	http://object-naming-amore.upf.edu//2387321_1277095_singleton_obj.png	cabinet	furniture		Yes	2	
17	3GVPRXWRPHUQNWR1Q6IS131UURJI7B	3OLQQLKKNSP9E6OBLYM07X3RZE1JE8	A91P6MTYV299S	16	http://object-naming-amore.upf.edu//2323738_2709711_singleton_obj.png	motorbike	wheel		No	-3	Yes
18	3GVPRXWRPHUQNWR1Q6IS131UURJI7B	3SKEMFQBZ35NGPK2QG0CG27I3098K3	A224CWDR7XXF53	15	http://object-naming-amore.upf.edu//2323738_2709711_singleton_obj.png	motorbike	wheel		No	-3	no
19	3PN6H8C9R4QRYN9D5VT1KXN73UHADS	3V5Q80FXIXR6YCA6PTZCPPDD6E632V	A224CWDR7XXF53	33	http://object-naming-amore.upf.edu//2387321_1277095_singleton_obj.png	cabinet	hatstand		Yes	-2	
20	3QE4DGPGBRBF8I3NYKKIDF44OC1G4X	36NEMU28XFDTWEGN9VTY9V28ACHWML	A224CWDR7XXF53	6	http://object-naming-amore.upf.edu//2323738_2709711_singleton_obj.png	motorbike	bike		Yes	2	
21	3ZLW647WALV4BSCCZRUA16IX0T032G	3634BBTX0OU5P941YRL6DE9RY0VFIE	A224CWDR7XXF53	31	http://object-naming-amore.upf.edu//2387321_1277095_singleton_obj.png	cabinet	shelves		Yes	2	
22	35A1YQPVFEGB0SDI2D3V3JNY3LO5IJ	3NKQQ8O39Y5D0GL512FU8HUHGI2DU9	A224CWDR7XXF53	12	http://object-naming-amore.upf.edu//2387321_1277095_singleton_obj.png	cabinet	shelf		Yes	1	
23	3SSN80MU8COB86NG8M728ITVOONKXJ	3ON104KXQKWDSORH3RT2N1L8OLWW4Q	A224CWDR7XXF53	5	http://object-naming-amore.upf.edu//2323738_2709711_singleton_obj.png	motorbike	motorcycle		Yes	2	
24	37YYO3NWHDQ5MA0XPDUH6MVDIXQCCW	3W8CV64QJ2ZWS424PN3T36M1VPOH9Y	A224CWDR7XXF53	8	http://object-naming-amore.upf.edu//2387321_1277095_singleton_obj.png	cabinet	television stand		Yes	2	
25	3AA88CN98P308BDQDIT4RW04QUHKYP	35DR22AR5DK7ZSD3DIK5FF79JN73X6	A224CWDR7XXF53	5	http://object-naming-amore.upf.edu//2364342_2609948_seed_ambiguous.png	aircraft	plane		Yes	2	
26	3WGZLY9VCHMDFZGY8X9NO6HCD6H8DM	3TPZPLC3M0C2QJBCRRAOL2L6HOL3P5	A224CWDR7XXF53	7	http://object-naming-amore.upf.edu//2364342_2609948_seed_ambiguous.png	aircraft	jet		Yes	2	
27	3WJGKMRWVI9FR26BP9PSQSDV3X2CDW	3OXV7EAXLEQUGDT7CVBFF2UPMJ863F	A224CWDR7XXF53	15	http://object-naming-amore.upf.edu//2387321_1277095_singleton_obj.png	cabinet	table		Yes	0	
28	30Y6N4AHYPWJX4VU76FNFNCH3Y5DR3	39KFRKBFINVLLMWZ1CQZMWCTGKEYOJ	A224CWDR7XXF53	7	http://object-naming-amore.upf.edu//2364342_2609948_seed_ambiguous.png	aircraft	airplane		Yes	2	
29	3SV8KD29L4S0D1NV94VN5396WOLKZG	3WEV0KO0OMSXL3T1CXKUTGCTVLHDST	A224CWDR7XXF53	22	http://object-naming-amore.upf.edu//2364342_2609948_seed_ambiguous.png	aircraft	runway		No	2	Yes
30	3I6NF2WGIGWX417NCP3SI7AIO8WG52	333U7HK6I9F4M0ABP3BG1FL6Z24DJD	A224CWDR7XXF53	60	http://object-naming-amore.upf.edu//2364342_2609948_seed_ambiguous.png	aircraft	tarmac		No	1	Yes
31	3A520CCNWN0WQTND1Q4LQF5S36IAEL	33ISQZVXPPM79UYRFFZJU5QTOIJCCY	A224CWDR7XXF53	19	http://object-naming-amore.upf.edu//2387321_1277095_singleton_obj.png	cabinet	console		Yes	1	
32	3JTPR5MTZSC26N362GO7GZ2BVPD5KU	378XPAWRUCDATINTNBZEZDY01KEIA0	A91P6MTYV299S	13	http://object-naming-amore.upf.edu//2404756_338301_singleton_obj.png	rug	knee		No	-3	Yes
33	3P520RYKCH6G9J8IWUS9MMB9XGB5UR	3PH3VY7DJLXTVLF6OKJSHXYHPGUWZX	A224CWDR7XXF53	12	http://object-naming-amore.upf.edu//2347127_1974512_singleton_obj.png	motorcycle	bike		Yes	2	
34	3OCZWXS7ZO7DQTLONG08VZFQKPI5LX	3RANCT1ZVFHKLJNLN6OODR6HDX2UBV	A224CWDR7XXF53	8	http://object-naming-amore.upf.edu//2404756_338301_singleton_obj.png	rug	cloth		Yes	2	
35	30P8I9JKOILGMYXI1K2EI8DSBNK5VG	3QAVNHZ3EM4CJJVZ8EWRRTQSIOFLAO	A224CWDR7XXF53	11	http://object-naming-amore.upf.edu//2347127_1974512_singleton_obj.png	motorcycle	number plate		No	-2	no
36	3U18MJKL1UMODEXOE33VMXPPH14NCP	336YQZE83VEZJV13DU6PJVPVQFE5ME	A224CWDR7XXF53	10	http://object-naming-amore.upf.edu//2404756_338301_singleton_obj.png	rug	chair		Yes	-1	
37	3538U0YQ1FUOCMOONM9HLPCM9X5F3C	33FOTY3KEMLNMROTZIAZD972KLUC1A	A224CWDR7XXF53	5	http://object-naming-amore.upf.edu//2347127_1974512_singleton_obj.png	motorcycle	vehicle		Yes	2	
38	3UV0D2KX1MJ9UI7SN0E0VU4SNX1F4X	35K3O9HUABDT942F28VFSZBZ67REF7	A224CWDR7XXF53	16	http://object-naming-amore.upf.edu//2347127_1974512_singleton_obj.png	motorcycle	wheel	plural	Yes	0	
