vg_img_id	vg_object_id	synset	obj_name	category	url	plurals	similarities	optouts	amt_responses
2403052	383993	ungulate.n.01	baby	animal	http://object-naming-amore.upf.edu//2403052_383993_seed_ambiguous.png	[]	[]	{'#other_animal': 2}	{'zebra': 7}
2411586	309724	ungulate.n.01	beef	animal	http://object-naming-amore.upf.edu//2411586_309724_supercat_unique.png	['vegetables']	[(0.3018477, 'hotdog'), (0.33745432, 'sandwich'), (0.375185, 'vegetables'), (0.512812, 'steak'), (0.63098687, 'sandwich meat')]	{}	{'meat': 3, 'vegetables': 1, 'sandwich meat': 1, 'steak': 1, 'sandwich': 1, 'hotdog': 1}
2356126	823245	ungulate.n.01	beef	animal	http://object-naming-amore.upf.edu//2356126_823245_supercat_unique.png	[]	[(0.31284928, 'sauce'), (0.3669418, 'sandwhich'), (0.50169426, 'cheese'), (0.72863775, 'meat')]	{'#occlusion': 1}	{'meat': 3, 'cheese': 2, 'sandwhich': 1, 'sauce': 1, 'beef': 1}
2396372	1807922	ungulate.n.01	beef	animal	http://object-naming-amore.upf.edu//2396372_1807922_supercat_unique.png	[]	[(0.16761665, 'plate'), (0.3360578, 'bun'), (0.33745432, 'sandwich'), (0.40349853, 'food'), (0.50169426, 'cheese')]	{}	{'plate': 2, 'sandwich': 2, 'steak': 1, 'cheese': 1, 'barger': 1, 'food': 1, 'bun': 1}
2343225	2558751	ungulate.n.01	beef	animal	http://object-naming-amore.upf.edu//2343225_2558751_supercat_unique.png	[]	[(0.024118954, 'blat'), (0.15295634, 'cake'), (0.16761665, 'plate'), (0.33745432, 'sandwich'), (0.40349853, 'food')]	{}	{'meat': 3, 'plate': 2, 'food': 1, 'cake': 1, 'sandwich': 1, 'blat': 1}
2344341	2407715	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2344341_2407715_seed_ambiguous.png	[]	[(0.5125556, 'duck'), (0.6320278, 'goose')]	{'#other_animal': 2}	{'bird': 3, 'duck': 2, 'goose': 2}
2401463	1147692	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2401463_1147692_singleton_obj.png	[]	[(0.26869828, 'whooping crane'), (0.6320278, 'goose')]	{'#other_birds': 1}	{'bird': 6, 'whooping crane': 1, 'goose': 1}
2320071	3197625	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2320071_3197625_singleton_obj.png	['birds']	[(0.03392437, 'road'), (0.12839632, 'pavement')]	{'#bbox': 2, '#other_birds?': 1}	{'birds': 4, 'road': 1, 'pavement': 1}
2390864	1246309	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2390864_1246309_singleton_obj.png	[]	[]	{'#other_animal': 2}	{'bird': 7}
2390127	500218	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2390127_500218_singleton_obj.png	[]	[]	{'#other_animal': 1, '#other_bird': 1, '#other_birds': 1}	{'bird': 5}
2378785	1364745	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2378785_1364745_singleton_obj.png	[]	[]	{'#other_animal': 1}	{'bird': 8}
2410891	319265	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2410891_319265_singleton_obj.png	[]	[(0.5125556, 'duck')]	{'#other_animal': 1}	{'bird': 6, 'duck': 2}
2413704	167934	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2413704_167934_singleton_obj.png	[]	[(0.16352707, 'plant')]	{}	{'bird': 8, 'plant': 1}
2345609	2116974	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2345609_2116974_singleton_obj.png	[]	[]	{}	{'bird': 9}
2336219	2179550	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2336219_2179550_singleton_obj.png	[]	[(0.3317349, 'dove'), (0.6134053, 'pigeon')]	{}	{'bird': 7, 'pigeon': 1, 'dove': 1}
2347493	890314	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2347493_890314_singleton_obj.png	[]	[(0.5819402, 'seagull')]	{}	{'bird': 8, 'seagull': 1}
2384754	1305471	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2384754_1305471_singleton_obj.png	['snakcks']	[(0.1939787, 'food'), (0.25966185, 'meat'), (0.40007293, 'poultry'), (0.42484784, 'chicken')]	{}	{'turkey': 4, 'food': 1, 'meat': 1, 'snakcks': 1, 'chicken': 1, 'poultry': 1}
2399912	1164917	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2399912_1164917_supercat_ambiguous.png	[]	[]	{'#other_animal': 1, '#bbox': 1}	{'ostrich': 7}
2344042	918042	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2344042_918042_seed_ambiguous.png	[]	[]	{}	{'bird': 9}
2362031	3752241	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2362031_3752241_singleton_obj.png	[]	[(0.5342829, 'crow')]	{}	{'bird': 8, 'crow': 1}
2374868	3132135	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2374868_3132135_singleton_obj.png	[]	[]	{}	{'bird': 9}
2369273	2656700	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2369273_2656700_singleton_obj.png	[]	[]	{}	{'bird': 9}
2395722	451575	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2395722_451575_singleton_obj.png	[]	[]	{}	{'bird': 9}
2341438	2307865	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2341438_2307865_singleton_obj.png	[]	[]	{}	{'bird': 9}
2337193	3291939	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2337193_3291939_singleton_obj.png	[]	[]	{}	{'bird': 9}
2323871	3010309	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2323871_3010309_singleton_obj.png	[]	[]	{}	{'bird': 9}
2341774	2338298	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2341774_2338298_seed_ambiguous.png	[]	[]	{}	{'bird': 9}
2366152	630221	bird.n.01	bird	animal	http://object-naming-amore.upf.edu//2366152_630221_singleton_obj.png	[]	[(0.5819402, 'seagull')]	{}	{'bird': 7, 'seagull': 2}
