vg_img_id	vg_object_id	cat	synset	url	responses	sample_type	obj_name
2357077	815223	person	athlete.n.01	http://object-naming-amore.upf.edu//2357077_815223_singleton_obj.png	Counter({'man': 4, 'batter': 2, 'baseball player': 1, 'player': 1, 'person': 1})	singleton_obj	batter
2316815	3238353	person	creator.n.02	http://object-naming-amore.upf.edu//2316815_3238353_seed_ambiguous.png	Counter({'person': 4, 'woman': 2, 'photographer': 1, '#occlusion': 1, 'tourist': 1})	seed_ambiguous	photographer
2378759	1365136	article of clothing	overgarment.n.01	http://object-naming-amore.upf.edu//2378759_1365136_supercat_unique.png	Counter({'jacket': 3, 'sweatshirt': 2, 'man': 2, 'hoodie': 1, 'person': 1})	supercat_unique	jacket
2319953	3089834	animal	ungulate.n.01	http://object-naming-amore.upf.edu//2319953_3089834_singleton_obj.png	Counter({'giraffe': 7, '#bbox': 2})	singleton_obj	giraffe
2339281	2089243	instrumentality, instrumentation	furnishing.n.02	http://object-naming-amore.upf.edu//2339281_2089243_seed_ambiguous.png	Counter({'table': 5, '#occlusion': 2, '#bbox': 1, 'sofa': 1})	seed_ambiguous	couch
2361401	2363103	animal	ungulate.n.01	http://object-naming-amore.upf.edu//2361401_2363103_singleton_obj.png	Counter({'giraffe': 9})	singleton_obj	giraffe
2401994	1141828	food, nutrient	dish.n.02	http://object-naming-amore.upf.edu//2401994_1141828_singleton_obj.png	Counter({'sandwich': 6, 'food': 2, 'hotdog': 1})	singleton_obj	sandwich
2415944	3255495	vehicle	truck.n.01	http://object-naming-amore.upf.edu//2415944_3255495_singleton_obj.png	Counter({'van': 4, 'automobile': 2, 'car': 2, 'tailgate': 1})	singleton_obj	van
2398394	1180292	vehicle	car.n.01	http://object-naming-amore.upf.edu//2398394_1180292_seed_ambiguous.png	Counter({'car': 8, 'automobile': 1})	seed_ambiguous	car
2377992	562745	instrumentality, instrumentation	kitchen_utensil.n.01	http://object-naming-amore.upf.edu//2377992_562745_supercat_ambiguous.png	Counter({'pizza': 6, 'plate': 3})	supercat_ambiguous	pan
1159907	1598944	instrumentality, instrumentation	furnishing.n.02	http://object-naming-amore.upf.edu//1159907_1598944_singleton_obj.png	Counter({'desk': 8})	singleton_obj	desk
2362791	771078	animal	ungulate.n.01	http://object-naming-amore.upf.edu//2362791_771078_singleton_obj.png	Counter({'zebra': 8})	singleton_obj	zebra
2411103	360540	person	child.n.01	http://object-naming-amore.upf.edu//2411103_360540_singleton_obj.png	Counter({'child': 4, 'boy': 3, 'skater': 1})	singleton_obj	kid
2380079	711349	person	woman.n.01	http://object-naming-amore.upf.edu//2380079_711349_singleton_obj.png	Counter({'woman': 6, 'girl': 1, 'mom': 1})	singleton_obj	woman
2392281	1231886	article of clothing	overgarment.n.01	http://object-naming-amore.upf.edu//2392281_1231886_seed_ambiguous.png	Counter({'jacket': 4, 'coat': 4})	seed_ambiguous	coat
2380348	546027	animal	feline.n.01	http://object-naming-amore.upf.edu//2380348_546027_singleton_obj.png	Counter({'cat': 8})	singleton_obj	cat
2382470	1328487	vehicle	truck.n.01	http://object-naming-amore.upf.edu//2382470_1328487_singleton_obj.png	Counter({'truck': 5, 'garbage truck': 2, 'trash truck': 1})	singleton_obj	truck
2399414	416519	food, nutrient	foodstuff.n.02	http://object-naming-amore.upf.edu//2399414_416519_supercat_ambiguous.png	Counter({'pizza': 7, 'pizza toppings': 1})	supercat_ambiguous	cheese
2406452	1101992	instrumentality, instrumentation	furnishing.n.02	http://object-naming-amore.upf.edu//2406452_1101992_supercat_unique.png	Counter({'bed': 8})	supercat_unique	bed
2322791	3054703	structure, construction	bridge.n.01	http://object-naming-amore.upf.edu//2322791_3054703_singleton_obj.png	Counter({'bridge': 8})	singleton_obj	bridge
2355627	827989	animal	horse.n.01	http://object-naming-amore.upf.edu//2355627_827989_singleton_obj.png	Counter({'horse': 8, 'house': 1})	singleton_obj	horse
2393723	470181	vehicle	truck.n.01	http://object-naming-amore.upf.edu//2393723_470181_singleton_obj.png	Counter({'truck': 7, '#other_truck': 1, 'car': 1})	singleton_obj	truck
2354313	2075870	instrumentality, instrumentation	furnishing.n.02	http://object-naming-amore.upf.edu//2354313_2075870_singleton_obj.png	Counter({'curtain': 4, '#bbox': 2, 'blind': 1, 'window': 1, 'blinds': 1})	singleton_obj	curtain
2417142	2996367	person	man.n.01	http://object-naming-amore.upf.edu//2417142_2996367_supercat_unique.png	Counter({'man': 6, 'person': 2, 'guy': 1})	supercat_unique	man
2375457	582254	article of clothing	shirt.n.01	http://object-naming-amore.upf.edu//2375457_582254_supercat_unique.png	Counter({'shirt': 9})	supercat_unique	shirt
2394825	460665	food, nutrient	dish.n.02	http://object-naming-amore.upf.edu//2394825_460665_supercat_unique.png	Counter({'salad': 5, 'vegetables': 1, 'dinner': 1, 'food': 1, '#bbox': 1})	supercat_unique	salad
2370207	3859762	animal	feline.n.01	http://object-naming-amore.upf.edu//2370207_3859762_singleton_obj.png	Counter({'cat': 9})	singleton_obj	cat
2373453	2699350	structure, construction	shelter.n.01	http://object-naming-amore.upf.edu//2373453_2699350_singleton_obj.png	Counter({'#bbox': 2, 'railing': 1, 'sideline': 1, 'path': 1, 'pants': 1, 'dirt': 1, 'ground': 1, 'dugout fence': 1})	singleton_obj	dugout
2370125	606270	vehicle	motorcycle.n.01	http://object-naming-amore.upf.edu//2370125_606270_singleton_obj.png	Counter({'motorcycle': 7, 'bike': 2})	singleton_obj	motorcycle
2322229	2728825	instrumentality, instrumentation	furnishing.n.02	http://object-naming-amore.upf.edu//2322229_2728825_singleton_obj.png	Counter({'bench': 9})	singleton_obj	bench
2350004	3595788	animal	bird.n.01	http://object-naming-amore.upf.edu//2350004_3595788_singleton_obj.png	Counter({'bird': 8, 'crow': 1})	singleton_obj	bird
