vg_img_id	vg_object_id	sample_type	synset	obj_name	cat	url	responses
2380669	1343894	singleton_obj	car.n.01	car	vehicle	http://object-naming-amore.upf.edu//2380669_1343894_singleton_obj.png	Counter({'car': 8, 'card': 1})
2345850	2046866	singleton_obj	furnishing.n.02	bench	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2345850_2046866_singleton_obj.png	Counter({'bench': 9})
2398149	428020	seed_ambiguous	male_child.n.01	boy	person	http://object-naming-amore.upf.edu//2398149_428020_seed_ambiguous.png	Counter({'man': 4, 'person': 2, 'skateboarder': 1, 'skater': 1, 'boy': 1})
2364589	3737491	singleton_obj	furnishing.n.02	rug	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2364589_3737491_singleton_obj.png	Counter({'rug': 7, 'mat': 2})
2342417	934386	seed_ambiguous	furnishing.n.02	rug	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2342417_934386_seed_ambiguous.png	Counter({'rug': 8, 'carpet': 1})
2351705	2568323	singleton_obj	man.n.01	man	person	http://object-naming-amore.upf.edu//2351705_2568323_singleton_obj.png	Counter({'man': 4, 'player': 3, 'tennis player': 1, 'person': 1})
2371174	599323	singleton_obj	shirt.n.01	shirt	article of clothing	http://object-naming-amore.upf.edu//2371174_599323_singleton_obj.png	Counter({'shirt': 9})
2317530	1020053	singleton_obj	furnishing.n.02	bench	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2317530_1020053_singleton_obj.png	Counter({'bench': 9})
2378854	556941	singleton_obj	horse.n.01	horse	animal	http://object-naming-amore.upf.edu//2378854_556941_singleton_obj.png	Counter({'horse': 9})
2345148	2539334	supercat_unique	ungulate.n.01	sheep	animal	http://object-naming-amore.upf.edu//2345148_2539334_supercat_unique.png	Counter({'sheep': 6, 'lamb': 2, 'animal': 1})
2388936	3829043	seed_ambiguous	ungulate.n.01	sheep	animal	http://object-naming-amore.upf.edu//2388936_3829043_seed_ambiguous.png	Counter({'sheep': 7, 'goat': 1, 'ram': 1})
2394511	463480	seed_ambiguous	furnishing.n.02	chair	instrumentality, instrumentation	http://object-naming-amore.upf.edu//2394511_463480_seed_ambiguous.png	Counter({'chair': 9})
