"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.image_url_1","Input.vg_name_1","Input.response_1_1","Answer.ambiguous_box.on","Answer.ambiguous_box_notsure.on","Answer.comments_1","Answer.correct.on","Answer.correct_not_sure.on","Answer.identification.label","Answer.incorrect.on","Answer.no_ambiguous_box.on","Answer.not_really_correct.on","Answer.quite correct.on","Approve","Reject"
"38F60IALAGH2EZ7SZJWN0VTGXV7T0J","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Fri Jul 26 03:27:02 PDT 2019","3","BatchId:245947;OriginalHitTemplateId:921587254;","3600","259200","Sat Sep 21 02:11:03 PDT 2019","","","30IQTZXKAK6BI0E6UV2MDH92GFX0XQ","A2CEUA8RLKEP25","Approved","Mon Aug 26 02:39:41 PDT 2019","Mon Aug 26 02:39:59 PDT 2019","Thu Aug 29 02:39:59 PDT 2019","Thu Aug 29 02:40:07 PDT 2019","","","18","100% (145/145)","100% (145/145)","100% (54/54)","http://object-naming-amore.upf.edu//2380079_711349_singleton_obj.png","woman","girl","false","false","","true","false","Yes","false","false","false","false"
"38F60IALAGH2EZ7SZJWN0VTGXV7T0J","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Fri Jul 26 03:27:02 PDT 2019","3","BatchId:245947;OriginalHitTemplateId:921587254;","3600","259200","Sat Sep 21 02:11:03 PDT 2019","","","3X4MXAO0BGOKTUTFE3PFVUWIGZGWR9","A224CWDR7XXF53","Approved","Wed Jul 31 05:10:37 PDT 2019","Wed Jul 31 05:10:43 PDT 2019","Sat Aug 03 05:10:43 PDT 2019","Sat Aug 03 05:11:07 PDT 2019","","","6","100% (642/642)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2380079_711349_singleton_obj.png","woman","girl","false","false","","true","false","Yes","false","false","false","false"
"3VO4XFFP15M34UFK3EN1A5SGL2EQ72","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Fri Jul 26 03:27:02 PDT 2019","3","BatchId:245947;OriginalHitTemplateId:921587254;","3600","259200","Sat Sep 21 02:11:03 PDT 2019","","","3RXCAC0YIRPIE3OJ0PFXIAFPWOR8G9","A91P6MTYV299S","Submitted","Wed Sep 11 02:16:19 PDT 2019","Wed Sep 11 02:16:45 PDT 2019","Sat Sep 14 02:16:45 PDT 2019","","","","26","100% (107/107)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2316282_3168781_seed_ambiguous.png","woman","dress","false","false","woman from back -- dress is more salient","false","false","No","false","true","false","false"
"3VO4XFFP15M34UFK3EN1A5SGL2EQ72","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Fri Jul 26 03:27:02 PDT 2019","3","BatchId:245947;OriginalHitTemplateId:921587254;","3600","259200","Sat Sep 21 02:11:03 PDT 2019","","","3WI0P0II61SLKOTOX8KP367X9OURDP","A2CEUA8RLKEP25","Approved","Mon Sep 09 01:34:50 PDT 2019","Mon Sep 09 01:35:01 PDT 2019","Thu Sep 12 01:35:01 PDT 2019","Thu Sep 12 01:35:07 PDT 2019","","","11","100% (145/145)","100% (145/145)","100% (54/54)","http://object-naming-amore.upf.edu//2316282_3168781_seed_ambiguous.png","woman","dress","false","false","","false","false","No","false","true","false","false"
"371QPA24C2O2LOSAV20NE0CQ2NDT1M","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Fri Jul 26 03:27:02 PDT 2019","3","BatchId:245947;OriginalHitTemplateId:921587254;","3600","259200","Sat Sep 21 02:11:03 PDT 2019","","","3HMIGG0U4L6I0U9JUV13PAMT1FT8Y9","A224CWDR7XXF53","Approved","Wed Jul 31 05:15:10 PDT 2019","Wed Jul 31 05:15:15 PDT 2019","Sat Aug 03 05:15:15 PDT 2019","Sat Aug 03 05:16:07 PDT 2019","","","5","100% (642/642)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2343655_921276_supercat_ambiguous.png","man","person","false","false","","true","false","Yes","false","false","false","false"
"371QPA24C2O2LOSAV20NE0CQ2NDT1M","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Fri Jul 26 03:27:02 PDT 2019","3","BatchId:245947;OriginalHitTemplateId:921587254;","3600","259200","Sat Sep 21 02:11:03 PDT 2019","","","3Z4AIRP3C6DBPPZOQE6MRMSCL8I1XB","A91P6MTYV299S","Submitted","Wed Sep 11 10:24:37 PDT 2019","Wed Sep 11 10:25:05 PDT 2019","Sat Sep 14 10:25:05 PDT 2019","","","","28","100% (107/107)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2343655_921276_supercat_ambiguous.png","man","person","false","false","","true","false","Yes","false","false","false","false"
"3GV1I4SEO9P99XL2SZADN5TQGL86LV","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Fri Jul 26 03:30:47 PDT 2019","3","BatchId:245947;OriginalHitTemplateId:921587254;","3600","259200","Sun Aug 11 03:31:15 PDT 2019","","","3DBQWDE4Y6Y51DM3PVLPWAEVV5O5NE","A224CWDR7XXF53","Approved","Wed Jul 31 04:55:06 PDT 2019","Wed Jul 31 04:55:12 PDT 2019","Sat Aug 03 04:55:12 PDT 2019","Sat Aug 03 04:56:07 PDT 2019","","","6","100% (642/642)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2390965_1245423_supercat_unique.png","girl","woman","false","false","","true","false","Yes","false","false","false","false"
"3H1C3QRA01JKJ8KBL40CWAVG3AIEC8","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Fri Jul 26 03:30:47 PDT 2019","3","BatchId:245947;OriginalHitTemplateId:921587254;","3600","259200","Sat Sep 21 02:11:03 PDT 2019","","","3CN4LGXD5XOHHTMHISBQ8Y6OZTS4YT","A224CWDR7XXF53","Approved","Tue Jul 30 06:27:59 PDT 2019","Tue Jul 30 06:28:06 PDT 2019","Fri Aug 02 06:28:06 PDT 2019","Fri Aug 02 06:28:07 PDT 2019","","","7","100% (642/642)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2390965_1245423_supercat_unique.png","girl","plate","false","false","","false","false","No","false","true","false","false"
"3H1C3QRA01JKJ8KBL40CWAVG3AIEC8","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Fri Jul 26 03:30:47 PDT 2019","3","BatchId:245947;OriginalHitTemplateId:921587254;","3600","259200","Sat Sep 21 02:11:03 PDT 2019","","","3P529IW9KYL7FAC7JUIJ5U1JF9QLF9","A91P6MTYV299S","Submitted","Wed Sep 11 02:19:33 PDT 2019","Wed Sep 11 02:19:47 PDT 2019","Sat Sep 14 02:19:47 PDT 2019","","","","14","100% (107/107)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2390965_1245423_supercat_unique.png","girl","plate","false","false","clear mistake","false","false","No","false","true","false","false"
"3DA79LNS59VYVR6PI6E62TRN07RT3E","3X2H010HBRVGKM5X391N3JE4WH8R2E","Object name verification","Verify that the same object was named","name, object, image","$0.01","Fri Jul 26 03:27:07 PDT 2019","3","BatchId:245947;OriginalHitTemplateId:921587254;","3600","259200","Sat Sep 21 02:11:03 PDT 2019","","","39GHHAVOMFRRM4RIWSANYBR0MUDJ4I","A91P6MTYV299S","Submitted","Wed Sep 11 11:07:37 PDT 2019","Wed Sep 11 11:07:44 PDT 2019","Sat Sep 14 11:07:44 PDT 2019","","","","7","100% (107/107)","0% (0/0)","0% (0/0)","http://object-naming-amore.upf.edu//2318399_3417848_supercat_ambiguous.png","lady","person","false","false","","true","false","Yes","false","false","false","false"
