assignmentid,rating_mean,color_mean,n_annotations,correct1_count,correct1_sum,correct2_count,correct2_sum,correct3_count,correct3_sum,correct3_<lambda>,control_score,control_score-filtered,n_controls,n_correct,hitid,requesterannotation,control_score_mturk,workerid,errors_mturk,n_controls_mturk,n_correct_mturk,decision1,decision2,executed1,executed2,explanation,mistakes,n_mistakes
3CN4LGXD5XOBWCNMC8OUMZHRBWV4Y2,0.625,0.78125,32,8,6.0,5,5.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.8461538461538461,0.8461538461538461,13,11.0,302U8RURJZ1DS64UZ0B5QPN9IPGNV6,../1_pre-pilot/verification_round0_amt.csv_120,0.8461538461538461,worker49,"['2-0-alt1', '5-0-alt1']",13,11,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2410749_321620_singleton_obj.png - line: must be 'bounding box error'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2339709_950369_supercat_ambiguous.png - sign: must be 'bounding box error'; you said 'named object misinterpreted'""]",2
3Q5C1WP23M1W2PGJEO0VD4CV41115E,0.34375,0.34375,32,8,8.0,5,5.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,13,13.0,302U8RURJZ1DS64UZ0B5QPN9IPGNV6,../1_pre-pilot/verification_round0_amt.csv_120,1.0,worker4,[''],13,13,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3R6BYFZZP7CWUNU1RTYBUP79YEPFX6,0.46875,0.40625,32,8,7.0,5,5.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.9230769230769231,0.9230769230769231,13,12.0,302U8RURJZ1DS64UZ0B5QPN9IPGNV6,../1_pre-pilot/verification_round0_amt.csv_120,0.9230769230769231,worker12,['5-0-alt1'],13,12,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2410749_321620_singleton_obj.png - line: must be 'bounding box error'; you said 'named object misinterpreted'""]",1
3CP1TO84PT13RAYFXS09INM0W5B25O,0.3125,0.28125,32,8,5.0,6,6.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.7857142857142857,0.7857142857142857,14,11.0,304QEQWKZPKFHQ3QXINTKLXOE38O0U,../1_pre-pilot/verification_round0_amt.csv_153,0.7857142857142857,worker18,"['2-1-alt1', '3-0-rand1', '5-5-rand1']",14,11,approve,block,False,False,"good enough assignment, blocked because low average quality","[""http://object-naming-amore.upf.edu//2408238_1094139_singleton_obj.png - eraser: must be 'other'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2345651_906030_singleton_obj.png - flowers: must be 'bounding box error'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2353158_3104357_supercat_unique.png - firebox: must be 'other'; you said 'named object misinterpreted'""]",3
3RSDURM96AMTOEKF1E07VLTIOFUYEV,0.4375,0.3125,32,8,8.0,6,6.0,1,1.0,"[1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,15,15.0,304QEQWKZPKFHQ3QXINTKLXOE38O0U,../1_pre-pilot/verification_round0_amt.csv_153,1.0,worker40,[''],15,15,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3W92K5RLWUHCO1WHL2KKKSJBT5Q5VP,0.34375,-0.03125,32,8,8.0,6,6.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,14,14.0,304QEQWKZPKFHQ3QXINTKLXOE38O0U,../1_pre-pilot/verification_round0_amt.csv_153,1.0,worker4,[''],14,14,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
323Q6SJS8IGZ8XUMMPGPR3JFAHXHFS,0.625,0.8125,32,8,4.0,6,6.0,1,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.7333333333333333,0.7333333333333333,15,11.0,30F94FBDNRKWE5B8RF6HYCZU4FBBTE,../1_pre-pilot/verification_round0_amt.csv_65,0.7333333333333334,worker5,"['0-0-pos0', '3-4-rand1', '4-1-rand1', '5-3-rand1']",15,11,approve,block,False,False,"good enough assignment, blocked because low average quality","[""http://object-naming-amore.upf.edu//2385022_522886_seed_ambiguous.png - fuslage: must be 'other'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2414190_158143_singleton_obj.png - cords: must be 'other'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2374375_1984147_singleton_obj.png - aprons: must be 'other'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2343813_2220291_supercat_unique.png - curtain: must be vg_majority; you said 'bounding box error'""]",4
3LQ8PUHQFLSJIOWCNXMAU0W7Q9HHIB,0.4375,0.5,32,8,7.0,6,6.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.9285714285714286,0.9285714285714286,14,13.0,30F94FBDNRKWE5B8RF6HYCZU4FBBTE,../1_pre-pilot/verification_round0_amt.csv_65,0.9285714285714286,worker47,['5-3-rand1'],14,13,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2414190_158143_singleton_obj.png - cords: must be 'other'; you said 'bounding box error'""]",1
3ZV9H2YQQD7MPB9IXT1NRX45MIW3W2,0.625,0.375,32,8,8.0,6,6.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,14,14.0,30F94FBDNRKWE5B8RF6HYCZU4FBBTE,../1_pre-pilot/verification_round0_amt.csv_65,1.0,worker4,[''],14,14,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
39DD6S19JPBTT4UKX02Q9S2KU8PZEC,0.53125,0.53125,32,9,6.0,7,7.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.8125,0.8666666666666667,16,13.0,3126F2F5F83WTGULKPZNUA4II93EPC,../1_pre-pilot/verification_round0_amt.csv_77,0.8125,worker17,"['0-0-rand1', '1-0-alt0', '2-3-rand1']",16,13,approve,block,False,False,"good enough assignment, blocked because low average quality","[""http://object-naming-amore.upf.edu//2336427_960264_supercat_unique.png - whippy: must be 'other'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2379629_551624_singleton_obj.png - windshield: must be 'bounding box error'; you said 'adequate'"", ""http://object-naming-amore.upf.edu//2375468_1767490_singleton_obj.png - litgh: must be 'other'; you said 'named object misinterpreted'""]",3
