assignmentid,rating_mean,color_mean,n_annotations,correct1_count,correct1_sum,correct2_count,correct2_sum,correct3_count,correct3_sum,correct3_<lambda>,control_score,control_score-filtered,n_controls,n_correct,n_controls-filtered,hitid,requesterannotation,control_score_mturk,workerid,errors_mturk,n_controls_mturk,n_correct_mturk,decision1,decision2,executed1,executed2,explanation,mistakes,n_mistakes
3I0BTBYZAXLUXO5LT71SAWREV3CY0G,0.41935483870967744,0.16129032258064516,31,7,6.0,5,5.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.9166666666666666,0.9166666666666666,12,11.0,12,3ZXV7Q5FJBO555LDAVXNSSQBVXTCFG,../1_pre-pilot/verification_round0_amt.csv_587,0.9166666666666666,worker0,['4-1-alt1'],12,11,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//1591784_3797472_seed_ambiguous.png - man: must be 'bounding box error'; you said 'named object misinterpreted'""]",1
3DHE4R9OCWB177NZEOJ0MKDPN7O2GS,0.5161290322580645,0.41935483870967744,31,6,5.0,3,3.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.8888888888888888,0.8888888888888888,9,8.0,9,3DTJ4WT8BDFQ7KWR7YXPL86WSEAZEU,../1_pre-pilot/verification_round0_amt.csv_628,0.8888888888888888,worker0,['3-1-alt1'],9,8,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2371199_599153_singleton_obj.png - man: must be 'bounding box error'; you said 'named object misinterpreted'""]",1
3M0BCWMB8VWRS6DVCMGT9G2HBZ4BWB,0.6451612903225806,0.3870967741935484,31,10,9.0,7,7.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.9411764705882353,0.9411764705882353,17,16.0,17,372AGES0I45QBT1HSMT4NUP4Z2PXRT,../1_pre-pilot/verification_round0_amt.csv_454,0.9411764705882353,worker0,['1-0-rand1'],17,16,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2406678_291902_singleton_obj.png - cabdoor: must be 'other'; you said linguistic""]",1
378XPAWRUCD481OYHRCIDE93E65IA0,0.6774193548387096,0.8064516129032258,31,7,6.0,4,3.0,1,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.8333333333333334,0.9090909090909091,12,10.0,11,374UMBUHN5PFOA3E5F2C9W5CM5WCTH,../1_pre-pilot/verification_round0_amt.csv_428,0.8333333333333334,worker0,"['5-1-bold-cap0', '5-1-bold-cap1']",12,10,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2344531_915095_supercat_ambiguous.png - jacket: must be syn; you said 'adequate'"", ""http://object-naming-amore.upf.edu//2344531_915095_supercat_ambiguous.png - jacket: you erroneously gave this the same color as ['jacket']""]",2
3IUZPWIU1O7SL9HPIZTM8JL7YTFWKI,0.6129032258064516,0.3225806451612903,31,7,5.0,6,6.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.8461538461538461,0.8461538461538461,13,11.0,13,3G9UA71JVVUFYQCD24GXR4QPNTJ7JL,../1_pre-pilot/verification_round0_amt.csv_591,0.8461538461538461,worker0,"['3-2-rand1', '4-2-rand1']",13,11,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2416898_3177916_seed_ambiguous.png - unicorn: must be 'other'; you said 'bounding box error'"", ""http://object-naming-amore.upf.edu//2398787_422002_seed_ambiguous.png - unmpire: must be 'other'; you said 'named object misinterpreted'""]",2
3URFVVM165IAI0R6N0HVDAONHMFUZ1,0.6129032258064516,0.6451612903225806,31,8,7.0,7,5.0,1,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan]",0.8125,0.9285714285714286,16,13.0,14,37G6BXQPLQLHTSV0K2ECUFUSNBEQEG,../1_pre-pilot/verification_round0_amt.csv_540,0.8125,worker0,"['2-2-bold-wheel0', '2-2-bold-wheel1', '2-4-0-rand2']",16,13,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2402459_389385_supercat_ambiguous.png - bike: must be syn; you said 'adequate'"", ""http://object-naming-amore.upf.edu//2402459_389385_supercat_ambiguous.png - cobweb: you erroneously gave this the same color as ['cobweb', 'motorcycle', 'bike', 'vehicle']"", ""http://object-naming-amore.upf.edu//2402459_389385_supercat_ambiguous.png - bike: you erroneously gave this the same color as ['cobweb', 'motorcycle', 'bike', 'vehicle']""]",3
36U2A8VAG1ZWAECPX0BATG6N916YKA,0.4838709677419355,1.096774193548387,31,6,5.0,2,2.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.875,0.875,8,7.0,8,37VE3DA4YUH69WKDRLPSKTW6TR5HBB,../1_pre-pilot/verification_round0_amt.csv_533,0.875,worker0,['2-2-alt1'],8,7,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//526_1063782_singleton_obj.png - frame: must be 'bounding box error'; you said 'named object misinterpreted'""]",1
36DSNE9QZ5YP5G259S20QA88G40JOI,0.45161290322580644,0.3548387096774194,31,8,8.0,5,5.0,1,1.0,"[nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,14,14.0,14,38F60IALAGHVUI8YTZ9SEV3BDHG0TV,../1_pre-pilot/verification_round0_amt.csv_680,1.0,worker0,[''],14,14,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3I7DHKZYGN0NS4ARLNFG26GP60FF53,0.5161290322580645,0.4838709677419355,31,6,5.0,1,1.0,1,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.875,1.0,8,7.0,7,3PZDSVZ3J5HEYTLFF4AIHZNW5AWN4H,../1_pre-pilot/verification_round0_amt.csv_485,0.875,worker0,['2-0-alt1'],8,7,approve,bonus,False,False,"good enough assignment, bonus because very good assignment","[""http://object-naming-amore.upf.edu//2404440_342630_singleton_obj.png - man: must be 'bounding box error'; you said 'named object misinterpreted'""]",1
3RGU30DZTA815DHTWCNNY6J3L2KMJ1,0.45161290322580644,0.3548387096774194,31,7,7.0,5,5.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,12,12.0,12,39RRBHZ0AU179VID2OMZLCUIS81VZI,../1_pre-pilot/verification_round0_amt.csv_514,1.0,worker0,[''],12,12,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
