assignmentid,rating_mean,color_mean,correct1_count,correct1_sum,correct2_count,correct2_sum,correct3_count,correct3_sum,correct3_<lambda>,control_score,control_score-filtered,n_controls,n_correct,hitid,requesterannotation,control_score_mturk,workerid,errors_mturk,n_controls_mturk,n_correct_mturk,decision1,decision2,executed1,executed2,explanation,mistakes,n_mistakes
37U1UTWH9VM3ICY2AGMDVF4ZADB8RA,1.0588235294117647,1.7941176470588236,8,7.0,6,5.0,13,13.0,"[nan, nan, nan, 1.0, nan, 1.0, nan, nan, nan, nan, 1.0, 1.0, nan, 1.0, nan, nan, 1.0, 1.0, 1.0, nan, 1.0, nan, 1.0, nan, 1.0, nan, nan, nan, nan, nan, 1.0, nan, 1.0, nan]",0.9259259259259259,0.9230769230769231,27,25.0,338431Z1FLF3HKNPRV684HYBNRLRO5,../1_pre-pilot/verification_pilot_amt.csv_33,0.9259259259259259,worker18,['children1'],27,25,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2355060_833206_supercat_ambiguous.png - child - syn-kid,children: 0', ""http://object-naming-amore.upf.edu//2355060_833206_supercat_ambiguous.png - child - syn-kid,children: ['kid', 'child', 'boy']""]",2
384PI804XS1X12TCU193SA3DDHJ0S4,1.2352941176470589,1.5,7,4.0,6,6.0,10,10.0,"[nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, 1.0, nan, nan, 1.0, nan, nan, 1.0, 1.0, nan, nan, 1.0, nan, 1.0, nan, 1.0, nan, nan, nan, nan, nan, 1.0, nan, 1.0, nan]",0.8695652173913043,0.9090909090909091,23,20.0,338431Z1FLF3HKNPRV684HYBNRLRO5,../1_pre-pilot/verification_pilot_amt.csv_33,0.8695652173913043,worker9,"['0-2-alt1', '3-1-rand1', '4-5-rand1']",23,20,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2375246_2269180_seed_ambiguous.png - tied - random: visual', 'http://object-naming-amore.upf.edu//2331870_971185_singleton_obj.png - wall - alternative: visual', 'http://object-naming-amore.upf.edu//2355060_833206_supercat_ambiguous.png - bis - random: linguistic']",3
3LEP4MGT3G0SJ0D4VRB3HSDW3LLBDS,1.1176470588235294,1.5588235294117647,8,5.0,6,5.0,4,4.0,"[nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.7777777777777778,0.8235294117647058,18,14.0,338431Z1FLF3HKNPRV684HYBNRLRO5,../1_pre-pilot/verification_pilot_amt.csv_33,0.7777777777777778,worker10,"['0-2-alt1', '1-1-alt1', '1-5-pos0', '2-4-typo-t-shirt3']",18,14,approve,block,False,False,"good enough assignment, blocked because low average quality","['http://object-naming-amore.upf.edu//2361500_1682809_supercat_unique.png - dress - vg_majority: bounding box', 'http://object-naming-amore.upf.edu//2331870_971185_singleton_obj.png - wall - alternative: visual', 'http://object-naming-amore.upf.edu//2361500_1682809_supercat_unique.png - knees - alternative: visual', ""http://object-naming-amore.upf.edu//2317878_3397383_singleton_obj.png - t-shhirt - typo-t-shirt: ['t-shhirt']""]",4
3Z7ISHFUH0VCK3KTKXGQHI6YJUW8Z5,0.5294117647058824,1.2058823529411764,8,5.0,6,6.0,1,1.0,"[nan, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.8,0.8571428571428571,15,12.0,338431Z1FLF3HKNPRV684HYBNRLRO5,../1_pre-pilot/verification_pilot_amt.csv_33,0.8,worker12,"['0-2-alt1', '3-1-rand1', '4-5-rand1']",15,12,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2375246_2269180_seed_ambiguous.png - tied - random: linguistic', 'http://object-naming-amore.upf.edu//2331870_971185_singleton_obj.png - wall - alternative: linguistic', 'http://object-naming-amore.upf.edu//2355060_833206_supercat_ambiguous.png - bis - random: linguistic']",3
386CSBG1OZMG2X0E4M0F6BY38XF6QJ,1.2162162162162162,0.4594594594594595,12,10.0,7,6.0,5,4.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, 1.0, nan, nan, nan, nan, 1.0, 1.0, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.8333333333333334,0.9090909090909091,24,20.0,33CLA8O0MIB9B7AWSSNIHNPXVQURFJ,../1_pre-pilot/verification_pilot_amt.csv_19,0.8333333333333334,worker16,"['2-4-rand1', '3-3-2', '3-4-pos0', '4-1-0-rand2']",24,20,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2396724_1195691_singleton_obj.png - restaurant - vg_majority: visual', 'http://object-naming-amore.upf.edu//2411186_315568_singleton_obj.png - mouth - random: bounding box', ""http://object-naming-amore.upf.edu//2398331_426314_singleton_obj.png - brunch - random: ['cookie', 'ice cream sandwich', 'food', 'dessert', 'sandwich', 'brunch', 'icecream sandwhich']"", 'http://object-naming-amore.upf.edu//2396724_1195691_singleton_obj.png - building -  ~ building_bar']",4
3D4CH1LGEATC7R8YZXYFW7L3SHRG9Y,0.7837837837837838,0.3783783783783784,12,9.0,7,6.0,3,3.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, 1.0, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.8181818181818182,0.9,22,18.0,33CLA8O0MIB9B7AWSSNIHNPXVQURFJ,../1_pre-pilot/verification_pilot_amt.csv_19,0.8181818181818181,worker6,"['2-4-rand1', '4-1-rand1', '4-1-0-rand2', '4-6-pos0']",22,18,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2398331_426314_singleton_obj.png - cookie - vg_majority: visual', 'http://object-naming-amore.upf.edu//2411186_315568_singleton_obj.png - mouth - random: bounding box', 'http://object-naming-amore.upf.edu//2398331_426314_singleton_obj.png - brunch - random: visual', ""http://object-naming-amore.upf.edu//2398331_426314_singleton_obj.png - brunch - random: ['cookie', 'ice cream sandwich', 'food', 'dessert', 'sandwich', 'brunch', 'icecream sandwhich']""]",4
3Z4XG4ZF48RNF8KEJFS5KXQNBUV8X5,0.918918918918919,1.135135135135135,12,10.0,7,7.0,4,4.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, 1.0, 1.0, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.9130434782608695,0.9523809523809523,23,21.0,33CLA8O0MIB9B7AWSSNIHNPXVQURFJ,../1_pre-pilot/verification_pilot_amt.csv_19,0.9130434782608696,worker26,"['2-4-rand1', '4-6-pos0']",23,21,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2398331_426314_singleton_obj.png - cookie - vg_majority: other', 'http://object-naming-amore.upf.edu//2411186_315568_singleton_obj.png - mouth - random: bounding box']",2
3ZY8KE4ISJ31HNFF5U8NI3E2PVDVQG,0.6756756756756757,0.24324324324324326,12,10.0,7,6.0,4,4.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, 1.0, 1.0, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.8695652173913043,0.9523809523809523,23,20.0,33CLA8O0MIB9B7AWSSNIHNPXVQURFJ,../1_pre-pilot/verification_pilot_amt.csv_19,0.8695652173913043,worker15,"['2-4-rand1', '4-1-rand0', '4-1-0-rand2']",23,20,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2411186_315568_singleton_obj.png - mouth - random: bounding box', 'http://object-naming-amore.upf.edu//2398331_426314_singleton_obj.png - brunch - random: 0', ""http://object-naming-amore.upf.edu//2398331_426314_singleton_obj.png - brunch - random: ['cookie', 'ice cream sandwich', 'food', 'dessert', 'sandwich', 'brunch', 'icecream sandwhich']""]",3
3IGI0VL647KLO6TQOQUSJHPPOMANOQ,0.6486486486486487,2.1621621621621623,9,5.0,4,4.0,4,4.0,"[nan, 1.0, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.7647058823529411,0.7647058823529411,17,13.0,33KGGVH24UH2IO20USEPH37RVXWX1K,../1_pre-pilot/verification_pilot_amt.csv_20,0.7647058823529411,worker8,"['0-1-alt1', '3-0-alt1', '3-3-pos0', '4-2-alt0']",17,13,approve,,False,False,"failed assignment, but good enough average worker score","['http://object-naming-amore.upf.edu//2343601_921827_singleton_obj.png - fish - vg_majority: visual', 'http://object-naming-amore.upf.edu//2348515_881559_supercat_unique.png - view - alternative: 0', 'http://object-naming-amore.upf.edu//2353404_1746570_singleton_obj.png - leg - alternative: visual', 'http://object-naming-amore.upf.edu//2343601_921827_singleton_obj.png - placemat - alternative: visual']",4
3JNQLM5FT4MHTZ10PFGGZCIXINAL2E,0.8378378378378378,1.1891891891891893,9,9.0,4,4.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,13,13.0,33KGGVH24UH2IO20USEPH37RVXWX1K,../1_pre-pilot/verification_pilot_amt.csv_20,1.0,worker2,[''],13,13,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
