,index,image,object,name,correct1,correct2,correct3,image_url,control_type,rating,type,same_color,reliable1,reliable2,control_type_trimmed
0,0,1159441,1593550,diem,1.0,1.0,,http://object-naming-amore.upf.edu//1159441_1593550_singleton_obj.png,random,"[2, 2, 2, 2]","['other', 'other', 'other', 'other']","[['diem'], ['diem'], ['diem'], ['diem']]",True,True,random
1,1,1159441,1593550,girl,,,,http://object-naming-amore.upf.edu//1159441_1593550_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['person', 'woman', 'skier', 'snowboarder', 'girl', 'human'], ['person', 'woman', 'skier', 'snowboarder', 'girl', 'human'], ['woman', 'girl'], ['person', 'woman', 'skier', 'snowboarder', 'girl', 'human']]",False,False,
2,2,1159441,1593550,human,,,,http://object-naming-amore.upf.edu//1159441_1593550_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['person', 'woman', 'skier', 'snowboarder', 'girl', 'human'], ['person', 'woman', 'skier', 'snowboarder', 'girl', 'human'], ['person', 'human'], ['person', 'woman', 'skier', 'snowboarder', 'girl', 'human']]",False,False,
3,3,1159441,1593550,person,,,,http://object-naming-amore.upf.edu//1159441_1593550_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['person', 'woman', 'skier', 'snowboarder', 'girl', 'human'], ['person', 'woman', 'skier', 'snowboarder', 'girl', 'human'], ['person', 'human'], ['person', 'woman', 'skier', 'snowboarder', 'girl', 'human']]",False,False,
4,4,1159441,1593550,skier,,,,http://object-naming-amore.upf.edu//1159441_1593550_singleton_obj.png,,"[1, 1, 1, 0]","['linguistic', 'visual', 'visual', nan]","[['person', 'woman', 'skier', 'snowboarder', 'girl', 'human'], ['person', 'woman', 'skier', 'snowboarder', 'girl', 'human'], ['skier', 'snowboarder'], ['person', 'woman', 'skier', 'snowboarder', 'girl', 'human']]",False,False,
5,5,1159441,1593550,snowboarder,,,,http://object-naming-amore.upf.edu//1159441_1593550_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['person', 'woman', 'skier', 'snowboarder', 'girl', 'human'], ['person', 'woman', 'skier', 'snowboarder', 'girl', 'human'], ['skier', 'snowboarder'], ['person', 'woman', 'skier', 'snowboarder', 'girl', 'human']]",False,False,
6,6,1159441,1593550,woman,,,,http://object-naming-amore.upf.edu//1159441_1593550_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['person', 'woman', 'skier', 'snowboarder', 'girl', 'human'], ['person', 'woman', 'skier', 'snowboarder', 'girl', 'human'], ['woman', 'girl'], ['person', 'woman', 'skier', 'snowboarder', 'girl', 'human']]",False,False,
7,7,1592751,2786882,car,1.0,,,http://object-naming-amore.upf.edu//1592751_2786882_singleton_obj.png,vg_majority,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['car'], ['car'], ['car'], ['car']]",True,False,vg_majority
8,8,1592751,2786882,moe,1.0,1.0,,http://object-naming-amore.upf.edu//1592751_2786882_singleton_obj.png,random,"[2, 2, 2, 2]","['other', 'other', 'other', 'other']","[['moe'], ['moe'], ['moe'], ['moe']]",True,True,random
9,9,1592751,2786882,wheel,,,1.0,http://object-naming-amore.upf.edu//1592751_2786882_singleton_obj.png,,"[1, 1, 2, 2]","['bounding box', 'visual', 'bounding box', 'bounding box']","[['wheel'], ['wheel'], ['wheel'], ['wheel']]",False,False,
10,10,2044,1629170,chair,,,,http://object-naming-amore.upf.edu//2044_1629170_singleton_obj.png,,"[1, 1, 1, 2]","['bounding box', 'visual', 'bounding box', 'visual']","[['chair'], ['sofa', 'chair', 'couch'], ['sofa', 'chair'], ['sofa', 'chair', 'couch']]",False,False,
11,11,2044,1629170,couch,1.0,,,http://object-naming-amore.upf.edu//2044_1629170_singleton_obj.png,vg_majority,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['sofa', 'couch'], ['sofa', 'chair', 'couch'], ['couch'], ['sofa', 'chair', 'couch']]",True,False,vg_majority
12,12,2044,1629170,metal,0.75,1.0,,http://object-naming-amore.upf.edu//2044_1629170_singleton_obj.png,alternative,"[2, 2, 2, 2]","['other', 'visual', 'other', 'bounding box']","[['metal'], ['metal'], ['metal'], ['metal']]",True,True,alternative
13,13,2044,1629170,sofa,1.0,0.75,,http://object-naming-amore.upf.edu//2044_1629170_singleton_obj.png,syn-couch,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['sofa', 'couch'], ['sofa', 'chair', 'couch'], ['sofa', 'chair'], ['sofa', 'chair', 'couch']]",True,True,syn
14,14,2316022,2921754,armchair,,,,http://object-naming-amore.upf.edu//2316022_2921754_singleton_obj.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['armchair', 'couch', 'sofa', 'chair'], ['armchair', 'couch', 'sofa', 'chair'], ['armchair', 'capsule', 'couch', 'sofa', 'chair'], ['armchair', 'chair']]",False,False,
15,15,2316022,2921754,capsule,0.75,0.75,,http://object-naming-amore.upf.edu//2316022_2921754_singleton_obj.png,random,"[2, 2, 2, 2]","['other', 'other', 'visual', 'other']","[['capsule'], ['capsule'], ['armchair', 'capsule', 'couch', 'sofa', 'chair'], ['capsule']]",True,True,random
16,16,2316022,2921754,chair,,,,http://object-naming-amore.upf.edu//2316022_2921754_singleton_obj.png,,"[0, 1, 0, 0]","[nan, 'visual', nan, nan]","[['armchair', 'couch', 'sofa', 'chair'], ['armchair', 'couch', 'sofa', 'chair'], ['armchair', 'capsule', 'couch', 'sofa', 'chair'], ['armchair', 'chair']]",False,False,
17,17,2316022,2921754,couch,1.0,1.0,,http://object-naming-amore.upf.edu//2316022_2921754_singleton_obj.png,syn-sofa,"[1, 0, 0, 0]","['visual', nan, nan, nan]","[['armchair', 'couch', 'sofa', 'chair'], ['armchair', 'couch', 'sofa', 'chair'], ['armchair', 'capsule', 'couch', 'sofa', 'chair'], ['couch', 'sofa']]",True,True,syn
18,18,2316022,2921754,sofa,,,,http://object-naming-amore.upf.edu//2316022_2921754_singleton_obj.png,,"[1, 0, 0, 0]","['visual', nan, nan, nan]","[['armchair', 'couch', 'sofa', 'chair'], ['armchair', 'couch', 'sofa', 'chair'], ['armchair', 'capsule', 'couch', 'sofa', 'chair'], ['couch', 'sofa']]",False,False,
19,19,2316735,3170310,bird,,,,http://object-naming-amore.upf.edu//2316735_3170310_supercat_ambiguous.png,,"[0, 2, 0, 0]","[nan, 'visual', nan, nan]","[['chicken', 'bird'], ['cookie jar', 'jar', 'chicken', 'canister', 'bird', 'container', 'toy', 'pot', 'tea pot'], ['bird'], ['cookie jar', 'jar', 'chicken', 'canister', 'bird', 'container', 'toy', 'pot', 'tea pot']]",False,False,
20,20,2316735,3170310,canister,,,,http://object-naming-amore.upf.edu//2316735_3170310_supercat_ambiguous.png,,"[0, 1, 1, 0]","[nan, 'visual', 'visual', nan]","[['cookie jar', 'jar', 'canister', 'container'], ['cookie jar', 'jar', 'chicken', 'canister', 'bird', 'container', 'toy', 'pot', 'tea pot'], ['cookie jar', 'jar', 'canister', 'container'], ['cookie jar', 'jar', 'chicken', 'canister', 'bird', 'container', 'toy', 'pot', 'tea pot']]",False,False,
21,21,2316735,3170310,chicken,,,,http://object-naming-amore.upf.edu//2316735_3170310_supercat_ambiguous.png,,"[0, 2, 0, 0]","[nan, 'visual', nan, nan]","[['chicken', 'bird'], ['cookie jar', 'jar', 'chicken', 'canister', 'bird', 'container', 'toy', 'pot', 'tea pot'], ['chicken'], ['cookie jar', 'jar', 'chicken', 'canister', 'bird', 'container', 'toy', 'pot', 'tea pot']]",False,False,
22,22,2316735,3170310,container,,,,http://object-naming-amore.upf.edu//2316735_3170310_supercat_ambiguous.png,,"[0, 1, 0, 0]","[nan, 'visual', nan, nan]","[['cookie jar', 'jar', 'canister', 'container'], ['cookie jar', 'jar', 'chicken', 'canister', 'bird', 'container', 'toy', 'pot', 'tea pot'], ['cookie jar', 'jar', 'canister', 'container'], ['cookie jar', 'jar', 'chicken', 'canister', 'bird', 'container', 'toy', 'pot', 'tea pot']]",False,False,
23,23,2316735,3170310,cookie jar,,,,http://object-naming-amore.upf.edu//2316735_3170310_supercat_ambiguous.png,,"[0, 1, 0, 1]","[nan, 'visual', nan, 'visual']","[['cookie jar', 'jar', 'canister', 'container'], ['cookie jar', 'jar', 'chicken', 'canister', 'bird', 'container', 'toy', 'pot', 'tea pot'], ['cookie jar', 'jar', 'canister', 'container'], ['cookie jar', 'jar', 'chicken', 'canister', 'bird', 'container', 'toy', 'pot', 'tea pot']]",False,False,
24,24,2316735,3170310,jar,,,,http://object-naming-amore.upf.edu//2316735_3170310_supercat_ambiguous.png,,"[0, 1, 0, 0]","[nan, 'visual', nan, nan]","[['cookie jar', 'jar', 'canister', 'container'], ['cookie jar', 'jar', 'chicken', 'canister', 'bird', 'container', 'toy', 'pot', 'tea pot'], ['cookie jar', 'jar', 'canister', 'container'], ['cookie jar', 'jar', 'chicken', 'canister', 'bird', 'container', 'toy', 'pot', 'tea pot']]",False,False,
25,25,2316735,3170310,pot,,,,http://object-naming-amore.upf.edu//2316735_3170310_supercat_ambiguous.png,,"[0, 0, 0, 0]","[nan, nan, nan, nan]","[['pot', 'tea pot'], ['cookie jar', 'jar', 'chicken', 'canister', 'bird', 'container', 'toy', 'pot', 'tea pot'], ['pot', 'tea pot'], ['cookie jar', 'jar', 'chicken', 'canister', 'bird', 'container', 'toy', 'pot', 'tea pot']]",False,False,
26,26,2316735,3170310,strips,0.75,,,http://object-naming-amore.upf.edu//2316735_3170310_supercat_ambiguous.png,alternative,"[2, 2, 2, 2]","['other', 'other', 'other', 'visual']","[['strips'], ['strips'], ['strips'], ['strips']]",True,False,alternative
