assignmentid,rating_mean,color_mean,n_controls,control_score,control_score_mturk,workerid,decision1,decision2,executed1,executed2,mistakes,n_mistakes
32SCWG5HIH4V2LZZ49LQ668T13XP6H,0.6666666666666666,0.6944444444444444,10,0.8,0.5333333333333333,A2FV2CDX9IG91V,approve,,True,True,"['http://object-naming-amore.upf.edu//2380119_1350337_singleton_obj.png - pizza: bounding box', ""http://object-naming-amore.upf.edu//2409288_244965_singleton_obj.png - bjilding: ['car', 'motorcycle', 'bjilding', 'bike']""]",2
34YB12FSQYOREBRSO62K1TRNP3QGMW,0.4305555555555556,1.5833333333333333,15,0.9333333333333333,0.8,AZLZA0Q87TJZO,approve,,True,True,['http://object-naming-amore.upf.edu//2347527_3052675_supercat_unique.png - giraffe: bounding box'],1
3ATPCQ38J8AQY133L9YLZ23R0JYAYD,0.7638888888888888,1.2777777777777777,15,1.0,0.75,A1H1TKK54YG94Q,approve,bonus,True,True,[],0
3CCZ6YKWR7JERUJEI1FOSAUE04295O,0.5138888888888888,0.9166666666666666,15,0.8,0.55,A2FV2CDX9IG91V,approve,,True,True,"['http://object-naming-amore.upf.edu//2387333_1276884_singleton_obj.png - boy: visual', 'http://object-naming-amore.upf.edu//107996_1073842_supercat_unique.png - shirt: visual', 'http://object-naming-amore.upf.edu//2347527_3052675_supercat_unique.png - giraffe: bounding box']",3
3COPXFW7XBC210KO6DFRGPDB1QZPKN,0.7638888888888888,0.9166666666666666,10,0.9,0.4666666666666667,A3NI1W4JCNFBJ7,approve,,True,True,['http://object-naming-amore.upf.edu//2364992_758248_supercat_ambiguous.png - basket: 1.0'],1
3CTOC39K37QIKAA6S6LYFOMDNAWJ7L,0.7432432432432432,0.1891891891891892,14,1.0,0.7777777777777778,A2HX1MQAFJZ6KK,approve,bonus,True,True,[],0
3DR23U6WE5EX7SLLR8D8N41370YTEV,1.0,1.0,15,0.4666666666666667,0.5,A38IPIPA3T3G4,reject,block,True,True,"['http://object-naming-amore.upf.edu//2352294_3783929_supercat_unique.png - balzer: 1.0', 'http://object-naming-amore.upf.edu//2318417_3392338_supercat_unique.png - baer cub: 1.0', 'http://object-naming-amore.upf.edu//2352294_3783929_supercat_unique.png - jzcket: 1.0', ""http://object-naming-amore.upf.edu//107996_1073842_supercat_unique.png - table: ['table', 'shirt', 'watch', 'sweater']"", ""http://object-naming-amore.upf.edu//2347527_3052675_supercat_unique.png - coolots: ['cow', 'coolots', 'giraffe', 'tongue']"", ""http://object-naming-amore.upf.edu//2387333_1276884_singleton_obj.png - home: ['t-shirt', 'child', 'bat', 'boy', 'home', 'shirt']"", ""http://object-naming-amore.upf.edu//2318417_3392338_supercat_unique.png - bold: ['baer cub', 'puppy', 'bear cub', 'animal', 'bear', 'cub', 'watch', 'dog', 'bold']"", ""http://object-naming-amore.upf.edu//2349149_1903388_singleton_obj.png - whisker: ['kitten', 'cat', 'whisker']""]",8
3E47SOBEYQWS1GLW1589J9ZRB6ZIC2,0.6666666666666666,0.8333333333333334,11,1.0,0.8125,A2HX1MQAFJZ6KK,approve,bonus,True,True,[],0
3G5F9DBFOPXO4UGCM4LT9PM1W1PVHC,0.8611111111111112,-0.05555555555555555,12,0.6666666666666666,0.6666666666666667,A3UF6XXFFRR237,reject,block,True,True,"['http://object-naming-amore.upf.edu//2375404_3065688_seed_ambiguous.png - sprinkle: visual', 'http://object-naming-amore.upf.edu//782_1059153_singleton_obj.png - houe: 1.0', ""http://object-naming-amore.upf.edu//2375404_3065688_seed_ambiguous.png - sprinkle: ['bread', 'sandwich', 'food', 'sprinkle', 'cake', 'bun']"", ""http://object-naming-amore.upf.edu//2360995_784762_singleton_obj.png - plant: ['boy', 'plant', 'person', 'shirt']""]",4
3IHR8NYAM71HNYVLLLSB98OF44A4PD,0.8378378378378378,0.972972972972973,14,1.0,0.7777777777777778,A1VIY1ZWBO3NVL,approve,bonus,True,True,[],0
