,hitid,assignmentid,workerid,image,object,name,rating,type,color,image_url,same_color,control_type,correct1,correct2
0,3XBYQ44Z6P4O289JM62DLQCFD1DWT4,3J2UYBXQQLCSE4VFNO60R57LTTX06T,A1B68E1R8PO9SS,2319991,996919,teddy,0.5,visual,2,http://object-naming-amore.upf.edu//2319991_996919_supercat_unique.png,"['teddy', 'teddy bear']",,,
1,3XBYQ44Z6P4O289JM62DLQCFD1DWT4,3J2UYBXQQLCSE4VFNO60R57LTTX06T,A1B68E1R8PO9SS,2319991,996919,baer,0.5,visual,0,http://object-naming-amore.upf.edu//2319991_996919_supercat_unique.png,"['baer', 'cat', 'bear', 'spools']",typo-bear,,1.0
2,3XBYQ44Z6P4O289JM62DLQCFD1DWT4,3J2UYBXQQLCSE4VFNO60R57LTTX06T,A1B68E1R8PO9SS,2345735,905140,sandwich,1.0,,8,http://object-naming-amore.upf.edu//2345735_905140_supercat_unique.png,"['sandwich', 'bun', 'sandich', 'meal', 'food']",,,
3,3XBYQ44Z6P4O289JM62DLQCFD1DWT4,3J2UYBXQQLCSE4VFNO60R57LTTX06T,A1B68E1R8PO9SS,2319991,996919,cat,0.0,visual,0,http://object-naming-amore.upf.edu//2319991_996919_supercat_unique.png,"['baer', 'cat', 'bear', 'spools']",,,
4,3XBYQ44Z6P4O289JM62DLQCFD1DWT4,3J2UYBXQQLCSE4VFNO60R57LTTX06T,A1B68E1R8PO9SS,2345735,905140,bun,0.5,bounding box,8,http://object-naming-amore.upf.edu//2345735_905140_supercat_unique.png,"['sandwich', 'bun', 'sandich', 'meal', 'food']",,,
5,3XBYQ44Z6P4O289JM62DLQCFD1DWT4,3J2UYBXQQLCSE4VFNO60R57LTTX06T,A1B68E1R8PO9SS,2319991,996919,bear,0.5,visual,0,http://object-naming-amore.upf.edu//2319991_996919_supercat_unique.png,"['baer', 'cat', 'bear', 'spools']",,,
6,3XBYQ44Z6P4O289JM62DLQCFD1DWT4,3J2UYBXQQLCSE4VFNO60R57LTTX06T,A1B68E1R8PO9SS,2345735,905140,sandich,1.0,,8,http://object-naming-amore.upf.edu//2345735_905140_supercat_unique.png,"['sandwich', 'bun', 'sandich', 'meal', 'food']",typo-sandwich,,1.0
7,3XBYQ44Z6P4O289JM62DLQCFD1DWT4,3J2UYBXQQLCSE4VFNO60R57LTTX06T,A1B68E1R8PO9SS,2319991,996919,toy,1.0,,9,http://object-naming-amore.upf.edu//2319991_996919_supercat_unique.png,"['toy', 'dog', 'stuffed animal']",,,
8,3XBYQ44Z6P4O289JM62DLQCFD1DWT4,3J2UYBXQQLCSE4VFNO60R57LTTX06T,A1B68E1R8PO9SS,2345735,905140,meal,1.0,,8,http://object-naming-amore.upf.edu//2345735_905140_supercat_unique.png,"['sandwich', 'bun', 'sandich', 'meal', 'food']",,,
9,3XBYQ44Z6P4O289JM62DLQCFD1DWT4,3J2UYBXQQLCSE4VFNO60R57LTTX06T,A1B68E1R8PO9SS,2375404,3065688,bread,0.0,linguistic,1,http://object-naming-amore.upf.edu//2375404_3065688_seed_ambiguous.png,"['bread', 'bun']",vg_majority,0.0,
10,3XBYQ44Z6P4O289JM62DLQCFD1DWT4,3J2UYBXQQLCSE4VFNO60R57LTTX06T,A1B68E1R8PO9SS,2319991,996919,spools,0.0,visual,0,http://object-naming-amore.upf.edu//2319991_996919_supercat_unique.png,"['baer', 'cat', 'bear', 'spools']",random,,
