assignmentid,rating_mean,color_mean,n_annotations,correct1_count,correct1_sum,correct2_count,correct2_sum,correct3_count,correct3_sum,correct3_<lambda>,control_score,control_score-filtered,n_controls,n_correct,n_controls-filtered,hitid,requesterannotation,control_score_mturk,workerid,errors_mturk,n_controls_mturk,n_correct_mturk,decision1,decision2,executed1,executed2,explanation,mistakes,n_mistakes
3IGI0VL647KLO6TQOQUSJHPPQEGONJ,0.4074074074074074,0.1111111111111111,27,9,9.0,4,4.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,13,13.0,13,3DW3BNF1GHISPZHQTYMM8SXETEHV8U,../1_crowdsourced/to_be_redone_amt.csv_223___../1_pre-pilot/verification_round1_amt.csv_24,1.0,worker0,[''],13,13,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
33OOO72IVHLIAU17VH7DXG10QIITCR,0.5925925925925926,0.2962962962962963,27,14,14.0,8,8.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,22,22.0,22,3W9XHF7WGKVX78F2XSJAXFIKRTWKTN,../1_crowdsourced/to_be_redone_amt.csv_249___../1_pre-pilot/verification_round1_amt.csv_76,1.0,worker0,[''],22,22,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3ZPBJO59KP12ADGQVJLZ33GU0OYDH0,0.4838709677419355,0.1935483870967742,31,9,8.0,6,5.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.8666666666666667,0.8666666666666667,15,13.0,15,3VIVIU06FKC2OIZUOSXMYL8F5H7IM5,../1_crowdsourced/to_be_redone_amt.csv_118___../1_pre-pilot/verification_round0_amt.csv_361,0.8666666666666667,worker0,"['4-2-alt1', '5-7-0-rand2']",15,13,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//150386_1074748_singleton_obj.png - boots: must be 'bounding box error'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2317916_3104087_supercat_unique.png - banjo: you erroneously gave this the same color as ['banjo', 'child', 'baby', 'toddler', 'boy', 'kid', 'girl']""]",2
3RSDURM96AMTOEKF1E07VLTIQWDEYU,0.6666666666666666,0.5185185185185185,27,11,11.0,7,7.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,18,18.0,18,3F6045TU7DOU6XNXVPN4G63SMSI99J,../1_crowdsourced/to_be_redone_amt.csv_250___../1_pre-pilot/verification_round1_amt.csv_77,1.0,worker0,[''],18,18,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3AMYWKA6YBMDHLNYP98BH633VORO69,0.43333333333333335,0.4,30,16,15.0,9,9.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.96,0.96,25,24.0,25,3P7QK0GJ3TLYC4KBEE2OJ7X7VPWZ2W,../1_crowdsourced/to_be_redone_amt.csv_262___../1_pre-pilot/verification_round2_amt.csv_1035,0.96,worker0,['6-2-typo-person0'],25,24,approve,bonus,False,False,"good enough assignment, bonus because very good assignment","[""http://object-naming-amore.upf.edu//2410056_648077_singleton_obj.png - persoon: must be 'linguistic'; you said 'adequate'""]",1
36W0OB37HWE5DELMN1AWUVZXO6AZHN,0.46875,0.25,32,10,8.0,7,6.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.8235294117647058,0.8235294117647058,17,14.0,17,3KG2UQJ0MJOLNY8DD1HVK2O11HUNQ9,../1_crowdsourced/to_be_redone_amt.csv_78___../1_pre-pilot/verification_round0_amt.csv_24,0.8235294117647058,worker0,"['1-2-alt0', '5-0-bold-sideboard0', '5-0-bold-sideboard1']",17,14,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2344922_911966_supercat_unique.png - print: must be 'bounding box error'; you said 'adequate'"", ""http://object-naming-amore.upf.edu//2336897_2324420_seed_ambiguous.png - buffet: must be syn; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2336897_2324420_seed_ambiguous.png - buffet: you erroneously gave this the same color as ['buffet']""]",3
36U2A8VAG1ZWAECPX0BATG6NAT9KYK,0.5714285714285714,0.6428571428571429,28,12,12.0,7,7.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,19,19.0,19,3P7RGTLO6EDSSCGTRSST2ASS34BAKS,../1_crowdsourced/to_be_redone_amt.csv_229___../1_pre-pilot/verification_round1_amt.csv_280,1.0,worker0,[''],19,19,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3TOK3KHVJTIWLL138JD3NK3ZQZB7OR,0.625,0.1875,32,8,7.0,5,4.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.8461538461538461,0.8461538461538461,13,11.0,13,3DWGDA5POF4AEZX5UDD7TIA6F811V6,../1_crowdsourced/to_be_redone_amt.csv_2___../1_pre-pilot/verification_round0_amt.csv_102,0.8461538461538461,worker0,['kid1'],13,11,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2380488_1346049_supercat_ambiguous.png - children: must be syn; you said 'bounding box error'"", ""http://object-naming-amore.upf.edu//2380488_1346049_supercat_ambiguous.png - children: you erroneously gave this the same color as ['kids', 'children']""]",2
3WMINLGALB3DVY2YPHGW2BB82TZACP,0.5185185185185185,0.6666666666666666,27,12,12.0,7,7.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,19,19.0,19,375VMB7D4JJZKOTHBZYJFVLLW3JIDR,../1_crowdsourced/to_be_redone_amt.csv_246___../1_pre-pilot/verification_round1_amt.csv_68,1.0,worker0,[''],19,19,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3TEM0PF1Q5XRZDAUXBEEXBHDE7XD0Z,0.5,0.36666666666666664,30,11,11.0,6,6.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,17,17.0,17,335VBRURDJ0B1TEE303Q8K43DPY9ET,../1_crowdsourced/to_be_redone_amt.csv_273___../1_pre-pilot/verification_round2_amt.csv_1124,1.0,worker0,[''],17,17,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
