items,quality_control,source,assignments
"[['http://object-naming-amore.upf.edu//2354197_2289541_seed_ambiguous.png', ['person', 'icing', 'woman', 'girl']], ['http://object-naming-amore.upf.edu//2411147_1082261_seed_ambiguous.png', ['bike', 'mtorcycle', 'motorbike', 'motorcycle']], ['http://object-naming-amore.upf.edu//2353869_3576281_supercat_ambiguous.png', ['train car', 'car', 'train', 'display']], ['http://object-naming-amore.upf.edu//2366520_2340754_seed_ambiguous.png', ['futon', 'couch', 'cuoch', 'dog', 'sofa']], ['http://object-naming-amore.upf.edu//2333175_3318694_singleton_obj.png', ['juice', 'cup', 'beer', 'fork', 'drink', 'glass']], ['http://object-naming-amore.upf.edu//2354127_3574820_supercat_unique.png', ['pan', 'door', 'counter', 'cookie sheet', 'cake', 'table', 'food', 'desserts', 'tray']]]","['7b226963696e67223a20227365726966227d', '7b226d746f726379636c65223a202273616e732d6d6f746f726379636c65222c20226d6f746f7262696b65223a2022626f6c642d6d6f746f726379636c65227d', '7b22646973706c6179223a20227365726966227d', '7b2263756f6368223a202273616e732d636f756368222c2022636f756368223a2022626f6c642d736f6661227d', '7b22666f726b223a20227365726966227d', '7b22646f6f72223a20227365726966227d']",../1_crowdsourced/to_be_redone_amt.csv_0___../1_pre-pilot/verification_round0_amt.csv_10,1
"[['http://object-naming-amore.upf.edu//2369077_2471567_seed_ambiguous.png', ['aifplane', 'airplane', 'plane']], ['http://object-naming-amore.upf.edu//2390496_496725_supercat_unique.png', ['bowl', 'cup', 'bottom', 'dish']], ['http://object-naming-amore.upf.edu//2353669_2914442_singleton_obj.png', ['girl', 'man', 'peerson', 'class', 'person']], ['http://object-naming-amore.upf.edu//2407524_278095_singleton_obj.png', ['surfer', 'lady', 'tub', 'person', 'woman']], ['http://object-naming-amore.upf.edu//2383655_1318694_supercat_unique.png', ['background', 'shirt', 'robe', 'clothing', 'dress', 'blouse']], ['http://object-naming-amore.upf.edu//2405249_1109491_singleton_obj.png', ['child', 'toddler', 'foamy', 'girl', 'baby', 'dress', 'kid', 'boy']]]","['7b22616966706c616e65223a202273616e732d616972706c616e65222c2022616972706c616e65223a2022626f6c642d706c616e65227d', '7b22626f74746f6d223a20227365726966227d', '7b2270656572736f6e223a202273616e732d706572736f6e227d', '7b22747562223a2022636f7572696572227d', '7b226261636b67726f756e64223a20227365726966222c2022726f6265223a2022626f6c642d636c6f7468696e67227d', '7b22666f616d79223a2022636f7572696572222c202262616279223a2022626f6c642d6368696c64227d']",../1_crowdsourced/to_be_redone_amt.csv_100___../1_pre-pilot/verification_round0_amt.csv_298,2
"[['http://object-naming-amore.upf.edu//2404414_1115876_singleton_obj.png', ['car', 'train', 'item']], ['http://object-naming-amore.upf.edu//2403576_657065_singleton_obj.png', ['airplane', 'plane', 'camille', 'jet']], ['http://object-naming-amore.upf.edu//2350479_3361673_singleton_obj.png', ['suit jacket', 'jacket', 'coat', 'suit', 'splats']], ['http://object-naming-amore.upf.edu//2338181_3184353_singleton_obj.png', ['shower door', 'door', 'furnace', 'cabinet', 'shower']], ['http://object-naming-amore.upf.edu//2398467_425138_singleton_obj.png', ['truck', 'vehicle', 'car', 'vest', 'suv', 'automobile']], ['http://object-naming-amore.upf.edu//2363544_1902594_singleton_obj.png', ['leg', 'tennis player', 'player', 'person', 't-shirt', 'shoe', 'man', 'boy']]]","['7b226974656d223a20227365726966227d', '7b2263616d696c6c65223a2022636f7572696572222c2022616972706c616e65223a2022626f6c642d706c616e65227d', '7b2273706c617473223a2022636f7572696572227d', '7b226675726e616365223a2022636f7572696572227d', '7b2276657374223a20227365726966222c20226175746f6d6f62696c65223a2022626f6c642d636172227d', '7b226c6567223a20227365726966227d']",../1_crowdsourced/to_be_redone_amt.csv_101___../1_pre-pilot/verification_round0_amt.csv_299,2
"[['http://object-naming-amore.upf.edu//713874_1589807_supercat_unique.png', ['stadium', 'man', 'guy']], ['http://object-naming-amore.upf.edu//2338701_953359_singleton_obj.png', ['bjilding', 'pole', 'building', 'house']], ['http://object-naming-amore.upf.edu//1160104_1601634_supercat_unique.png', ['shirt', 'jackket', 'vest', 'jacket', 'man']], ['http://object-naming-amore.upf.edu//2337522_2569456_supercat_unique.png', ['t-shirt', 'tile', 'man', 'person', 'guy']], ['http://object-naming-amore.upf.edu//2379578_551924_supercat_ambiguous.png', ['train cab', 'locomotive', 'building', 'train', 'car', 'train engine']], ['http://object-naming-amore.upf.edu//2337938_2066702_singleton_obj.png', ['batter', 'person', 'shoe', 'man', 'bat', 'shirt', 'player', 'boy']]]","['7b227374616469756d223a20227365726966227d', '7b22626a696c64696e67223a202273616e732d6275696c64696e67227d', '7b226a61636b6b6574223a202273616e732d6a61636b6574227d', '7b2274696c65223a20227365726966227d', '7b226275696c64696e67223a20227365726966227d', '7b22626174223a20227365726966227d']",../1_crowdsourced/to_be_redone_amt.csv_102___../1_pre-pilot/verification_round0_amt.csv_301,2
"[['http://object-naming-amore.upf.edu//2362036_2087435_seed_ambiguous.png', ['seagull', 'boat', 'bird']], ['http://object-naming-amore.upf.edu//2365662_3065363_singleton_obj.png', ['airplane', 'aircraft', 'gau', 'plane']], ['http://object-naming-amore.upf.edu//2384204_692434_singleton_obj.png', ['plane', 'picking', 'aircraft', 'airplane', 'jet']], ['http://object-naming-amore.upf.edu//2342252_2254276_supercat_unique.png', ['hotdog', 'sandwich', 'htdog', 'paper', 'food']], ['http://object-naming-amore.upf.edu//2362010_2680838_singleton_obj.png', ['man', 'boy', 'skateboarder', 'perxon', 'skater', 'person']], ['http://object-naming-amore.upf.edu//2392753_1226195_singleton_obj.png', ['glass', 'glasses', 'print', 'shelf', 'counter', 'countertop', 'bar', 'table']]]","['7b22626f6174223a20227365726966227d', '7b22676175223a2022636f7572696572222c2022706c616e65223a2022626f6c642d616972706c616e65227d', '7b227069636b696e67223a2022636f7572696572222c2022616972706c616e65223a2022626f6c642d706c616e65227d', '7b226874646f67223a202273616e732d686f74646f67227d', '7b22706572786f6e223a202273616e732d706572736f6e227d', '7b227072696e74223a20227365726966222c2022676c617373223a2022626f6c642d676c6173736573227d']",../1_crowdsourced/to_be_redone_amt.csv_103___../1_pre-pilot/verification_round0_amt.csv_309,2
"[['http://object-naming-amore.upf.edu//2398068_1183181_supercat_unique.png', ['bun', 'bread', 'food', 'zucchini']], ['http://object-naming-amore.upf.edu//2383159_1323327_supercat_unique.png', ['meal', 'selfies', 'bowls', 'food']], ['http://object-naming-amore.upf.edu//2334999_963966_singleton_obj.png', ['airplane', 'jet', 'ariplane', 'plane']], ['http://object-naming-amore.upf.edu//2373479_732185_supercat_unique.png', ['woman', 'person', 'female', 'lady', 'lap top', 'lap tp']], ['http://object-naming-amore.upf.edu//2346095_1042562_supercat_ambiguous.png', ['food', 'pineapple', 'cheese', 'shirt', 'toppings', 'pizza']], ['http://object-naming-amore.upf.edu//2366606_627219_supercat_ambiguous.png', ['toy', 'boy', 't-shirt', 'child', 'toddlre', 'shirt', 'toddler', 'kid']]]","['7b227a75636368696e69223a20227365726966227d', '7b2273656c66696573223a2022636f7572696572227d', '7b22617269706c616e65223a202273616e732d616972706c616e65222c2022616972706c616e65223a2022626f6c642d706c616e65227d', '7b226c6170207470223a202273616e732d6c617020746f70227d', '7b227368697274223a20227365726966227d', '7b22746f64646c7265223a202273616e732d746f64646c6572222c20226b6964223a2022626f6c642d6368696c64227d']",../1_crowdsourced/to_be_redone_amt.csv_104___../1_pre-pilot/verification_round0_amt.csv_31,2
"[['http://object-naming-amore.upf.edu//2341914_938854_singleton_obj.png', ['plane', 'airplane', 'wing']], ['http://object-naming-amore.upf.edu//2336041_2609534_singleton_obj.png', ['plane', 'leaf', 'wheel', 'airplane']], ['http://object-naming-amore.upf.edu//2381756_1334263_singleton_obj.png', ['food', 'toppings', 'crust', 'pizza', 'sauce']], ['http://object-naming-amore.upf.edu//2363302_766194_supercat_unique.png', ['baer statue', 'bear', 'statue', 'chair', 'bear statue']], ['http://object-naming-amore.upf.edu//2410338_220174_singleton_obj.png', ['counter', 'battub', 'cat', 'bath', 'tub', 'bathtub']], ['http://object-naming-amore.upf.edu//2364308_3739695_singleton_obj.png', ['shoe', 'man', 'persno', 'person', 'boy', 'skateboarder', 'pant', 'skater']]]","['7b2277696e67223a20227365726966222c2022706c616e65223a2022626f6c642d616972706c616e65227d', '7b226c656166223a20227365726966222c2022706c616e65223a2022626f6c642d616972706c616e65227d', '7b226372757374223a20227365726966227d', '7b226261657220737461747565223a202273616e732d6265617220737461747565227d', '7b22626174747562223a202273616e732d62617468747562222c2022747562223a2022626f6c642d626174687475622c62617468227d', '7b22706572736e6f223a202273616e732d706572736f6e227d']",../1_crowdsourced/to_be_redone_amt.csv_105___../1_pre-pilot/verification_round0_amt.csv_313,1
"[['http://object-naming-amore.upf.edu//2383877_693437_singleton_obj.png', ['airplane', 'plane', 'runway']], ['http://object-naming-amore.upf.edu//2372326_1715897_singleton_obj.png', ['person', 'letters', 'woman', 'skier']], ['http://object-naming-amore.upf.edu//2340076_2746646_singleton_obj.png', ['basin', 'sink', 'counter', 'sufuria', 'countertop']], ['http://object-naming-amore.upf.edu//2408435_261856_singleton_obj.png', ['girl', 'lady', 'woman', 'wall', 'tennis player']], ['http://object-naming-amore.upf.edu//2362938_1832479_singleton_obj.png', ['boy', 'person', 'pole', 'man', 'skateboarder', 'skater']], ['http://object-naming-amore.upf.edu//2413725_167540_seed_ambiguous.png', ['guy', 'person', 'player', 'man', 'boy', 'frisbee player', 'child', 'nut']]]","['7b2272756e776179223a20227365726966222c2022616972706c616e65223a2022626f6c642d706c616e65227d', '7b226c657474657273223a20227365726966227d', '7b2273756675726961223a2022636f7572696572227d', '7b2277616c6c223a20227365726966227d', '7b22706f6c65223a20227365726966227d', '7b226e7574223a2022636f7572696572227d']",../1_crowdsourced/to_be_redone_amt.csv_106___../1_pre-pilot/verification_round0_amt.csv_316,2
"[['http://object-naming-amore.upf.edu//2374523_1944269_singleton_obj.png', ['window', 'flower', 'curtain']], ['http://object-naming-amore.upf.edu//2318289_1012251_supercat_unique.png', ['food', 'rice', 'bowl', 'fodo']], ['http://object-naming-amore.upf.edu//2368813_744908_singleton_obj.png', ['cat', 'tam', 'animal', 'dog', 'bear']], ['http://object-naming-amore.upf.edu//2409883_231203_supercat_ambiguous.png', ['jar', 'vase', 'glass', 'bottle', 'dot']], ['http://object-naming-amore.upf.edu//2359438_2945988_singleton_obj.png', ['table', 'desk', 'counter top', 'spouts', 'counter', 'apple']], ['http://object-naming-amore.upf.edu//2368878_3866547_seed_ambiguous.png', ['floor', 'toy', 'desk', 'table', 'carpet', 'rug', 'capret', 'dresser']]]","['7b22666c6f776572223a20227365726966227d', '7b22666f646f223a202273616e732d666f6f64227d', '7b2274616d223a2022636f7572696572227d', '7b22646f74223a2022636f7572696572227d', '7b2273706f757473223a2022636f7572696572227d', '7b22636170726574223a202273616e732d636172706574222c2022636172706574223a2022626f6c642d727567227d']",../1_crowdsourced/to_be_redone_amt.csv_107___../1_pre-pilot/verification_round0_amt.csv_319,2
"[['http://object-naming-amore.upf.edu//2377216_567217_supercat_ambiguous.png', ['boat', 'ship', 'light']], ['http://object-naming-amore.upf.edu//2378102_2573483_singleton_obj.png', ['surfer', 'girl', 'nose', 'woman']], ['http://object-naming-amore.upf.edu//2384228_692349_supercat_ambiguous.png', ['train engine', 'car', 'train', 'engine', 'enigne']], ['http://object-naming-amore.upf.edu//2358978_1974167_singleton_obj.png', ['food', 'bread', 'surface', 'bun', 'burger']], ['http://object-naming-amore.upf.edu//2385447_1296755_seed_ambiguous.png', ['frisbee pllayer', 'person', 'man', 't-shirt', 'frisbee player', 'guy']], ['http://object-naming-amore.upf.edu//2327578_2723789_singleton_obj.png', ['batter', 'baseball player', 'shoe', 'bat', 'person', 'athlete', 'jersey', 'man']]]","['7b226c69676874223a20227365726966227d', '7b226e6f7365223a20227365726966227d', '7b22656e69676e65223a202273616e732d656e67696e65227d', '7b2273757266616365223a20227365726966227d', '7b226672697362656520706c6c61796572223a202273616e732d6672697362656520706c61796572227d', '7b226a6572736579223a20227365726966227d']",../1_crowdsourced/to_be_redone_amt.csv_108___../1_pre-pilot/verification_round0_amt.csv_321,2
