items,quality_control
"[['http://object-naming-amore.upf.edu//2399655_1167703_singleton_obj.png', ['heap', 'bench', 'chair']], ['http://object-naming-amore.upf.edu//2345040_2330042_supercat_ambiguous.png', ['glass', 'car', 'train']], ['http://object-naming-amore.upf.edu//2369230_612994_supercat_unique.png', ['animal', 'anmal', 'sheep', 'cow']], ['http://object-naming-amore.upf.edu//2350590_866854_supercat_unique.png', ['hat', 'cap', 'beanie', 'refuse', 'cat']], ['http://object-naming-amore.upf.edu//2371995_2512648_supercat_unique.png', ['tuxedo', 'coat', 'jacket', 'jackte', 'suit']], ['http://object-naming-amore.upf.edu//2332294_2711384_singleton_obj.png', ['man', 'skater', 'shirt', 'person', 'skateboarder', 'jeans', 'shoe']]]","['7b2268656170223a2022636f7572696572222c202262656e6368223a2022617269616c227d', '7b22676c617373223a20227365726966227d', '7b22616e6d616c223a202273616e732d616e696d616c222c2022636f77223a2022617269616c227d', '7b22726566757365223a2022636f7572696572227d', '7b226a61636b7465223a202273616e732d6a61636b6574227d', '7b226a65616e73223a20227365726966227d']"
"[['http://object-naming-amore.upf.edu//2335643_2013692_singleton_obj.png', ['tire', 'motorcycle', 'bike']], ['http://object-naming-amore.upf.edu//2347258_2600615_supercat_unique.png', ['shower curtain', 'guests', 'curtain']], ['http://object-naming-amore.upf.edu//155_1062434_supercat_unique.png', ['counter', 'man', 'person', 'cup']], ['http://object-naming-amore.upf.edu//2357024_2790044_supercat_unique.png', ['blazer', 'tuxedo', 'jacket', 'liggage', 'suit']], ['http://object-naming-amore.upf.edu//2354892_834679_supercat_ambiguous.png', ['truck', 'van', 'vehicle', 'road', 'automobile']], ['http://object-naming-amore.upf.edu//2316156_3443343_singleton_obj.png', ['woman', 'passenger', 'person', 'dress', 'passengr', 'shoe', 'girl']]]","['7b2274697265223a20227365726966222c20226d6f746f726379636c65223a2022617269616c222c202262696b65223a2022626f6c642d6d6f746f726379636c65227d', '7b22677565737473223a2022636f7572696572222c20226375727461696e223a2022617269616c227d', '7b22637570223a20227365726966222c20226d616e223a2022617269616c227d', '7b226c696767616765223a2022636f7572696572227d', '7b22726f6164223a20227365726966222c202276616e223a2022617269616c227d', '7b2270617373656e6772223a202273616e732d70617373656e676572227d']"
"[['http://object-naming-amore.upf.edu//2358717_1717945_singleton_obj.png', ['apartment', 'door', 'building']], ['http://object-naming-amore.upf.edu//2392121_1233790_singleton_obj.png', ['dugoout', 'bench', 'dugout']], ['http://object-naming-amore.upf.edu//2349739_2695611_seed_ambiguous.png', ['sandwich breda', 'sandwich', 'sandwich bread', 'bread']], ['http://object-naming-amore.upf.edu//2337357_957989_supercat_unique.png', ['bench', 'sidewalk', 'pant', 'chair', 'table']], ['http://object-naming-amore.upf.edu//2408471_1093057_singleton_obj.png', ['floor', 'carpet', 'shoe', 'pervian', 'mat']], ['http://object-naming-amore.upf.edu//2347290_2137515_singleton_obj.png', ['person', 'ball', 'player', 'baseball player', 'drains', 'man', 'boy']]]","['7b22646f6f72223a20227365726966227d', '7b226475676f6f7574223a202273616e732d6475676f7574222c20226475676f7574223a2022617269616c227d', '7b2273616e6477696368206272656461223a202273616e732d73616e6477696368206272656164222c20226272656164223a2022617269616c227d', '7b227369646577616c6b223a20227365726966222c202262656e6368223a2022617269616c227d', '7b227065727669616e223a2022636f7572696572227d', '7b22647261696e73223a2022636f7572696572227d']"
"[['http://object-naming-amore.upf.edu//2409891_230996_singleton_obj.png', ['eye', 'dog', 'cat']], ['http://object-naming-amore.upf.edu//2375449_2648902_singleton_obj.png', ['bed', 'mattress', 'mtatress']], ['http://object-naming-amore.upf.edu//2403303_1126076_supercat_unique.png', ['woman', 'womman', 'glass', 'lady']], ['http://object-naming-amore.upf.edu//2377961_715605_supercat_unique.png', ['cake', 'shirt', 'liune', 'dress', 'jacket']], ['http://object-naming-amore.upf.edu//2367270_2057926_supercat_unique.png', ['carpet', 'floor', 'cushion', 'rug', 'cat']], ['http://object-naming-amore.upf.edu//2379779_1354433_singleton_obj.png', ['child', 'kid', 'boy', 'player', 'shoe', 'shadow', 'baseball player']]]","['7b22657965223a20227365726966222c2022646f67223a2022617269616c227d', '7b226d74617472657373223a202273616e732d6d61747472657373222c2022626564223a2022617269616c227d', '7b22776f6d6d616e223a202273616e732d776f6d616e222c2022776f6d616e223a2022617269616c227d', '7b226c69756e65223a2022636f7572696572227d', '7b2263757368696f6e223a20227365726966222c2022636172706574223a2022617269616c222c2022727567223a2022626f6c642d636172706574227d', '7b22736861646f77223a20227365726966222c2022626f79223a2022617269616c222c20226b6964223a2022626f6c642d6368696c64227d']"
"[['http://object-naming-amore.upf.edu//2333438_2751116_supercat_unique.png', ['wire', 'dog', 'bench']], ['http://object-naming-amore.upf.edu//2342654_931997_singleton_obj.png', ['ywca', 'mouse', 'computer mouse']], ['http://object-naming-amore.upf.edu//2365402_2132595_supercat_unique.png', ['flowers', 'lady', 'woman', 'person']], ['http://object-naming-amore.upf.edu//2376662_570937_seed_ambiguous.png', ['bun', 'hotdog', 'napkin', 'cale', 'food']], ['http://object-naming-amore.upf.edu//2400889_404608_supercat_unique.png', ['derss', 'dress', 'shirt', 'phone', 't-shirt']], ['http://object-naming-amore.upf.edu//2365906_2660130_singleton_obj.png', ['guy', 'player', 'man', 'tennis player', 'shoe', 'person', 'persson']]]","['7b2277697265223a2022636f7572696572222c202262656e6368223a2022617269616c227d', '7b2279776361223a2022636f7572696572222c20226d6f757365223a2022617269616c227d', '7b22666c6f77657273223a20227365726966227d', '7b2263616c65223a2022636f7572696572227d', '7b226465727373223a202273616e732d6472657373227d', '7b2270657273736f6e223a202273616e732d706572736f6e227d']"
"[['http://object-naming-amore.upf.edu//2369027_1791290_singleton_obj.png', ['building', 'motorcycle', 'garage']], ['http://object-naming-amore.upf.edu//2340625_2633490_singleton_obj.png', ['bench', 'chair', 'tree']], ['http://object-naming-amore.upf.edu//1665_1033052_singleton_obj.png', ['desk', 'computer', 'comluter', 'table']], ['http://object-naming-amore.upf.edu//2370518_741684_supercat_unique.png', ['sweater', 'dress', 't-shirt', 'snouth', 'shirt']], ['http://object-naming-amore.upf.edu//2341451_2008662_supercat_ambiguous.png', ['motorbike', 'motorcycle', 'scooter', 'buildings', 'bike']], ['http://object-naming-amore.upf.edu//2394798_460970_supercat_ambiguous.png', ['bath', 'baby', 'bathtub', 'child', 'sink', 'ward', 'tub']]]","['7b226d6f746f726379636c65223a20227365726966227d', '7b2274726565223a20227365726966222c202262656e6368223a2022617269616c227d', '7b22636f6d6c75746572223a202273616e732d636f6d7075746572222c20226465736b223a2022617269616c227d', '7b22736e6f757468223a2022636f7572696572222c20227368697274223a2022617269616c227d', '7b226275696c64696e6773223a20227365726966222c20226d6f746f726379636c65223a2022626f6c642d6d6f746f7262696b65227d', '7b2277617264223a2022636f7572696572222c2022747562223a2022617269616c222c202262617468223a2022626f6c642d7475622c62617468747562227d']"
"[['http://object-naming-amore.upf.edu//2386283_1287641_supercat_unique.png', ['preson', 'person', 'man']], ['http://object-naming-amore.upf.edu//2412260_198984_supercat_unique.png', ['fez', 'food', 'pizza']], ['http://object-naming-amore.upf.edu//160_1058761_supercat_unique.png', ['hdtv', 'robe', 'dress', 'uniform']], ['http://object-naming-amore.upf.edu//2347374_891439_supercat_unique.png', ['person', 'human', 't-shirt', 'man', 't-sshirt']], ['http://object-naming-amore.upf.edu//3564_1554717_supercat_unique.png', ['shoe', 'couch', 'woman', 'boots', 'sofa']], ['http://object-naming-amore.upf.edu//1160039_1600665_singleton_obj.png', ['person', 'man', 'boy', 'teenager', 'liquors', 'skater', 'skateboarder']]]","['7b22707265736f6e223a202273616e732d706572736f6e222c20226d616e223a2022617269616c227d', '7b2266657a223a2022636f7572696572222c202270697a7a61223a2022617269616c227d', '7b2268647476223a2022636f7572696572227d', '7b22742d737368697274223a202273616e732d742d7368697274222c20226d616e223a2022617269616c222c202268756d616e223a2022626f6c642d6d616e227d', '7b22626f6f7473223a20227365726966222c2022736f6661223a2022626f6c642d636f756368227d', '7b226c6971756f7273223a2022636f7572696572227d']"
"[['http://object-naming-amore.upf.edu//2376951_2437188_seed_ambiguous.png', ['goraffe', 'zebra', 'giraffe']], ['http://object-naming-amore.upf.edu//713799_3702338_singleton_obj.png', ['ship', 'boat', 'grizzly']], ['http://object-naming-amore.upf.edu//2393564_471612_supercat_unique.png', ['chair', 'ceiling', 't-shirt', 'bench']], ['http://object-naming-amore.upf.edu//308_1026902_singleton_obj.png', ['platelayer', 'sidewalk', 'car', 'bridge', 'bumper']], ['http://object-naming-amore.upf.edu//2342094_3650408_supercat_unique.png', ['tea', 'jacket', 'coat', 'suit', 'tie']], ['http://object-naming-amore.upf.edu//2318301_2937509_singleton_obj.png', ['sink', 'cupboard', 'table', 'cabinet', 'countertype', 'counter', 'towel']]]","['7b22676f7261666665223a202273616e732d67697261666665227d', '7b226772697a7a6c79223a2022636f7572696572222c2022626f6174223a2022617269616c227d', '7b226365696c696e67223a20227365726966222c202262656e6368223a2022617269616c227d', '7b2262756d706572223a20227365726966222c2022627269646765223a2022617269616c227d', '7b22746561223a2022636f7572696572227d', '7b22746f77656c223a20227365726966222c2022636f756e746572223a2022617269616c227d']"
"[['http://object-naming-amore.upf.edu//2317073_3295096_singleton_obj.png', ['airplane', 'airpoane', 'plane']], ['http://object-naming-amore.upf.edu//2416330_2894313_seed_ambiguous.png', ['canoe', 'boat', 'caneo']], ['http://object-naming-amore.upf.edu//2409398_1088779_singleton_obj.png', ['woman', 'girl', 'womna', 'person']], ['http://object-naming-amore.upf.edu//2407210_1098450_singleton_obj.png', ['countertop', 'table', 'desk', 'blendr', 'blender']], ['http://object-naming-amore.upf.edu//2407157_651372_supercat_unique.png', ['blouse', 'shirt', 'dress', 'core', 'glass']], ['http://object-naming-amore.upf.edu//2321120_3177075_seed_ambiguous.png', ['person', 'guy', 'boy', 'persoon', 'man', 'kid', 'teenager']]]","['7b22616972706f616e65223a202273616e732d616972706c616e65222c2022616972706c616e65223a2022617269616c222c2022706c616e65223a2022626f6c642d616972706c616e65227d', '7b2263616e656f223a202273616e732d63616e6f65227d', '7b22776f6d6e61223a202273616e732d776f6d616e227d', '7b22626c656e6472223a202273616e732d626c656e646572222c20227461626c65223a2022617269616c227d', '7b22636f7265223a2022636f7572696572222c20226472657373223a2022617269616c227d', '7b22706572736f6f6e223a202273616e732d706572736f6e227d']"
"[['http://object-naming-amore.upf.edu//2387092_1279462_singleton_obj.png', ['bike', 'mootrcycle', 'motorcycle']], ['http://object-naming-amore.upf.edu//2330403_2976394_seed_ambiguous.png', ['center', 'woman', 'horse']], ['http://object-naming-amore.upf.edu//2403070_383911_supercat_ambiguous.png', ['motorcycle', 'motorbike', 'car', 'bike']], ['http://object-naming-amore.upf.edu//2385098_689902_seed_ambiguous.png', ['floor', 'sofa', 'carpet', 'box', 'rug']], ['http://object-naming-amore.upf.edu//2363399_1964080_singleton_obj.png', ['bread', 'burger', 'finger', 'sandwich', 'food']], ['http://object-naming-amore.upf.edu//2414657_154500_singleton_obj.png', ['skirt', 'dress', 'woman', 'player', 'logo', 'tennis player', 'girl']]]","['7b226d6f6f74726379636c65223a202273616e732d6d6f746f726379636c65222c20226d6f746f726379636c65223a2022617269616c222c202262696b65223a2022626f6c642d6d6f746f726379636c65227d', '7b2263656e746572223a2022636f7572696572222c2022686f727365223a2022617269616c227d', '7b22636172223a20227365726966222c20226d6f746f726379636c65223a2022617269616c222c20226d6f746f7262696b65223a2022626f6c642d6d6f746f726379636c65227d', '7b22626f78223a20227365726966222c2022727567223a2022626f6c642d636172706574227d', '7b2266696e676572223a20227365726966222c20226272656164223a2022617269616c227d', '7b226c6f676f223a20227365726966227d']"
