assignmentid,rating_mean,color_mean,correct1_count,correct1_sum,correct2_count,correct2_sum,correct3_count,correct3_sum,correct3_<lambda>,control_score,control_score-filtered,n_controls,n_correct,hitid,requesterannotation,control_score_mturk,workerid,errors_mturk,n_controls_mturk,n_correct_mturk,decision1,decision2,executed1,executed2,explanation,mistakes,n_mistakes
337RC3OW052QQQZ2DP0R1HF8E2ELVU,0.6944444444444444,1.3888888888888888,10,4.0,6,4.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.5,0.6363636363636364,16,8.0,3087LXLJ6MGLBDQXYF43XROAMYCF0M,../1_pre-pilot/verification_pilot_amt.csv_6,0.5,worker6,['0.5'],16,8,approve,block,False,False,"failed assignment, but apply lenience, blocked because low average quality","['http://object-naming-amore.upf.edu//2417937_3116969_singleton_obj.png - combed - random: visual', 'http://object-naming-amore.upf.edu//2397580_1188546_singleton_obj.png - blinds - random: visual', 'http://object-naming-amore.upf.edu//2385096_689912_supercat_unique.png - persoin - random: visual', 'http://object-naming-amore.upf.edu//2330997_3035829_supercat_ambiguous.png - sauce - alternative: visual', 'http://object-naming-amore.upf.edu//2380119_1350337_singleton_obj.png - pizzza slice - typo-pizza slice: 0', 'http://object-naming-amore.upf.edu//2409288_244965_singleton_obj.png - motorcycle - syn-bike: 0', ""http://object-naming-amore.upf.edu//2417937_3116969_singleton_obj.png - combed - random: ['combed', 'bent']"", ""http://object-naming-amore.upf.edu//2385096_689912_supercat_unique.png - persoin - random: ['clothing', 'persoin', 'dress', 'frock', 'toy']""]",8
3HWRJOOET52WSS86288IDZ5H60QES0,0.8055555555555556,1.0833333333333333,10,6.0,6,6.0,2,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.0, nan]",0.7222222222222222,0.8461538461538461,18,13.0,3087LXLJ6MGLBDQXYF43XROAMYCF0M,../1_pre-pilot/verification_pilot_amt.csv_6,0.75,worker11,['0.25'],16,12,approve,block,False,False,"good enough assignment, blocked because low average quality","['http://object-naming-amore.upf.edu//2409288_244965_singleton_obj.png - lock - alternative: 0', 'http://object-naming-amore.upf.edu//2385096_689912_supercat_unique.png - persoin - random: linguistic', 'http://object-naming-amore.upf.edu//2330997_3035829_supercat_ambiguous.png - sauce - alternative: 0', 'http://object-naming-amore.upf.edu//2380119_1350337_singleton_obj.png - pizza - vg_majority: bounding box', 'http://object-naming-amore.upf.edu//2330997_3035829_supercat_ambiguous.png - pizza -  ~ pizza_food']",5
3Q5C1WP23M1W2PGJEO0VD4CV36N159,0.4166666666666667,1.1666666666666667,10,5.0,6,4.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.5625,0.8181818181818182,16,9.0,3087LXLJ6MGLBDQXYF43XROAMYCF0M,../1_pre-pilot/verification_pilot_amt.csv_6,0.5625,worker13,['0.4375'],16,9,approve,block,False,False,"good enough assignment, blocked because low average quality","['http://object-naming-amore.upf.edu//2417937_3116969_singleton_obj.png - combed - random: visual', 'http://object-naming-amore.upf.edu//2409288_244965_singleton_obj.png - lock - alternative: visual', 'http://object-naming-amore.upf.edu//2397580_1188546_singleton_obj.png - blinds - random: visual', 'http://object-naming-amore.upf.edu//2385096_689912_supercat_unique.png - persoin - random: linguistic', 'http://object-naming-amore.upf.edu//2330997_3035829_supercat_ambiguous.png - sauce - alternative: 0', ""http://object-naming-amore.upf.edu//2417937_3116969_singleton_obj.png - combed - random: ['combed', 'bent']"", ""http://object-naming-amore.upf.edu//2380119_1350337_singleton_obj.png - pizzza slice - typo-pizza slice: ['pizzza slice']""]",7
3U088ZLJVKTQ8JALE6J4PZ6YICTW0S,1.0277777777777777,2.4166666666666665,10,4.0,6,4.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.5,0.7272727272727273,16,8.0,3087LXLJ6MGLBDQXYF43XROAMYCF0M,../1_pre-pilot/verification_pilot_amt.csv_6,0.5,worker2,['0.5'],16,8,approve,block,False,False,"failed assignment, but apply lenience, blocked because low average quality","['http://object-naming-amore.upf.edu//2417937_3116969_singleton_obj.png - combed - random: visual', 'http://object-naming-amore.upf.edu//2409288_244965_singleton_obj.png - lock - alternative: visual', 'http://object-naming-amore.upf.edu//2397580_1188546_singleton_obj.png - blinds - random: visual', 'http://object-naming-amore.upf.edu//2385096_689912_supercat_unique.png - persoin - random: linguistic', 'http://object-naming-amore.upf.edu//2330997_3035829_supercat_ambiguous.png - sauce - alternative: visual', 'http://object-naming-amore.upf.edu//2409288_244965_singleton_obj.png - motorcycle - syn-bike: other', ""http://object-naming-amore.upf.edu//2380119_1350337_singleton_obj.png - pizzza slice - typo-pizza slice: ['pizzza slice']"", ""http://object-naming-amore.upf.edu//2409288_244965_singleton_obj.png - motorcycle - syn-bike: ['motorcycle']""]",8
3ATTHHXXWAOG4EWRS14WXMK1D61XIY,0.6388888888888888,2.0833333333333335,10,8.0,6,6.0,2,2.0,"[nan, nan, nan, 1.0, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.8888888888888888,1.0,18,16.0,38EHZ67RIMSOSRTZY4XJD9VZQGDMG3,../1_pre-pilot/verification_pilot_amt.csv_3,0.875,worker9,['0.125'],16,14,approve,bonus,False,False,"good enough assignment, bonus because very good assignment","['http://object-naming-amore.upf.edu//2388567_672530_singleton_obj.png - windowl - random: linguistic', 'http://object-naming-amore.upf.edu//2334627_964696_seed_ambiguous.png - bookcase - alternative: visual']",2
3ND9UOO81K235FZ73Z5NNJYMLAJWLG,1.1111111111111112,1.25,10,6.0,6,6.0,11,10.0,"[1.0, 1.0, nan, 1.0, nan, nan, nan, 1.0, nan, 1.0, nan, nan, 1.0, nan, 1.0, 1.0, nan, nan, nan, 0.0, 1.0, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.8148148148148148,0.88,27,22.0,38EHZ67RIMSOSRTZY4XJD9VZQGDMG3,../1_pre-pilot/verification_pilot_amt.csv_3,0.75,worker11,['0.25'],16,12,approve,block,False,False,"good enough assignment, blocked because low average quality","['http://object-naming-amore.upf.edu//2388567_672530_singleton_obj.png - windowl - random: linguistic', 'http://object-naming-amore.upf.edu//2363728_2149199_supercat_unique.png - troops - random: visual', 'http://object-naming-amore.upf.edu//2334627_964696_seed_ambiguous.png - bookcase - alternative: 0', 'http://object-naming-amore.upf.edu//713704_3796731_singleton_obj.png - fingers - random: visual', 'http://object-naming-amore.upf.edu//2334627_964696_seed_ambiguous.png - stand -  ~ stand_cabinet,bookcase']",5
3S0TNUHWKTI9H2FXSFRTQQNVUU4D8S,0.19444444444444445,0.9166666666666666,10,8.0,6,6.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.875,1.0,16,14.0,38EHZ67RIMSOSRTZY4XJD9VZQGDMG3,../1_pre-pilot/verification_pilot_amt.csv_3,0.875,worker26,['0.125'],16,14,approve,bonus,False,False,"good enough assignment, bonus because very good assignment","['http://object-naming-amore.upf.edu//2388567_672530_singleton_obj.png - windowl - random: linguistic', 'http://object-naming-amore.upf.edu//2334627_964696_seed_ambiguous.png - bookcase - alternative: 0']",2
3UOUJI6MTDELD5RRMITAGP8C723UXK,0.2222222222222222,0.9444444444444444,10,8.0,6,6.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.875,1.0,16,14.0,38EHZ67RIMSOSRTZY4XJD9VZQGDMG3,../1_pre-pilot/verification_pilot_amt.csv_3,0.875,worker12,['0.125'],16,14,approve,bonus,False,False,"good enough assignment, bonus because very good assignment","['http://object-naming-amore.upf.edu//2388567_672530_singleton_obj.png - windowl - random: visual', 'http://object-naming-amore.upf.edu//2334627_964696_seed_ambiguous.png - bookcase - alternative: 0']",2
30ZX6P7VF8VBY9D0MU43JX55DF62JR,0.4444444444444444,0.9722222222222222,13,12.0,8,8.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.9523809523809523,1.0,21,20.0,3BFF0DJK8XCVVRSA21SCO19U8Z3TSV,../1_pre-pilot/verification_pilot_amt.csv_8,0.9523809523809523,worker27,['0.047619047619047616'],21,20,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",['http://object-naming-amore.upf.edu//2406793_290252_seed_ambiguous.png - filming - random: bounding box'],1
3DI28L7YXAEWY89CPPTYHYI8G0XE10,0.3055555555555556,0.027777777777777776,13,12.0,8,8.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.9523809523809523,0.95,21,20.0,3BFF0DJK8XCVVRSA21SCO19U8Z3TSV,../1_pre-pilot/verification_pilot_amt.csv_8,0.9523809523809523,worker26,['0.047619047619047616'],21,20,approve,,False,False,good enough assignment,['http://object-naming-amore.upf.edu//2320110_2918513_seed_ambiguous.png - engine - alternative: 0'],1
