,hitid,requesterannotation,assignmentid,workerid,image,object,name,rating,type,color,image_url,names,same_color,colors,control_type,correct1,correct2,correct3,correct3_explanation,reliable1,reliable2,correct1-filtered,correct2-filtered,correct3-filtered
0,3TRB893CSJA57OMCUYVUURY9VU17G2,../1_pre-pilot/verification_pilot_amt.csv_26,3B1NLC6UGZWXZEO5GMUCIXLIXEZGP5,worker0,2318524,1009820,ground,1,linguistic,0,http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png,"['airplane', 'road', 'runway', 'plier', 'plane', 'airport', 'tarmac', 'ground']","['ground', 'tarmac', 'runway', 'road']","{'airplane': 0, 'road': 1, 'runway': 1, 'plier': 0, 'plane': 0, 'airport': 0, 'tarmac': 1, 'ground': 1}",,,,,,False,False,,,
1,3TRB893CSJA57OMCUYVUURY9VU17G2,../1_pre-pilot/verification_pilot_amt.csv_26,3B1NLC6UGZWXZEO5GMUCIXLIXEZGP5,worker0,2318524,1009820,tarmac,0,,0,http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png,"['airplane', 'road', 'runway', 'plier', 'plane', 'airport', 'tarmac', 'ground']","['ground', 'tarmac', 'runway', 'road']","{'airplane': 0, 'road': 1, 'runway': 1, 'plier': 0, 'plane': 0, 'airport': 0, 'tarmac': 1, 'ground': 1}",,,,,,False,False,,,
2,3TRB893CSJA57OMCUYVUURY9VU17G2,../1_pre-pilot/verification_pilot_amt.csv_26,3B1NLC6UGZWXZEO5GMUCIXLIXEZGP5,worker0,1159441,1593550,person,0,,0,http://object-naming-amore.upf.edu//1159441_1593550_singleton_obj.png,"['human', 'girl', 'snowboarder', 'skier', 'diem', 'woman', 'person']","['person', 'woman', 'skier', 'snowboarder', 'girl', 'human']","{'human': 1, 'girl': 1, 'snowboarder': 1, 'skier': 1, 'diem': 0, 'woman': 1, 'person': 1}",,,,,,False,False,,,
3,3TRB893CSJA57OMCUYVUURY9VU17G2,../1_pre-pilot/verification_pilot_amt.csv_26,3B1NLC6UGZWXZEO5GMUCIXLIXEZGP5,worker0,2318524,1009820,airport,1,linguistic,1,http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png,"['airplane', 'road', 'runway', 'plier', 'plane', 'airport', 'tarmac', 'ground']",['airport'],"{'airplane': 0, 'road': 0, 'runway': 0, 'plier': 0, 'plane': 0, 'airport': 1, 'tarmac': 0, 'ground': 0}",,,,,,False,False,,,
4,3TRB893CSJA57OMCUYVUURY9VU17G2,../1_pre-pilot/verification_pilot_amt.csv_26,3B1NLC6UGZWXZEO5GMUCIXLIXEZGP5,worker0,1159441,1593550,woman,0,,0,http://object-naming-amore.upf.edu//1159441_1593550_singleton_obj.png,"['human', 'girl', 'snowboarder', 'skier', 'diem', 'woman', 'person']","['person', 'woman', 'skier', 'snowboarder', 'girl', 'human']","{'human': 1, 'girl': 1, 'snowboarder': 1, 'skier': 1, 'diem': 0, 'woman': 1, 'person': 1}",,,,,,False,False,,,
5,3TRB893CSJA57OMCUYVUURY9VU17G2,../1_pre-pilot/verification_pilot_amt.csv_26,3B1NLC6UGZWXZEO5GMUCIXLIXEZGP5,worker0,2318524,1009820,plane,1,bounding box,2,http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png,"['airplane', 'road', 'runway', 'plier', 'plane', 'airport', 'tarmac', 'ground']","['plane', 'airplane']","{'airplane': 1, 'road': 0, 'runway': 0, 'plier': 0, 'plane': 1, 'airport': 0, 'tarmac': 0, 'ground': 0}",,,,,,False,False,,,
6,3TRB893CSJA57OMCUYVUURY9VU17G2,../1_pre-pilot/verification_pilot_amt.csv_26,3B1NLC6UGZWXZEO5GMUCIXLIXEZGP5,worker0,1159441,1593550,diem,2,other,1,http://object-naming-amore.upf.edu//1159441_1593550_singleton_obj.png,"['human', 'girl', 'snowboarder', 'skier', 'diem', 'woman', 'person']",['diem'],"{'human': 0, 'girl': 0, 'snowboarder': 0, 'skier': 0, 'diem': 1, 'woman': 0, 'person': 0}",random,1.0,1.0,,,True,True,1.0,1.0,
7,3TRB893CSJA57OMCUYVUURY9VU17G2,../1_pre-pilot/verification_pilot_amt.csv_26,3B1NLC6UGZWXZEO5GMUCIXLIXEZGP5,worker0,2417054,3245468,hutch,0,,0,http://object-naming-amore.upf.edu//2417054_3245468_seed_ambiguous.png,"['cup board', 'cabinet', 't-shirt', 'cabiet', 'hutch']","['hutch', 'cabiet', 'cabinet', 'cup board']","{'cup board': 1, 'cabinet': 1, 't-shirt': 0, 'cabiet': 1, 'hutch': 1}",,,,,,False,False,,,
8,3TRB893CSJA57OMCUYVUURY9VU17G2,../1_pre-pilot/verification_pilot_amt.csv_26,3B1NLC6UGZWXZEO5GMUCIXLIXEZGP5,worker0,2318524,1009820,plier,2,other,3,http://object-naming-amore.upf.edu//2318524_1009820_singleton_obj.png,"['airplane', 'road', 'runway', 'plier', 'plane', 'airport', 'tarmac', 'ground']",['plier'],"{'airplane': 0, 'road': 0, 'runway': 0, 'plier': 1, 'plane': 0, 'airport': 0, 'tarmac': 0, 'ground': 0}",random,1.0,1.0,,,True,True,1.0,1.0,
9,3TRB893CSJA57OMCUYVUURY9VU17G2,../1_pre-pilot/verification_pilot_amt.csv_26,3B1NLC6UGZWXZEO5GMUCIXLIXEZGP5,worker0,1159441,1593550,skier,1,linguistic,0,http://object-naming-amore.upf.edu//1159441_1593550_singleton_obj.png,"['human', 'girl', 'snowboarder', 'skier', 'diem', 'woman', 'person']","['person', 'woman', 'skier', 'snowboarder', 'girl', 'human']","{'human': 1, 'girl': 1, 'snowboarder': 1, 'skier': 1, 'diem': 0, 'woman': 1, 'person': 1}",,,,,,False,False,,,
