assignmentid,rating_mean,color_mean,control_score,control_score-filtered,hitid,requesterannotation,control_score_mturk,workerid,decision1,decision2,executed1,executed2,explanation,mistakes,n_mistakes
37U1UTWH9VM3ICY2AGMDVF4ZADB8RA,1.0588235294117647,1.7941176470588236,0.9259259259259259,0.9230769230769231,338431Z1FLF3HKNPRV684HYBNRLRO5,../1_pre-pilot/verification_pilot_amt.csv_33,0.9259259259259259,worker18,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2355060_833206_supercat_ambiguous.png - child: 0', ""http://object-naming-amore.upf.edu//2355060_833206_supercat_ambiguous.png - child: ['kid', 'child', 'boy']""]",2
384PI804XS1X12TCU193SA3DDHJ0S4,1.2352941176470589,1.5,0.8695652173913043,0.9090909090909091,338431Z1FLF3HKNPRV684HYBNRLRO5,../1_pre-pilot/verification_pilot_amt.csv_33,0.8695652173913043,worker9,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2375246_2269180_seed_ambiguous.png - tied: visual', 'http://object-naming-amore.upf.edu//2331870_971185_singleton_obj.png - wall: visual', 'http://object-naming-amore.upf.edu//2355060_833206_supercat_ambiguous.png - bis: linguistic']",3
3LEP4MGT3G0SJ0D4VRB3HSDW3LLBDS,1.1176470588235294,1.5588235294117647,0.7777777777777778,0.8235294117647058,338431Z1FLF3HKNPRV684HYBNRLRO5,../1_pre-pilot/verification_pilot_amt.csv_33,0.7777777777777778,worker10,approve,block,False,False,"good enough assignment, blocked because low average quality","['http://object-naming-amore.upf.edu//2361500_1682809_supercat_unique.png - dress: bounding box', 'http://object-naming-amore.upf.edu//2331870_971185_singleton_obj.png - wall: visual', 'http://object-naming-amore.upf.edu//2361500_1682809_supercat_unique.png - knees: visual', ""http://object-naming-amore.upf.edu//2317878_3397383_singleton_obj.png - t-shhirt: ['t-shhirt']""]",4
3Z7ISHFUH0VCK3KTKXGQHI6YJUW8Z5,0.5294117647058824,1.2058823529411764,0.8,0.8571428571428571,338431Z1FLF3HKNPRV684HYBNRLRO5,../1_pre-pilot/verification_pilot_amt.csv_33,0.8,worker12,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2375246_2269180_seed_ambiguous.png - tied: linguistic', 'http://object-naming-amore.upf.edu//2331870_971185_singleton_obj.png - wall: linguistic', 'http://object-naming-amore.upf.edu//2355060_833206_supercat_ambiguous.png - bis: linguistic']",3
386CSBG1OZMG2X0E4M0F6BY38XF6QJ,1.1153846153846154,0.6538461538461539,0.8095238095238095,0.8947368421052632,33CLA8O0MIB9B7AWSSNIHNPXVQURFJ,../1_pre-pilot/verification_pilot_amt.csv_19,0.8333333333333334,worker16,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2396724_1195691_singleton_obj.png - restaurant: visual', 'http://object-naming-amore.upf.edu//2411186_315568_singleton_obj.png - mouth: bounding box', ""http://object-naming-amore.upf.edu//2398331_426314_singleton_obj.png - brunch: ['cookie', 'ice cream sandwich', 'food', 'dessert', 'sandwich', 'brunch', 'icecream sandwhich']"", 'http://object-naming-amore.upf.edu//2396724_1195691_singleton_obj.png - building ~ building_bar']",4
3D4CH1LGEATC7R8YZXYFW7L3SHRG9Y,0.7692307692307693,0.5769230769230769,0.7894736842105263,0.8823529411764706,33CLA8O0MIB9B7AWSSNIHNPXVQURFJ,../1_pre-pilot/verification_pilot_amt.csv_19,0.8181818181818181,worker6,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2398331_426314_singleton_obj.png - cookie: visual', 'http://object-naming-amore.upf.edu//2411186_315568_singleton_obj.png - mouth: bounding box', 'http://object-naming-amore.upf.edu//2398331_426314_singleton_obj.png - brunch: visual', ""http://object-naming-amore.upf.edu//2398331_426314_singleton_obj.png - brunch: ['cookie', 'ice cream sandwich', 'food', 'dessert', 'sandwich', 'brunch', 'icecream sandwhich']""]",4
3Z4XG4ZF48RNF8KEJFS5KXQNBUV8X5,0.9230769230769231,0.46153846153846156,0.9,0.9444444444444444,33CLA8O0MIB9B7AWSSNIHNPXVQURFJ,../1_pre-pilot/verification_pilot_amt.csv_19,0.9130434782608696,worker26,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2398331_426314_singleton_obj.png - cookie: other', 'http://object-naming-amore.upf.edu//2411186_315568_singleton_obj.png - mouth: bounding box']",2
3ZY8KE4ISJ31HNFF5U8NI3E2PVDVQG,0.6153846153846154,0.38461538461538464,0.85,0.9444444444444444,33CLA8O0MIB9B7AWSSNIHNPXVQURFJ,../1_pre-pilot/verification_pilot_amt.csv_19,0.8695652173913043,worker15,approve,,False,False,good enough assignment,"['http://object-naming-amore.upf.edu//2411186_315568_singleton_obj.png - mouth: bounding box', 'http://object-naming-amore.upf.edu//2398331_426314_singleton_obj.png - brunch: 0', ""http://object-naming-amore.upf.edu//2398331_426314_singleton_obj.png - brunch: ['cookie', 'ice cream sandwich', 'food', 'dessert', 'sandwich', 'brunch', 'icecream sandwhich']""]",3
3IGI0VL647KLO6TQOQUSJHPPOMANOQ,0.6296296296296297,1.7407407407407407,0.7142857142857143,0.7142857142857143,33KGGVH24UH2IO20USEPH37RVXWX1K,../1_pre-pilot/verification_pilot_amt.csv_20,0.7647058823529411,worker8,approve,,False,False,"failed assignment, but good enough average worker score","['http://object-naming-amore.upf.edu//2343601_921827_singleton_obj.png - fish: visual', 'http://object-naming-amore.upf.edu//2348515_881559_supercat_unique.png - view: 0', 'http://object-naming-amore.upf.edu//2353404_1746570_singleton_obj.png - leg: visual', 'http://object-naming-amore.upf.edu//2343601_921827_singleton_obj.png - placemat: visual']",4
3JNQLM5FT4MHTZ10PFGGZCIXINAL2E,0.8518518518518519,1.1481481481481481,1.0,1.0,33KGGVH24UH2IO20USEPH37RVXWX1K,../1_pre-pilot/verification_pilot_amt.csv_20,1.0,worker2,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
