assignmentid,rating_mean,color_mean,control_score,control_score_mturk,workerid,decision1,decision2,executed1,executed2,mistakes,n_mistakes
3300DTYQT2HKFCTTA4JDIZQGOTLQE1,0.6805555555555556,0.9722222222222222,0.6875,0.5238095238095238,A1S69I0RY8GTG2,approve,block,True,True,"['http://object-naming-amore.upf.edu//2334627_964696_seed_ambiguous.png - broccli: linguistic', 'http://object-naming-amore.upf.edu//2365614_2535477_supercat_ambiguous.png - plane: visual', 'http://object-naming-amore.upf.edu//2416721_1057086_supercat_unique.png - eerie: linguistic', ""http://object-naming-amore.upf.edu//2334627_964696_seed_ambiguous.png - broccli: ['cabinet', 'broccli', 'cabinte']"", ""http://object-naming-amore.upf.edu//2365614_2535477_supercat_ambiguous.png - catcus: ['truck', 'boat', 'wheel', 'plane', 'catcus']""]",5
33FBRBDW6OZZCA9JSJWI6K5D990C8T,0.6805555555555556,0.9166666666666666,0.5625,0.33333333333333337,A38Z99XF4NDNH0,approve,block,True,True,"['http://object-naming-amore.upf.edu//2365614_2535477_supercat_ambiguous.png - ground: 1.0', 'http://object-naming-amore.upf.edu//2334627_964696_seed_ambiguous.png - broccli: linguistic', 'http://object-naming-amore.upf.edu//2416721_1057086_supercat_unique.png - eerie: visual', 'http://object-naming-amore.upf.edu//2368596_617107_supercat_unique.png - cat: 1.0', ""http://object-naming-amore.upf.edu//2416721_1057086_supercat_unique.png - eerie: ['countertop', 'eerie', 'counter', 'table']"", ""http://object-naming-amore.upf.edu//2365614_2535477_supercat_ambiguous.png - catcus: ['truck', 'plane', 'catcus']"", ""http://object-naming-amore.upf.edu//2368596_617107_supercat_unique.png - cat: ['hat', 'cap', 'cat']""]",7
34YB12FSQYOREBRSO62K1TRNQ5TMGA,0.8378378378378378,0.13513513513513514,0.9230769230769232,0.8823529411764706,A1SQNJ7MN4GWZ1,approve,,True,False,['http://object-naming-amore.upf.edu//2357516_811425_singleton_obj.png - bangkok: bounding box'],1
351SEKWQS0HO2RH1MG1CV8OQDC5DMH,0.4864864864864865,-0.2972972972972973,0.8666666666666667,0.5789473684210527,A3F5YHQWKPC5MX,approve,,True,False,"['http://object-naming-amore.upf.edu//2357048_2842892_singleton_obj.png - cow: linguistic', 'http://object-naming-amore.upf.edu//2357048_2842892_singleton_obj.png - hyphen: linguistic']",2
3570Y55XZPJR8SG679QVVOEU0GSGYI,0.6486486486486487,0.4324324324324325,0.9230769230769232,0.8235294117647058,A1VIY1ZWBO3NVL,approve,,True,False,['http://object-naming-amore.upf.edu//2365794_2346707_singleton_obj.png - apia: visual'],1
38JBBYETQOADQ76VC7C0FWPBSZDE4D,0.5,1.3243243243243243,1.0,1.0,AJ02LB3WXMMY4,approve,bonus,True,True,[],0
38YMOXR4MUZLMUW0GVZLY0GPVW6W6I,0.8648648648648649,1.5405405405405406,0.6666666666666666,0.42105263157894735,A38Z99XF4NDNH0,approve,block,True,True,"['http://object-naming-amore.upf.edu//712987_1577034_seed_ambiguous.png - mountains: linguistic', 'http://object-naming-amore.upf.edu//2410016_228090_supercat_unique.png - board: linguistic', 'http://object-naming-amore.upf.edu//2343655_921276_supercat_ambiguous.png - woman: linguistic', ""http://object-naming-amore.upf.edu//2343655_921276_supercat_ambiguous.png - woman: ['man', 'woman']""]",4
39L1G8WVWQRTOATF05C2Y7EBPS031P,0.6621621621621622,3.6756756756756763,0.75,0.631578947368421,A1B68E1R8PO9SS,approve,,True,False,"['http://object-naming-amore.upf.edu//2398331_426314_singleton_obj.png - cookie: linguistic', 'http://object-naming-amore.upf.edu//2400773_1155197_seed_ambiguous.png - brid: 1.0', ""http://object-naming-amore.upf.edu//712987_1577034_seed_ambiguous.png - homes: ['helmet', 'homes', 'shoe']""]",3
3A1PQ49WVHH8II0EFQ1421FL7T01H3,0.7162162162162162,1.5945945945945943,0.9166666666666666,0.5789473684210527,ALV4DAF8DIJ37,approve,,True,False,['http://object-naming-amore.upf.edu//712987_1577034_seed_ambiguous.png - mountains: visual'],1
3A4NIXBJ76Z7035TZXZ0ELWVNOVML1,0.7027027027027027,1.027027027027027,0.9166666666666666,0.7894736842105263,ACGHHDT7RY1AH,approve,,True,False,['http://object-naming-amore.upf.edu//2343655_921276_supercat_ambiguous.png - woman: visual'],1
3BGYGHDBBXKBSDFSF9YBKGJOBI522H,0.8513513513513513,0.5135135135135135,1.0,0.5555555555555556,A3BJ22BY7EX78N,approve,bonus,True,True,[],0
3BWI6RSP7G9A9UOEE5A7I89LJ4M7EF,0.5277777777777778,0.8611111111111112,1.0,0.7142857142857143,AJUZYAG2S5TY2,approve,bonus,True,True,[],0
3C6FJU71TQTADAH1REFCZ3FL9ODUY2,0.6486486486486487,1.7837837837837838,0.8,0.5789473684210527,A3BJ22BY7EX78N,approve,,True,False,"['http://object-naming-amore.upf.edu//2360367_2857132_singleton_obj.png - leaders: visual', 'http://object-naming-amore.upf.edu//2357048_2842892_singleton_obj.png - hyphen: linguistic', ""http://object-naming-amore.upf.edu//2355060_833206_supercat_ambiguous.png - child: ['child', 'kid', 'boy']""]",3
3CFVK00FWLL5B0K1CHSJPPZ9XN86L1,0.8243243243243243,0.4594594594594595,1.0,0.7222222222222222,ASTY1XNJS7RSV,approve,bonus,True,True,[],0
3COPXFW7XBC210KO6DFRGPDB3S5KPU,0.6891891891891891,1.027027027027027,1.0,0.6842105263157895,A1VIY1ZWBO3NVL,approve,bonus,True,True,[],0
3DY4FPOOA1O1TOUFI9XNNTO7KDXVRQ,0.4864864864864865,2.27027027027027,0.7142857142857143,0.7222222222222222,A2BRZKFG6WAVER,approve,,True,False,"['http://object-naming-amore.upf.edu//2355060_833206_supercat_ambiguous.png - child: bounding box', 'http://object-naming-amore.upf.edu//2364594_2581620_singleton_obj.png - msutard: 1.0', ""http://object-naming-amore.upf.edu//2355060_833206_supercat_ambiguous.png - child: ['child', 'kid']"", ""http://object-naming-amore.upf.edu//2355060_833206_supercat_ambiguous.png - giselle: ['boy', 'giselle']""]",4
3EJPLAJKEMGPGP15RIJSX4A7CX56ZB,0.5540540540540541,2.5405405405405403,0.8,0.736842105263158,A2TR2EBULKKPB4,approve,,True,False,"['http://object-naming-amore.upf.edu//2384406_1309841_supercat_unique.png - bed: bounding box', ""http://object-naming-amore.upf.edu//2364594_2581620_singleton_obj.png - msutard: ['msutard']"", ""http://object-naming-amore.upf.edu//2384406_1309841_supercat_unique.png - bopk: ['bopk']""]",3
3F1567XTNW53KG2C2T3RQLP5XXZ9Q6,0.7297297297297297,0.8108108108108109,1.0,0.7894736842105263,AJUZYAG2S5TY2,approve,bonus,True,True,[],0
3F6KKYWMNB1UK921YHGC8NDQI3UND8,0.4166666666666667,0.9444444444444444,1.0,0.7142857142857143,ALM8YFO0272UR,approve,bonus,True,True,[],0
3FDJT1UU748Y8Q25MY6DIJ8UCVP5KK,0.581081081081081,0.21621621621621626,0.8666666666666667,0.7894736842105263,AJUZYAG2S5TY2,approve,,True,False,"['http://object-naming-amore.upf.edu//2384406_1309841_supercat_unique.png - bed: bounding box', ""http://object-naming-amore.upf.edu//2364594_2581620_singleton_obj.png - msutard: ['msutard']""]",2
3FQ5JJ512LO2YF8BQY2ZC08G3I5KN9,0.5555555555555556,1.0555555555555556,1.0,0.7142857142857143,A3FY6THWKRYN9M,approve,bonus,True,True,[],0
3FTOP5WARFO42ZAM770P09CQG1UJ00,0.4189189189189189,0.4864864864864865,0.9285714285714286,0.7777777777777778,A2NRSUF685TEXV,approve,,True,False,['http://object-naming-amore.upf.edu//2355060_833206_supercat_ambiguous.png - child: 1.0'],1
3IJXV6UZ1XJW7IAFJ2Y484YDB48RIH,0.7432432432432432,1.891891891891892,0.8461538461538461,0.7647058823529411,ALV4DAF8DIJ37,approve,,True,False,"[""http://object-naming-amore.upf.edu//2365794_2346707_singleton_obj.png - apia: ['apia', 'bed']"", ""http://object-naming-amore.upf.edu//2375426_2950862_singleton_obj.png - handsaw: ['woman', 'handsaw']""]",2
