,hitid,assignmentid,workerid,image,object,name,rating,type,color,image_url,same_color,control_type,correct1,correct2
0,30Z7M1Q8UYK8XBESI3VQC5J18BSA8Y,3NGMS9VZTLIFU13GRZSPOI72TSQFFD,A1B68E1R8PO9SS,2345825,1862256,chili,1.0,,10,http://object-naming-amore.upf.edu//2345825_1862256_supercat_ambiguous.png,"['chili', 'sauce', 'toppings', 'food', 'cheese']",,,
1,30Z7M1Q8UYK8XBESI3VQC5J18BSA8Y,3NGMS9VZTLIFU13GRZSPOI72TSQFFD,A1B68E1R8PO9SS,2345825,1862256,sauce,1.0,,10,http://object-naming-amore.upf.edu//2345825_1862256_supercat_ambiguous.png,"['chili', 'sauce', 'toppings', 'food', 'cheese']",,,
2,30Z7M1Q8UYK8XBESI3VQC5J18BSA8Y,3NGMS9VZTLIFU13GRZSPOI72TSQFFD,A1B68E1R8PO9SS,2345825,1862256,toppings,1.0,,10,http://object-naming-amore.upf.edu//2345825_1862256_supercat_ambiguous.png,"['chili', 'sauce', 'toppings', 'food', 'cheese']",,,
3,30Z7M1Q8UYK8XBESI3VQC5J18BSA8Y,3NGMS9VZTLIFU13GRZSPOI72TSQFFD,A1B68E1R8PO9SS,2345825,1862256,chili dog,0.5,bounding box,8,http://object-naming-amore.upf.edu//2345825_1862256_supercat_ambiguous.png,"['chili dog', 'hotdog', 'chilidog', 'chkli dog']",,,
4,30Z7M1Q8UYK8XBESI3VQC5J18BSA8Y,3NGMS9VZTLIFU13GRZSPOI72TSQFFD,A1B68E1R8PO9SS,2345825,1862256,hotdog,0.5,bounding box,8,http://object-naming-amore.upf.edu//2345825_1862256_supercat_ambiguous.png,"['chili dog', 'hotdog', 'chilidog', 'chkli dog']",,,
5,30Z7M1Q8UYK8XBESI3VQC5J18BSA8Y,3NGMS9VZTLIFU13GRZSPOI72TSQFFD,A1B68E1R8PO9SS,2404559,3814915,animal,1.0,,6,http://object-naming-amore.upf.edu//2404559_3814915_singleton_obj.png,"['animal', 'buffalo', 'yak', 'bfufalo', 'bison', 'bull', 'cow']",,,
6,30Z7M1Q8UYK8XBESI3VQC5J18BSA8Y,3NGMS9VZTLIFU13GRZSPOI72TSQFFD,A1B68E1R8PO9SS,2375426,2950862,pant,0.0,bounding box,1,http://object-naming-amore.upf.edu//2375426_2950862_singleton_obj.png,['pant'],,,
7,30Z7M1Q8UYK8XBESI3VQC5J18BSA8Y,3NGMS9VZTLIFU13GRZSPOI72TSQFFD,A1B68E1R8PO9SS,2345825,1862256,guider,0.5,bounding box,2,http://object-naming-amore.upf.edu//2345825_1862256_supercat_ambiguous.png,"['guider', 'plate']",random,,0.0
8,30Z7M1Q8UYK8XBESI3VQC5J18BSA8Y,3NGMS9VZTLIFU13GRZSPOI72TSQFFD,A1B68E1R8PO9SS,2404559,3814915,buffalo,1.0,,6,http://object-naming-amore.upf.edu//2404559_3814915_singleton_obj.png,"['animal', 'buffalo', 'yak', 'bfufalo', 'bison', 'bull', 'cow']",,,
9,30Z7M1Q8UYK8XBESI3VQC5J18BSA8Y,3NGMS9VZTLIFU13GRZSPOI72TSQFFD,A1B68E1R8PO9SS,2375426,2950862,guy,1.0,,6,http://object-naming-amore.upf.edu//2375426_2950862_singleton_obj.png,"['guy', 'man', 'person']",,,
10,30Z7M1Q8UYK8XBESI3VQC5J18BSA8Y,3NGMS9VZTLIFU13GRZSPOI72TSQFFD,A1B68E1R8PO9SS,2345825,1862256,plate,0.5,bounding box,2,http://object-naming-amore.upf.edu//2345825_1862256_supercat_ambiguous.png,"['guider', 'plate']",,,
11,30Z7M1Q8UYK8XBESI3VQC5J18BSA8Y,3NGMS9VZTLIFU13GRZSPOI72TSQFFD,A1B68E1R8PO9SS,2404559,3814915,yak,1.0,,6,http://object-naming-amore.upf.edu//2404559_3814915_singleton_obj.png,"['animal', 'buffalo', 'yak', 'bfufalo', 'bison', 'bull', 'cow']",,,
12,30Z7M1Q8UYK8XBESI3VQC5J18BSA8Y,3NGMS9VZTLIFU13GRZSPOI72TSQFFD,A1B68E1R8PO9SS,2375426,2950862,t-shirt,0.0,bounding box,2,http://object-naming-amore.upf.edu//2375426_2950862_singleton_obj.png,['t-shirt'],,,
13,30Z7M1Q8UYK8XBESI3VQC5J18BSA8Y,3NGMS9VZTLIFU13GRZSPOI72TSQFFD,A1B68E1R8PO9SS,2357516,811425,truck,1.0,,4,http://object-naming-amore.upf.edu//2357516_811425_singleton_obj.png,"['truck', 'vehicle', 'car']",,,
14,30Z7M1Q8UYK8XBESI3VQC5J18BSA8Y,3NGMS9VZTLIFU13GRZSPOI72TSQFFD,A1B68E1R8PO9SS,2345825,1862256,chilidog,0.5,bounding box,8,http://object-naming-amore.upf.edu//2345825_1862256_supercat_ambiguous.png,"['chili dog', 'hotdog', 'chilidog', 'chkli dog']",,,
15,30Z7M1Q8UYK8XBESI3VQC5J18BSA8Y,3NGMS9VZTLIFU13GRZSPOI72TSQFFD,A1B68E1R8PO9SS,2404559,3814915,bfufalo,1.0,,6,http://object-naming-amore.upf.edu//2404559_3814915_singleton_obj.png,"['animal', 'buffalo', 'yak', 'bfufalo', 'bison', 'bull', 'cow']",typo-buffalo,,1.0
16,30Z7M1Q8UYK8XBESI3VQC5J18BSA8Y,3NGMS9VZTLIFU13GRZSPOI72TSQFFD,A1B68E1R8PO9SS,2375426,2950862,man,1.0,,6,http://object-naming-amore.upf.edu//2375426_2950862_singleton_obj.png,"['guy', 'man', 'person']",,,
17,30Z7M1Q8UYK8XBESI3VQC5J18BSA8Y,3NGMS9VZTLIFU13GRZSPOI72TSQFFD,A1B68E1R8PO9SS,2357516,811425,mirror,0.5,bounding box,2,http://object-naming-amore.upf.edu//2357516_811425_singleton_obj.png,['mirror'],,,
18,30Z7M1Q8UYK8XBESI3VQC5J18BSA8Y,3NGMS9VZTLIFU13GRZSPOI72TSQFFD,A1B68E1R8PO9SS,2365794,2346707,apia,0.0,other,-1,http://object-naming-amore.upf.edu//2365794_2346707_singleton_obj.png,['apia'],random,1.0,1.0
19,30Z7M1Q8UYK8XBESI3VQC5J18BSA8Y,3NGMS9VZTLIFU13GRZSPOI72TSQFFD,A1B68E1R8PO9SS,2345825,1862256,food,1.0,,10,http://object-naming-amore.upf.edu//2345825_1862256_supercat_ambiguous.png,"['chili', 'sauce', 'toppings', 'food', 'cheese']",,,
20,30Z7M1Q8UYK8XBESI3VQC5J18BSA8Y,3NGMS9VZTLIFU13GRZSPOI72TSQFFD,A1B68E1R8PO9SS,2404559,3814915,bison,1.0,,6,http://object-naming-amore.upf.edu//2404559_3814915_singleton_obj.png,"['animal', 'buffalo', 'yak', 'bfufalo', 'bison', 'bull', 'cow']",,,
21,30Z7M1Q8UYK8XBESI3VQC5J18BSA8Y,3NGMS9VZTLIFU13GRZSPOI72TSQFFD,A1B68E1R8PO9SS,2375426,2950862,woman,0.0,visual,0,http://object-naming-amore.upf.edu//2375426_2950862_singleton_obj.png,['woman'],,,
