assignmentid,rating_mean,color_mean,n_annotations,correct1_count,correct1_sum,correct2_count,correct2_sum,correct3_count,correct3_sum,correct3_<lambda>,control_score,control_score-filtered,n_controls,n_correct,n_controls-filtered,hitid,requesterannotation,control_score_mturk,workerid,errors_mturk,n_controls_mturk,n_correct_mturk,decision1,decision2,executed1,executed2,explanation,mistakes,n_mistakes
3PS7W85Z8Z2GCWU4JXXMVQ0SJO4T9G,0.6,1.0,30,14,14.0,7,7.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,21,21.0,21,3LCXHSGDLT6T68ADC63HPF9T52PESP,../1_pre-pilot/verification_round2_amt.csv_1087,1.0,worker0,[''],21,21,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3KXIR214I4GLVRUFJNHZDVGMXJA420,0.6666666666666666,0.4,30,15,12.0,10,9.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.84,0.875,25,21.0,24,37YYO3NWHDQY2T13JT7MKM58YNQCC0,../1_pre-pilot/verification_round2_amt.csv_1067,0.84,worker0,"['0-0-rand1', '5-0-pos0', '6-3-pos0', '6-5-0-rand2']",25,21,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2409952_229526_singleton_obj.png - bed: must be vg_majority; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//150379_1038399_singleton_obj.png - airplane: must be vg_majority; you said 'bounding box error'"", ""http://object-naming-amore.upf.edu//2379577_1356290_singleton_obj.png - liver: must be 'other'; you said 'bounding box error'"", ""http://object-naming-amore.upf.edu//2409952_229526_singleton_obj.png - wc: you erroneously gave this the same color as ['table', 'wc', 'stretcher', 'bed', 'chair', 'exam table', 'hospital bed']""]",4
3VP0C6EFSGWPHI2MCTTYP2EYZFXM6U,0.6333333333333333,1.0,30,15,14.0,8,8.0,1,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.9583333333333334,0.9583333333333334,24,23.0,24,385MDVINFCFUO5DEACO9JKP6GNHJWU,../1_pre-pilot/verification_round2_amt.csv_1077,0.9583333333333334,worker0,['3-1-pos0'],24,23,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//713573_3796660_supercat_unique.png - desk: must be vg_majority; you said 'bounding box error'""]",1
3JW0YLFXRTGJG9B67DCPWUF2LJKWWC,0.5,0.6333333333333333,30,14,12.0,7,6.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.8571428571428571,0.9473684210526315,21,18.0,19,3VDVA3ILIDFRW27A5IELTH7WSIUG1R,../1_pre-pilot/verification_round2_amt.csv_782,0.8571428571428572,worker0,"['2-1-alt0', '2-1-alt2', '3-3-rand1']",21,18,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2337177_2981914_supercat_unique.png - platter: must be 'other'; you said 'bounding box error'"", ""http://object-naming-amore.upf.edu//2352795_2465040_singleton_obj.png - animal: must be 'bounding box error'; you said 'adequate'"", ""http://object-naming-amore.upf.edu//2352795_2465040_singleton_obj.png - animal: you erroneously gave this the same color as ['cat', 'animal', 'dog']""]",3
3YHH42UU5BFAXPYMASC2GOPIM7SL0X,0.5333333333333333,0.03333333333333333,30,17,17.0,10,10.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",1.0,1.0,27,27.0,27,3XU80RHWHZGSCLB9XZVMIQHWEXT443,../1_pre-pilot/verification_round2_amt.csv_747,1.0,worker0,[''],27,27,approve,bonus,False,False,"good enough assignment, bonus because very good assignment",[],0
3TVSS0C0E10ROS7CC87E9A83HPNTW4,0.6666666666666666,0.5333333333333333,30,16,15.0,9,8.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.92,0.9583333333333334,25,23.0,24,3MDKGGG61QNQ8TUDVOP9NWD2QNF6TL,../1_pre-pilot/verification_round2_amt.csv_698,0.92,worker0,"['6-4-bold-jacket0', '6-4-bold-jacket1']",25,23,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2354643_3572368_seed_ambiguous.png - cap: must be syn; you said 'bounding box error'"", ""http://object-naming-amore.upf.edu//2354643_3572368_seed_ambiguous.png - cap: you erroneously gave this the same color as ['cap']""]",2
3AWETUDC92S599W6TJSHU70CNASIZJ,0.5,0.3,30,15,13.0,8,7.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.8695652173913043,0.9523809523809523,23,20.0,21,3YD0MU1NC214XX998Y3KY5N6X9HA76,../1_pre-pilot/verification_round2_amt.csv_800,0.8695652173913043,worker0,"['0-2-rand1', '4-2-bold-bike0', '4-2-bold-bike1']",23,20,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2371770_2502832_singleton_obj.png - wheel: must be syn; you said 'bounding box error'"", ""http://object-naming-amore.upf.edu//2381353_705379_singleton_obj.png - brige: must be 'other'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2371770_2502832_singleton_obj.png - wheel: you erroneously gave this the same color as ['wheel']""]",3
39GHHAVOMFRL1NSNQ8NRCC23ZUZJ45,0.5666666666666667,0.2,30,14,13.0,7,6.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.9047619047619048,0.9047619047619048,21,19.0,21,3ZFRE2BDQ9EZDKN823NH9XR38N0ZXO,../1_pre-pilot/verification_round2_amt.csv_727,0.9047619047619048,worker0,"['0-1-rand1', '0-1-0-rand2']",21,19,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2374244_2075560_singleton_obj.png - finnial: must be 'other'; you said linguistic"", ""http://object-naming-amore.upf.edu//2374244_2075560_singleton_obj.png - finnial: you erroneously gave this the same color as ['horse', 'finnial', 'animal']""]",2
33ISQZVXPPM1ODZW9VCN861W1N6CCW,0.5,0.2,30,13,11.0,7,6.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.85,0.8947368421052632,20,17.0,19,3KQC8JMJGCS161G0CSAM2AYU52IH3G,../1_pre-pilot/verification_round2_amt.csv_1092,0.85,worker0,"['2-2-rand1', '2-2-0-rand2', '4-0-rand1']",20,17,approve,,False,False,good enough assignment,"[""http://object-naming-amore.upf.edu//2393095_1222974_singleton_obj.png - trike: must be 'other'; you said linguistic"", ""http://object-naming-amore.upf.edu//2356931_1732068_supercat_unique.png - bouqet: must be 'other'; you said 'named object misinterpreted'"", ""http://object-naming-amore.upf.edu//2393095_1222974_singleton_obj.png - trike: you erroneously gave this the same color as ['car', 'trike', 'truck', 'pick up truck']""]",3
3T3IWE1XG6NM4VBQ0Z88HLQHTOAQT1,0.5,0.5333333333333333,30,15,14.0,8,7.0,0,0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.9130434782608695,1.0,23,21.0,21,3D06DR5225JNI0GWC459HNKWSY9MAQ,../1_pre-pilot/verification_round2_amt.csv_1095,0.9130434782608696,worker0,"['3-0-alt0', '3-0-alt2']",23,21,approve,bonus,False,False,"good enough assignment, bonus because very good assignment","[""http://object-naming-amore.upf.edu//2412889_3802544_singleton_obj.png - grain: must be 'bounding box error'; you said 'adequate'"", ""http://object-naming-amore.upf.edu//2412889_3802544_singleton_obj.png - grain: you erroneously gave this the same color as ['rice', 'food', 'grain']""]",2
