,hitid,requesterannotation,assignmentid,workerid,image,object,name,rating,type,color,image_url,names,same_color,colors,control_type,correct1,correct2,correct3,correct3_explanation,reliable1,reliable2,correct1-filtered,correct2-filtered,correct3-filtered
0,3MDWE879UH2DUQ2UT9107CYIA4E9BA,../1_pre-pilot/verification_pilot_amt.csv_14,36ZN444YTRYTA5IZRAH0E9T812TIOB,worker0,2345735,905140,meal,0,,0,http://object-naming-amore.upf.edu//2345735_905140_supercat_unique.png,"['hot dog and fries', 'hotdog', 'plate', 'sandwich', 'food', 'bun', 'meat', 'meal']","['meal', 'food', 'hot dog and fries']","{'hot dog and fries': 1, 'hotdog': 0, 'plate': 0, 'sandwich': 0, 'food': 1, 'bun': 0, 'meat': 0, 'meal': 1}",,,,,,False,False,,,
1,3MDWE879UH2DUQ2UT9107CYIA4E9BA,../1_pre-pilot/verification_pilot_amt.csv_14,36ZN444YTRYTA5IZRAH0E9T812TIOB,worker0,2345735,905140,meat,2,other,5,http://object-naming-amore.upf.edu//2345735_905140_supercat_unique.png,"['hot dog and fries', 'hotdog', 'plate', 'sandwich', 'food', 'bun', 'meat', 'meal']",['meat'],"{'hot dog and fries': 0, 'hotdog': 0, 'plate': 0, 'sandwich': 0, 'food': 0, 'bun': 0, 'meat': 1, 'meal': 0}",alternative,1.0,,,,True,False,1.0,,
2,3MDWE879UH2DUQ2UT9107CYIA4E9BA,../1_pre-pilot/verification_pilot_amt.csv_14,36ZN444YTRYTA5IZRAH0E9T812TIOB,worker0,2345735,905140,bun,2,other,4,http://object-naming-amore.upf.edu//2345735_905140_supercat_unique.png,"['hot dog and fries', 'hotdog', 'plate', 'sandwich', 'food', 'bun', 'meat', 'meal']",['bun'],"{'hot dog and fries': 0, 'hotdog': 0, 'plate': 0, 'sandwich': 0, 'food': 0, 'bun': 1, 'meat': 0, 'meal': 0}",,,,,,False,False,,,
3,3MDWE879UH2DUQ2UT9107CYIA4E9BA,../1_pre-pilot/verification_pilot_amt.csv_14,36ZN444YTRYTA5IZRAH0E9T812TIOB,worker0,2363753,2630772,crouton,2,visual,3,http://object-naming-amore.upf.edu//2363753_2630772_singleton_obj.png,"['bike', 'truck', 'wheel', 'vehicle', 'car', 'crouton']",['crouton'],"{'bike': 0, 'truck': 0, 'wheel': 0, 'vehicle': 0, 'car': 0, 'crouton': 1}",random,0.0,1.0,,,False,True,,1.0,
4,3MDWE879UH2DUQ2UT9107CYIA4E9BA,../1_pre-pilot/verification_pilot_amt.csv_14,36ZN444YTRYTA5IZRAH0E9T812TIOB,worker0,2345735,905140,food,0,,0,http://object-naming-amore.upf.edu//2345735_905140_supercat_unique.png,"['hot dog and fries', 'hotdog', 'plate', 'sandwich', 'food', 'bun', 'meat', 'meal']","['meal', 'food', 'hot dog and fries']","{'hot dog and fries': 1, 'hotdog': 0, 'plate': 0, 'sandwich': 0, 'food': 1, 'bun': 0, 'meat': 0, 'meal': 1}",,,,,,False,False,,,
5,3MDWE879UH2DUQ2UT9107CYIA4E9BA,../1_pre-pilot/verification_pilot_amt.csv_14,36ZN444YTRYTA5IZRAH0E9T812TIOB,worker0,2363753,2630772,car,2,other,0,http://object-naming-amore.upf.edu//2363753_2630772_singleton_obj.png,"['bike', 'truck', 'wheel', 'vehicle', 'car', 'crouton']","['car', 'vehicle', 'truck']","{'bike': 0, 'truck': 1, 'wheel': 0, 'vehicle': 1, 'car': 1, 'crouton': 0}",,,,,,False,False,,,
6,3MDWE879UH2DUQ2UT9107CYIA4E9BA,../1_pre-pilot/verification_pilot_amt.csv_14,36ZN444YTRYTA5IZRAH0E9T812TIOB,worker0,2388889,1265919,bread,2,bounding box,0,http://object-naming-amore.upf.edu//2388889_1265919_supercat_unique.png,"['bun', 'hand', 'colla', 'hotdog', 'bread']","['bread', 'bun']","{'bun': 1, 'hand': 0, 'colla': 0, 'hotdog': 0, 'bread': 1}",,,,1.0,,False,False,,,1.0
7,3MDWE879UH2DUQ2UT9107CYIA4E9BA,../1_pre-pilot/verification_pilot_amt.csv_14,36ZN444YTRYTA5IZRAH0E9T812TIOB,worker0,2345735,905140,sandwich,1,other,3,http://object-naming-amore.upf.edu//2345735_905140_supercat_unique.png,"['hot dog and fries', 'hotdog', 'plate', 'sandwich', 'food', 'bun', 'meat', 'meal']",['sandwich'],"{'hot dog and fries': 0, 'hotdog': 0, 'plate': 0, 'sandwich': 1, 'food': 0, 'bun': 0, 'meat': 0, 'meal': 0}",,,,,,False,False,,,
8,3MDWE879UH2DUQ2UT9107CYIA4E9BA,../1_pre-pilot/verification_pilot_amt.csv_14,36ZN444YTRYTA5IZRAH0E9T812TIOB,worker0,2363753,2630772,vehicle,0,,0,http://object-naming-amore.upf.edu//2363753_2630772_singleton_obj.png,"['bike', 'truck', 'wheel', 'vehicle', 'car', 'crouton']","['car', 'vehicle', 'truck']","{'bike': 0, 'truck': 1, 'wheel': 0, 'vehicle': 1, 'car': 1, 'crouton': 0}",,,,,,False,False,,,
9,3MDWE879UH2DUQ2UT9107CYIA4E9BA,../1_pre-pilot/verification_pilot_amt.csv_14,36ZN444YTRYTA5IZRAH0E9T812TIOB,worker0,2388889,1265919,hotdog,2,bounding box,3,http://object-naming-amore.upf.edu//2388889_1265919_supercat_unique.png,"['bun', 'hand', 'colla', 'hotdog', 'bread']",['hotdog'],"{'bun': 0, 'hand': 0, 'colla': 0, 'hotdog': 1, 'bread': 0}",,,,1.0,,False,False,,,1.0
