items,quality_control
"[['http://object-naming-amore.upf.edu//2319579_3417037_singleton_obj.png', ['wall', 'horse', 'shirt']], ['http://object-naming-amore.upf.edu//2409259_245568_singleton_obj.png', ['preson', 'person', 'man']], ['http://object-naming-amore.upf.edu//2393366_473031_supercat_unique.png', ['dog', 'boat', 'at']], ['http://object-naming-amore.upf.edu//2338117_2901168_supercat_unique.png', ['suit', 'food', 'pizza', 'plate']], ['http://object-naming-amore.upf.edu//2386031_1290124_supercat_unique.png', ['pot', 'vase', 'planter', 'flower pot', 'floer pot']], ['http://object-naming-amore.upf.edu//2357649_3016538_seed_ambiguous.png', ['person', 'head', 'tie', 'menen', 'man']], ['http://object-naming-amore.upf.edu//2388789_670692_supercat_unique.png', ['hoodie', 'sweater', 'shirt', 'jacket', 'nlock', 'donut']]]","['7b2277616c6c223a20227365726966222c2022686f727365223a2022617269616c227d', '7b22707265736f6e223a202273616e732d706572736f6e222c20226d616e223a2022617269616c227d', '7b226174223a2022636f7572696572222c2022626f6174223a2022617269616c227d', '7b2273756974223a2022636f7572696572222c202270697a7a61223a2022617269616c227d', '7b22666c6f657220706f74223a202273616e732d666c6f77657220706f74222c2022706f74223a2022617269616c227d', '7b226d656e656e223a2022636f7572696572222c20226d616e223a2022617269616c227d', '7b226e6c6f636b223a2022636f7572696572222c20226a61636b6574223a2022617269616c227d']"
"[['http://object-naming-amore.upf.edu//2353818_842919_singleton_obj.png', ['shhip', 'ship', 'boat']], ['http://object-naming-amore.upf.edu//2395399_454983_singleton_obj.png', ['bus', 'train', 'light']], ['http://object-naming-amore.upf.edu//2340496_3246761_supercat_unique.png', ['t-shirt', 'logo', 'shirt']], ['http://object-naming-amore.upf.edu//2333572_2722156_supercat_unique.png', ['sofa', 'couch', 'futon', 'laptop']], ['http://object-naming-amore.upf.edu//2322693_3275664_singleton_obj.png', ['person', 'skier', 'man', 'ground', 'snowboarder']], ['http://object-naming-amore.upf.edu//2415042_147166_supercat_ambiguous.png', ['van', 'trunk', 'hatchback', 'poem', 'hatch']], ['http://object-naming-amore.upf.edu//2359544_792579_singleton_obj.png', ['jacket', 'guy', 'man', 'person', 't-shirt', 'shiny']]]","['7b227368686970223a202273616e732d73686970222c2022626f6174223a2022617269616c227d', '7b226c69676874223a20227365726966222c2022747261696e223a2022617269616c227d', '7b226c6f676f223a20227365726966222c20227368697274223a2022617269616c227d', '7b226c6170746f70223a20227365726966222c2022636f756368223a2022617269616c222c2022736f6661223a2022626f6c642d636f756368227d', '7b2267726f756e64223a20227365726966222c20226d616e223a2022617269616c227d', '7b22706f656d223a2022636f7572696572227d', '7b227368696e79223a2022636f7572696572222c20226d616e223a2022617269616c227d']"
"[['http://object-naming-amore.upf.edu//2320156_995662_supercat_unique.png', ['lamb', 'grass', 'sheep']], ['http://object-naming-amore.upf.edu//2399332_1170437_singleton_obj.png', ['subwqy', 'subway', 'train']], ['http://object-naming-amore.upf.edu//713593_1586198_seed_ambiguous.png', ['visa', 'boy', 'chair']], ['http://object-naming-amore.upf.edu//2414687_153882_supercat_ambiguous.png', ['hat', 'window', 'cap', 'beanie']], ['http://object-naming-amore.upf.edu//2382381_1329001_singleton_obj.png', ['man', 'skateboarder', 'sktaeboarder', 'shoe', 'skater']], ['http://object-naming-amore.upf.edu//2337936_2041252_singleton_obj.png', ['pillow', 'sofa', 'abdomen', 'chair', 'couch']], ['http://object-naming-amore.upf.edu//2382739_1326547_singleton_obj.png', ['snacks', 'spot', 'counter', 'food', 'banana', 'table']]]","['7b226772617373223a20227365726966222c20227368656570223a2022617269616c227d', '7b22737562777179223a202273616e732d737562776179222c2022747261696e223a2022617269616c227d', '7b2276697361223a2022636f7572696572222c20226368616972223a2022617269616c227d', '7b2277696e646f77223a20227365726966222c2022686174223a2022617269616c227d', '7b22736b746165626f6172646572223a202273616e732d736b617465626f6172646572222c20226d616e223a2022617269616c227d', '7b226162646f6d656e223a2022636f7572696572222c2022636f756368223a2022617269616c222c2022736f6661223a2022626f6c642d636f756368227d', '7b2273706f74223a20227365726966222c20227461626c65223a2022617269616c227d']"
"[['http://object-naming-amore.upf.edu//2375933_2395999_singleton_obj.png', ['tie', 'necktie', 'nectie']], ['http://object-naming-amore.upf.edu//2404645_340024_supercat_unique.png', ['jackte', 'shirt', 'jacket']], ['http://object-naming-amore.upf.edu//2350358_2008007_singleton_obj.png', ['light', 'pillow', 'bed']], ['http://object-naming-amore.upf.edu//2368580_617163_seed_ambiguous.png', ['sofa', 'shoe', 'chair', 'chhair']], ['http://object-naming-amore.upf.edu//2335763_3667054_singleton_obj.png', ['food', 'broccoli', 'bowl', 'plate', 'dish']], ['http://object-naming-amore.upf.edu//2407879_271995_singleton_obj.png', ['vehicle', 'wheel', 'truck', 'cricles', 'bus']], ['http://object-naming-amore.upf.edu//2378759_1365136_supercat_unique.png', ['hoodie', 'swetashirt', 'man', 'sweatshirt', 'person', 'jacket']]]","['7b226e6563746965223a202273616e732d6e65636b746965222c2022746965223a2022617269616c222c20226e65636b746965223a2022626f6c642d746965227d', '7b226a61636b7465223a202273616e732d6a61636b6574222c20226a61636b6574223a2022617269616c227d', '7b226c69676874223a20227365726966222c2022626564223a2022617269616c227d', '7b22636868616972223a202273616e732d6368616972222c20226368616972223a2022617269616c227d', '7b2262726f63636f6c69223a20227365726966222c2022626f776c223a2022617269616c227d', '7b22637269636c6573223a2022636f7572696572222c2022747275636b223a2022617269616c227d', '7b2273776574617368697274223a202273616e732d73776561747368697274222c20226a61636b6574223a2022617269616c227d']"
"[['http://object-naming-amore.upf.edu//2327465_3521736_seed_ambiguous.png', ['sailboat', 'island', 'boat']], ['http://object-naming-amore.upf.edu//2417905_3061676_singleton_obj.png', ['handing', 'bangle', 'dress']], ['http://object-naming-amore.upf.edu//2360165_3048261_singleton_obj.png', ['vehiclees', 'train', 'vehicles']], ['http://object-naming-amore.upf.edu//2336705_2544715_seed_ambiguous.png', ['bowl', 'curtain', 'moldig', 'banana']], ['http://object-naming-amore.upf.edu//2378819_1364229_singleton_obj.png', ['motorbike', 'pointed', 'bike', 'wheel', 'motorcycle']], ['http://object-naming-amore.upf.edu//2362767_1762483_singleton_obj.png', ['table', 'counter', 'food', 'donut', 'snacks']], ['http://object-naming-amore.upf.edu//2410853_1084991_singleton_obj.png', ['chair', 'seat', 'bench', 'seats', 'chairs', 'chaifs']]]","['7b2269736c616e64223a20227365726966222c2022626f6174223a2022617269616c227d', '7b2268616e64696e67223a2022636f7572696572222c20226472657373223a2022617269616c227d', '7b2276656869636c656573223a202273616e732d76656869636c6573222c2022747261696e223a2022617269616c227d', '7b226d6f6c646967223a2022636f7572696572222c20226375727461696e223a2022617269616c227d', '7b22706f696e746564223a2022636f7572696572222c20226d6f746f726379636c65223a2022617269616c222c20226d6f746f7262696b65223a2022626f6c642d6d6f746f726379636c65227d', '7b22646f6e7574223a20227365726966222c20227461626c65223a2022617269616c227d', '7b22636861696673223a202273616e732d636861697273222c20226368616972223a2022617269616c222c202273656174223a2022626f6c642d7365617473227d']"
"[['http://object-naming-amore.upf.edu//2393380_472852_singleton_obj.png', ['plane', 'propeller', 'airplane']], ['http://object-naming-amore.upf.edu//2411189_1081920_singleton_obj.png', ['chick', 'bird', 'biird']], ['http://object-naming-amore.upf.edu//2362627_772636_singleton_obj.png', ['sandwich', 'sanndwich', 'burger']], ['http://object-naming-amore.upf.edu//2396357_445317_singleton_obj.png', ['salad', 'bowl', 'food', 'oryx']], ['http://object-naming-amore.upf.edu//2364065_2526938_singleton_obj.png', ['motorbike', 'wheel', 'bike', 'tarnish', 'motorcycle']], ['http://object-naming-amore.upf.edu//2326415_3939624_supercat_unique.png', ['t-shirt', 'jacuzzi', 'woman', 'dress', 'person']], ['http://object-naming-amore.upf.edu//2409422_242106_singleton_obj.png', ['ski lift', 'snoow', 'mountain', 'snow', 'slope', 'resort']]]","['7b2270726f70656c6c6572223a20227365726966222c2022616972706c616e65223a2022617269616c222c2022706c616e65223a2022626f6c642d616972706c616e65227d', '7b226269697264223a202273616e732d62697264222c2022636869636b223a2022626f6c642d62697264227d', '7b2273616e6e6477696368223a202273616e732d73616e6477696368222c202273616e6477696368223a2022617269616c227d', '7b226f727978223a2022636f7572696572222c2022626f776c223a2022617269616c227d', '7b227461726e697368223a2022636f7572696572222c20226d6f746f726379636c65223a2022617269616c222c20226d6f746f7262696b65223a2022626f6c642d6d6f746f726379636c65227d', '7b226a6163757a7a69223a2022636f7572696572222c2022776f6d616e223a2022617269616c227d', '7b22736e6f6f77223a202273616e732d736e6f77227d']"
"[['http://object-naming-amore.upf.edu//2386032_684355_supercat_unique.png', ['book', 'hand', 'dog']], ['http://object-naming-amore.upf.edu//2401721_396579_singleton_obj.png', ['food', 'pizza', 'flower']], ['http://object-naming-amore.upf.edu//2340351_947916_singleton_obj.png', ['car', 'truck', 'mouth']], ['http://object-naming-amore.upf.edu//2364731_639347_supercat_unique.png', ['cap', 't-shirt', 'shirt', 'jersey']], ['http://object-naming-amore.upf.edu//2368723_745183_supercat_unique.png', ['shoe', 'wheel', 'chair', 'eyes', 'wheelchair']], ['http://object-naming-amore.upf.edu//2392443_1230042_supercat_unique.png', ['shirt', 'person', 'woman', 'woan', 'man']], ['http://object-naming-amore.upf.edu//2404107_378564_singleton_obj.png', ['sink', 'bathroom sink', 'countertop', 'bath room counter', 'counter', 'mouths']]]","['7b2268616e64223a20227365726966222c2022646f67223a2022617269616c227d', '7b22666c6f776572223a20227365726966222c202270697a7a61223a2022617269616c227d', '7b226d6f757468223a2022636f7572696572222c2022747275636b223a2022617269616c227d', '7b22636170223a20227365726966222c20227368697274223a2022617269616c222c2022742d7368697274223a2022626f6c642d6a6572736579227d', '7b2265796573223a20227365726966222c2022776865656c6368616972223a2022617269616c227d', '7b22776f616e223a202273616e732d776f6d616e222c2022776f6d616e223a2022617269616c227d', '7b226d6f75746873223a2022636f7572696572222c2022636f756e746572223a2022617269616c227d']"
"[['http://object-naming-amore.upf.edu//2319810_998580_singleton_obj.png', ['food', 'pizza', 'pizaz']], ['http://object-naming-amore.upf.edu//2319589_1000635_singleton_obj.png', ['rocks', 'person', 'man']], ['http://object-naming-amore.upf.edu//2355866_825774_supercat_unique.png', ['bridge', 'train', 'water']], ['http://object-naming-amore.upf.edu//2365845_2362537_singleton_obj.png', ['plate', 'food', 'slice', 'table']], ['http://object-naming-amore.upf.edu//2383312_1321883_supercat_unique.png', ['cap', 't-shirt', 'building', 'roku', 'house']], ['http://object-naming-amore.upf.edu//2363629_1942598_singleton_obj.png', ['woman', 'person', 'shirt', 'bear', 'face']], ['http://object-naming-amore.upf.edu//2401642_397363_singleton_obj.png', ['woman', 'skirt', 'person', 'player', 'tennis player', 'girl']]]","['7b2270697a617a223a202273616e732d70697a7a61222c202270697a7a61223a2022617269616c227d', '7b22726f636b73223a20227365726966222c20226d616e223a2022617269616c227d', '7b227761746572223a20227365726966222c2022627269646765223a2022617269616c227d', '7b22736c696365223a20227365726966222c20227461626c65223a2022617269616c227d', '7b22726f6b75223a2022636f7572696572222c2022686f757365223a2022617269616c227d', '7b2266616365223a20227365726966227d', '7b22736b697274223a20227365726966222c2022776f6d616e223a2022617269616c227d']"
"[['http://object-naming-amore.upf.edu//2349781_2351406_seed_ambiguous.png', ['sheep', 'goat', 'shedp']], ['http://object-naming-amore.upf.edu//2363670_763150_seed_ambiguous.png', ['houuse', 'house', 'building']], ['http://object-naming-amore.upf.edu//2350672_3592648_singleton_obj.png', ['pizza', 'youtube', 'food']], ['http://object-naming-amore.upf.edu//2349996_3595876_supercat_unique.png', ['table', 'food', 'fence', 'counter']], ['http://object-naming-amore.upf.edu//2413349_3800745_supercat_unique.png', ['t-shirt', 'dress', 'sofa', 'couch', 'bookshelf']], ['http://object-naming-amore.upf.edu//2359083_3540265_seed_ambiguous.png', ['man', 'person', 'human', 'catcyer', 'catcher']], ['http://object-naming-amore.upf.edu//2317771_1017567_singleton_obj.png', ['wheelon', 'desk', 'desktop', 'laptop', 'keyboard', 'table']]]","['7b227368656470223a202273616e732d7368656570222c20227368656570223a2022617269616c227d', '7b22686f75757365223a202273616e732d686f757365222c2022686f757365223a2022617269616c227d', '7b22796f7574756265223a2022636f7572696572222c202270697a7a61223a2022617269616c227d', '7b2266656e6365223a20227365726966222c20227461626c65223a2022617269616c227d', '7b22626f6f6b7368656c66223a20227365726966222c2022636f756368223a2022617269616c222c2022736f6661223a2022626f6c642d636f756368227d', '7b2263617463796572223a202273616e732d63617463686572222c202263617463686572223a2022617269616c222c202268756d616e223a2022626f6c642d6d616e227d', '7b22776865656c6f6e223a2022636f7572696572222c20226465736b223a2022617269616c227d']"
"[['http://object-naming-amore.upf.edu//2341344_3120283_singleton_obj.png', ['animal', 'giraffe', 'giravfe']], ['http://object-naming-amore.upf.edu//2324332_988067_seed_ambiguous.png', ['boat', 'caneo', 'canoe']], ['http://object-naming-amore.upf.edu//2321629_3454142_seed_ambiguous.png', ['dnout', 'sweet', 'donut']], ['http://object-naming-amore.upf.edu//2407532_278019_singleton_obj.png', ['mobile', 'rug', 'pillow', 'carpet']], ['http://object-naming-amore.upf.edu//2370214_605402_supercat_unique.png', ['coat', 'looker', 'shirt', 'dress', 'poncho']], ['http://object-naming-amore.upf.edu//2389429_1260995_supercat_unique.png', ['sweater', 'coat', 'jacket', 'jakcet', 'shirt']], ['http://object-naming-amore.upf.edu//2327696_979730_singleton_obj.png', ['dish', 'banana split', 'bowl', 'strawberries', 'food', 'banana']]]","['7b2267697261766665223a202273616e732d67697261666665222c202267697261666665223a2022617269616c227d', '7b2263616e656f223a202273616e732d63616e6f65222c2022626f6174223a2022617269616c227d', '7b22646e6f7574223a202273616e732d646f6e7574222c2022646f6e7574223a2022617269616c227d', '7b226d6f62696c65223a2022636f7572696572222c2022727567223a2022617269616c222c2022636172706574223a2022626f6c642d727567227d', '7b226c6f6f6b6572223a2022636f7572696572227d', '7b226a616b636574223a202273616e732d6a61636b6574222c20226a61636b6574223a2022617269616c227d', '7b22737472617762657272696573223a20227365726966222c2022626f776c223a2022617269616c227d']"
