ssid	obj_name	name_count
9/11.n.01	9/11	1
aa.n.01	aa	7
aaron.n.01	aaron	2
aaron.n.01	hank aaron	1
ab.n.02	av	5
ab.n.02	164th av	1
ab.n.02	6 av	1
ab.n.02	8 av	1
ab.n.02	1 av.	1
ab.n.02	5 av	1
abacus.n.01	abacus	2
abbey.n.01	abbey	7
abbreviation.n.01	abbreviation	11
abdomen.n.01	belly	459
abdomen.n.01	abdomen	15
abdomen.n.01	white belly	10
abdomen.n.01	under belly	6
abdomen.n.01	stomach	2
abdomen.n.01	purple belly	1
abdomen.n.01	belly piercing	1
abdomen.n.01	blue bellies	1
abdomen.n.01	large abdomen	1
abdomen.n.01	bellies	1
abdomen.n.01	big belly	1
abdomen.n.01	spotted belly	1
abdomen.n.01	belly is fat	1
abdomen.n.01	yellow belly	1
abdomen.n.01	blue belly	1
abominable_snowman.n.01	yeti	1
above.n.01	above	20
abrasion.n.01	scratch	80
abrasion.n.01	scratches	60
abrasion.n.01	abrasion	1
abrasion.n.01	white scratches	1
abrasion.n.01	abrasions	1
abrasion.n.01	making scratches	1
absorber.n.01	absorber	3
absorption.n.01	absorption	1
abstraction.n.01	abstract	1
abundance.n.01	abundance	1
academy_award.n.01	oscar	2
academy.n.01	academy	1
accelerator.n.01	gas pedal	1
accelerator.n.01	accelerator	1
accelerator.n.02	throttle	4
accent.n.01	accent	63
accent.n.01	accents	44
accent.n.01	white accents	4
accent.n.01	red accents	3
accent.n.01	red accent	3
accent.n.01	black accents	3
accent.n.01	yellow accent	2
accent.n.01	white accent	2
accent.n.01	green accent	1
accent.n.01	decorative accent	1
accent.n.01	blue accents	1
accent.n.01	orange accent	1
accent.n.01	orange accents	1
accent.n.01	green accents	1
accent.n.01	blue accent	1
access_road.n.01	access road	1
accessory.n.01	accessory	13
accessory.n.01	accessories	10
accessory.n.01	single light	1
accessory.n.01	brown accessory	1
accessory.n.01	female accessories	1
accessory.n.01	accoutrements	1
accident.n.01	accident	3
accordion.n.01	accordion	3
accountant.n.01	controller	668
accountant.n.01	wii controller	81
accountant.n.01	controllers	46
accountant.n.01	remote controller	8
accountant.n.01	xbox controller	3
accountant.n.01	controller is white	3
accountant.n.01	two controllers	3
accountant.n.01	white controllers	2
accountant.n.01	electronic controllers	1
accountant.n.01	hand	1
accountant.n.01	blue controller	1
accountant.n.01	360 controller	1
accountant.n.01	viedo controller	1
accountant.n.01	black controller	1
accountant.n.01	cord/game controller	1
accountant.n.01	controller 2	1
accountant.n.01	controller is black	1
accountant.n.01	controller of wii	1
ace.n.03	wizard	2
ace.n.03	wizard of oz	1
acer.n.01	acer	5
acerate_leaf.n.01	needle	69
acerate_leaf.n.01	needles	66
acerate_leaf.n.01	pine needles	45
acerate_leaf.n.01	pine needle	8
acerate_leaf.n.01	red needles	3
acerate_leaf.n.01	knitting needles	1
acerate_leaf.n.01	brown needles	1
acetaminophen.n.01	tylenol	1
acid.n.02	window pane	178
acid.n.02	window panes	15
acid.n.02	window pane is white	1
acid.n.02	small window pane	1
acid.n.02	window  pane	1
acid.n.02	elvis drawing	1
acme.n.01	summit	6
acme.n.01	meridian	2
acme.n.01	acme	1
acne.n.01	acne	13
acorn_squash.n.01	acorn squash	2
acorn.n.01	acorns	1
acorn.n.01	large acorn	1
acorn.n.01	acorn	1
acorn.n.01	brown acorn	1
acquiring.n.01	getting	1
acre.n.01	acres	1
acreage.n.01	land area	1
acrobat.n.01	acrobat	2
acting.n.01	performing	2
actinium.n.01	ac	19
actinium.n.01	ac vent	5
action.n.01	action	13
activity.n.01	activity	4
actor.n.01	actor	13
actor.n.01	actors	2
actress.n.01	actress	1
ad.n.01	advertisement	906
ad.n.01	ad	263
ad.n.01	advertising	127
ad.n.01	advertisements	87
ad.n.01	ads	40
