supercat	category	ssid	no_imgs	no_objs	objname	name_count
animal	bird.n.01	bird.n.01	2335	4917	bird	4208
animal	bird.n.01	bird.n.01	2335	4917	birds	525
animal	bird.n.01	bird.n.01	2335	4917	black bird	24
animal	bird.n.01	bird.n.01	2335	4917	white bird	14
animal	bird.n.01	bird.n.01	2335	4917	two birds	11
animal	bird.n.01	bird.n.01	2335	4917	three birds	10
animal	bird.n.01	bird.n.01	2335	4917	angry bird	10
animal	bird.n.01	bird.n.01	2335	4917	blue bird	7
animal	bird.n.01	bird.n.01	2335	4917	small bird	6
animal	bird.n.01	bird.n.01	2335	4917	birds head	5
animal	bird.n.01	bird.n.01	2335	4917	pink bird	5
animal	bird.n.01	bird.n.01	2335	4917	one bird	4
animal	bird.n.01	bird.n.01	2335	4917	yellow bird	4
animal	bird.n.01	bird.n.01	2335	4917	painted bird	4
animal	bird.n.01	bird.n.01	2335	4917	black birds	3
animal	bird.n.01	bird.n.01	2335	4917	four birds	3
animal	bird.n.01	bird.n.01	2335	4917	tweety bird	2
animal	bird.n.01	bird.n.01	2335	4917	bird is flying	2
animal	bird.n.01	bird.n.01	2335	4917	bird's	2
animal	bird.n.01	bird.n.01	2335	4917	butterfly	2
animal	bird.n.01	bird.n.01	2335	4917	brown bird	2
animal	bird.n.01	bird.n.01	2335	4917	multiple birds	2
animal	bird.n.01	bird.n.01	2335	4917	bird sitting	2
animal	bird.n.01	bird.n.01	2335	4917	flying bird	2
animal	bird.n.01	bird.n.01	2335	4917	bird flying	2
animal	bird.n.01	bird.n.01	2335	4917	big bird	2
animal	bird.n.01	bird.n.01	2335	4917	bird dropping	2
animal	bird.n.01	bird.n.01	2335	4917	animated bird	2
animal	bird.n.01	bird.n.01	2335	4917	birds beak	2
animal	bird.n.01	bird.n.01	2335	4917	birds flying	2
animal	bird.n.01	bird.n.01	2335	4917	no birds	2
animal	bird.n.01	bird.n.01	2335	4917	white birds	2
animal	bird.n.01	bird.n.01	2335	4917	cooked bird	1
animal	bird.n.01	bird.n.01	2335	4917	bird is white	1
animal	bird.n.01	bird.n.01	2335	4917	bird is looking	1
animal	bird.n.01	bird.n.01	2335	4917	3 birds	1
animal	bird.n.01	bird.n.01	2335	4917	five birds	1
animal	bird.n.01	bird.n.01	2335	4917	six birds	1
animal	bird.n.01	bird.n.01	2335	4917	sculpture	1
animal	bird.n.01	bird.n.01	2335	4917	fox	1
animal	bird.n.01	bird.n.01	2335	4917	decorative bird	1
animal	bird.n.01	bird.n.01	2335	4917	dove	1
animal	bird.n.01	bird.n.01	2335	4917	red bird	1
animal	bird.n.01	bird.n.01	2335	4917	there are birds.	1
